Instrument,Description,Pointsize,Currency,AssetClass,PerBlock,Percentage,PerTrade,Region
AED,"",1000.0,RUB,FX,1.17,0.0,0.0,RUS
AFLT,"",100.0,RUB,Sector,0.75,0.0,0.0,RUS
AFKS,"",1000.0,RUB,Sector,3.55,0.0,0.0,RUS
ALRS,"",100.0,RUB,Sector,1.41,0.0,0.0,RUS
AMD,"",100000.0,RUB,FX,1.1,0.0,0.0,RUS
ASTR,"",1.0,RUB,Sector,0.11,0.0,0.0,RUS
AUDU,"",1000.0,USD,FX,2.8,0.0,0.0,RUS
BELU,"",1.0,RUB,Sector,1.11,0.0,0.0,RUS
BANE,"",1.0,RUB,Sector,0.53,0.0,0.0,RUS
BR,"",10.0,USD,OilGas,10.57,0.0,0.0,RUS
BSPB,"",10.0,RUB,Sector,0.56,0.0,0.0,RUS
BYN,"",1000.0,RUB,FX,1.34,0.0,0.0,RUS
CHMF,"",100.0,RUB,Sector,31.22,0.0,0.0,RUS
CBOM,"",1000.0,RUB,Sector,1.55,0.0,0.0,RUS
CNYRUBTOM,"",1000.0,RUB,FX,0.59,0.0,0.0,RUS
Co,"",100.0,USD,OilGas,10.21,0.0,0.0,RUS
CNY,"",1000.0,RUB,FX,0.59,0.0,0.0,RUS
CNI,"",1.0,RUB,Equity,0.57,0.0,0.0,RUS
DAX,"",100.0,EUR,Equity,2.8,0.0,0.0,RUS
ED,"",1000.0,USD,FX,4.61,0.0,0.0,RUS
Eu,"",1000.0,RUB,FX,4.65,0.0,0.0,RUS
EURRUBTOM,"",1000.0,RUB,FX,4.61,0.0,0.0,RUS
FLOT,"",100.0,RUB,Sector,2.68,0.0,0.0,RUS
FNI,"",1.0,RUB,Equity,0.66,0.0,0.0,RUS
FEES,"",100000.0,RUB,Sector,2.38,0.0,0.0,RUS
FIVE,"",10.0,RUB,Sector,4.73,0.0,0.0,RUS
GOLD,"",1.0,USD,Metals,24.89,0.0,0.0,RUS
GMKN,"",1.0,RUB,Sector,2.89,0.0,0.0,RUS
GLDRUBTOM,"",1.0,RUB,Metals,0.78,0.0,0.0,RUS
GL,"",1.0,RUB,Metals,0.79,0.0,0.0,RUS
GBPU,"",1000.0,USD,FX,5.39,0.0,0.0,RUS
GAZR,"",100.0,RUB,Sector,3.19,0.0,0.0,RUS
