DATETIME,PRICE,FORWARD,CARRY,PRICE_CONTRACT,FORWARD_CONTRACT,CARRY_CONTRACT
2020-08-18 23:00:00,6557.0,,,20200900,20201000,20201000
2020-08-19 23:00:00,6669.5,,,20200900,20201000,20201000
2020-08-20 23:00:00,6625.5,,,20200900,20201000,20201000
2020-08-21 23:00:00,6489.0,,,20200900,20201000,20201000
2020-08-24 23:00:00,6512.0,,,20200900,20201000,20201000
2020-08-25 23:00:00,6531.0,,,20200900,20201000,20201000
2020-08-26 23:00:00,6586.0,,,20200900,20201000,20201000
2020-09-03 23:00:00,6570.0,,,20200900,20201000,20201000
2020-09-08 23:00:00,6674.0,,,20200900,20201000,20201000
2020-09-09 23:00:00,6725.5,,,20200900,20201000,20201000
2020-09-15 23:00:00,,6748.0,6748.0,20200900,20201000,20201000
2020-09-16 23:00:00,,6800.0,6800.0,20200900,20201000,20201000
2020-09-17 23:00:00,,6791.0,6791.0,20200900,20201000,20201000
2020-09-18 23:00:00,,6832.0,6832.0,20200900,20201000,20201000
2020-09-21 23:00:00,,6692.0,6692.0,20200900,20201000,20201000
2020-09-22 23:00:00,,6778.5,6778.5,20200900,20201000,20201000
2020-09-23 23:00:00,,6608.5,6608.5,20200900,20201000,20201000
2020-09-24 23:00:00,,6500.0,6500.0,20200900,20201000,20201000
2020-09-25 23:00:00,,6568.5,6568.5,20200900,20201000,20201000
2020-09-28 23:00:00,,6630.0,6630.0,20200900,20201000,20201000
2020-09-29 23:00:00,,6558.0,6558.0,20200900,20201000,20201000
2020-09-30 23:00:00,,6665.0,6665.0,20200900,20201000,20201000
2020-10-01 23:00:00,,6433.5,6433.5,20200900,20201000,20201000
2020-10-02 23:00:00,,6562.0,6562.0,20200900,20201000,20201000
2020-10-05 23:00:00,,6509.5,6509.5,20200900,20201000,20201000
2020-10-06 23:00:00,,6522.5,6522.5,20200900,20201000,20201000
2020-10-07 23:00:00,,6700.0,6700.0,20200900,20201000,20201000
2020-10-08 23:00:00,,6690.0,6690.0,20200900,20201000,20201000
2020-10-09 23:00:00,,6774.0,6774.0,20200900,20201000,20201000
2020-10-12 23:00:00,,6755.0,6755.0,20200900,20201000,20201000
2020-10-15 23:00:00,,6729.0,6729.0,20200900,20201000,20201000
2020-10-19 23:00:00,,6790.5,6790.5,20200900,20201000,20201000
2020-10-20 23:00:00,,6762.0,6762.0,20200900,20201000,20201000
