DATETIME,PRICE,FORWARD,CARRY,PRICE_CONTRACT,FORWARD_CONTRACT,CARRY_CONTRACT
2024-09-20 23:00:00,44.12,44.12,44.12,20241200,20250300,20250300
2024-09-23 23:00:00,44.56,44.56,44.56,20241200,20250300,20250300
2024-09-24 23:00:00,45.5,45.5,45.5,20241200,20250300,20250300
2024-09-25 23:00:00,45.57,45.11,45.11,20241200,20250300,20250300
2024-09-26 23:00:00,46.87,45.11,45.11,20241200,20250300,20250300
2024-09-27 23:00:00,47.05,48.25,48.25,20241200,20250300,20250300
2024-09-30 23:00:00,46.54,48.25,48.25,20241200,20250300,20250300
2024-10-01 23:00:00,46.09,48.25,48.25,20241200,20250300,20250300
2024-10-02 23:00:00,47.23,48.25,48.25,20241200,20250300,20250300
2024-10-03 23:00:00,46.5,48.25,48.25,20241200,20250300,20250300
2024-10-04 23:00:00,46.93,48.25,48.25,20241200,20250300,20250300
2024-10-07 23:00:00,48.0,48.25,48.25,20241200,20250300,20250300
2024-10-08 23:00:00,46.0,48.25,48.25,20241200,20250300,20250300
2024-10-09 23:00:00,45.91,48.25,48.25,20241200,20250300,20250300
2024-10-10 23:00:00,46.16,48.25,48.25,20241200,20250300,20250300
2024-10-11 23:00:00,45.95,47.0,47.0,20241200,20250300,20250300
2024-10-14 23:00:00,46.11,46.57,46.57,20241200,20250300,20250300
2024-10-15 23:00:00,45.5,46.71,46.71,20241200,20250300,20250300
2024-10-16 23:00:00,45.51,46.36,46.36,20241200,20250300,20250300
2024-10-17 23:00:00,45.66,46.36,46.36,20241200,20250300,20250300
2024-10-18 23:00:00,46.28,46.36,46.36,20241200,20250300,20250300
2024-10-21 23:00:00,45.6,46.36,46.36,20241200,20250300,20250300
2024-10-22 23:00:00,45.48,46.36,46.36,20241200,20250300,20250300
2024-10-23 23:00:00,45.31,46.36,46.36,20241200,20250300,20250300
2024-10-24 23:00:00,44.93,46.12,46.12,20241200,20250300,20250300
2024-10-25 23:00:00,45.22,46.57,46.57,20241200,20250300,20250300
2024-10-28 23:00:00,45.26,46.57,46.57,20241200,20250300,20250300
2024-10-29 23:00:00,45.13,46.57,46.57,20241200,20250300,20250300
2024-10-30 23:00:00,45.23,46.7,46.7,20241200,20250300,20250300
2024-10-31 23:00:00,44.4,46.7,46.7,20241200,20250300,20250300
2024-11-01 23:00:00,44.7,45.67,45.67,20241200,20250300,20250300
2024-11-02 23:00:00,44.5,45.67,45.67,20241200,20250300,20250300
2024-11-05 23:00:00,45.26,45.67,45.67,20241200,20250300,20250300
2024-11-06 23:00:00,44.51,45.67,45.67,20241200,20250300,20250300
2024-11-07 23:00:00,45.45,45.67,45.67,20241200,20250300,20250300
2024-11-08 23:00:00,44.81,45.67,45.67,20241200,20250300,20250300
2024-11-11 23:00:00,44.59,45.67,45.67,20241200,20250300,20250300
2024-11-12 23:00:00,43.3,45.67,45.67,20241200,20250300,20250300
2024-11-13 23:00:00,43.21,45.67,45.67,20241200,20250300,20250300
2024-11-14 23:00:00,43.05,45.67,45.67,20241200,20250300,20250300
2024-11-15 23:00:00,43.08,45.67,45.67,20241200,20250300,20250300
2024-11-18 23:00:00,42.94,43.8,43.8,20241200,20250300,20250300
2024-11-20 23:00:00,42.85,43.57,43.57,20241200,20250300,20250300
2024-11-21 23:00:00,42.77,43.57,43.57,20241200,20250300,20250300
2024-11-22 23:00:00,43.04,43.57,43.57,20241200,20250300,20250300
2024-11-25 23:00:00,43.01,43.57,43.57,20241200,20250300,20250300
2024-11-26 23:00:00,42.88,43.57,43.57,20241200,20250300,20250300
2024-11-27 23:00:00,42.73,43.57,43.57,20241200,20250300,20250300
2024-11-29 23:00:00,42.41,43.57,43.57,20241200,20250300,20250300
2024-12-02 23:00:00,42.76,43.57,43.57,20241200,20250300,20250300
2024-12-03 23:00:00,43.0,44.02,44.02,20241200,20250300,20250300
2024-12-06 23:00:00,43.66,44.02,44.02,20241200,20250300,20250300
2024-12-09 23:00:00,44.39,44.11,44.11,20241200,20250300,20250300
2024-12-10 23:00:00,43.71,44.11,44.11,20241200,20250300,20250300
2024-12-11 23:00:00,43.51,45.47,45.47,20241200,20250300,20250300
2024-12-12 23:00:00,43.65,45.47,45.47,20241200,20250300,20250300
2024-12-13 23:00:00,43.44,45.47,45.47,20241200,20250300,20250300
2024-12-16 23:00:00,43.13,43.71,43.71,20241200,20250300,20250300
2024-12-18 23:00:00,42.93,43.49,43.49,20241200,20250300,20250300
2024-12-19 23:00:00,42.25,42.78,42.78,20241200,20250300,20250300
2024-12-17 23:00:00,42.25,43.19,43.19,20241200,20250300,20250300
2024-12-20 23:00:00,42.28,42.28,42.28,20250300,20250600,20250600
2024-12-23 23:00:00,42.81,44.22,44.22,20250300,20250600,20250600
2024-12-24 23:00:00,42.88,44.22,44.22,20250300,20250600,20250600
2024-12-25 23:00:00,44.54,44.69,44.69,20250300,20250600,20250600
2024-12-26 23:00:00,42.75,44.69,44.69,20250300,20250600,20250600
2024-12-27 23:00:00,42.61,44.69,44.69,20250300,20250600,20250600
2024-12-28 23:00:00,43.4,44.69,44.69,20250300,20250600,20250600
2024-12-30 23:00:00,42.62,44.69,44.69,20250300,20250600,20250600
2025-01-06 23:00:00,43.1,44.69,44.69,20250300,20250600,20250600
2025-01-08 23:00:00,42.04,44.69,44.69,20250300,20250600,20250600
2025-01-09 23:00:00,41.98,44.69,44.69,20250300,20250600,20250600
2025-01-10 23:00:00,41.35,42.18,42.18,20250300,20250600,20250600
2025-01-13 23:00:00,40.76,41.66,41.66,20250300,20250600,20250600
2025-01-14 23:00:00,41.5,41.66,41.66,20250300,20250600,20250600
2025-01-15 23:00:00,41.9,41.66,41.66,20250300,20250600,20250600
2025-01-16 23:00:00,42.16,43.11,43.11,20250300,20250600,20250600
2025-01-17 23:00:00,42.03,43.11,43.11,20250300,20250600,20250600
2025-01-20 23:00:00,42.9,43.11,43.11,20250300,20250600,20250600
2025-01-21 23:00:00,42.45,43.5,43.5,20250300,20250600,20250600
2025-01-22 23:00:00,42.61,43.35,43.35,20250300,20250600,20250600
2025-01-23 23:00:00,42.66,43.35,43.35,20250300,20250600,20250600
2025-01-24 23:00:00,42.88,43.35,43.35,20250300,20250600,20250600
2025-01-27 23:00:00,42.29,43.05,43.05,20250300,20250600,20250600
2025-01-28 23:00:00,42.08,43.05,43.05,20250300,20250600,20250600
2025-01-29 23:00:00,42.86,44.02,44.02,20250300,20250600,20250600
2025-01-30 23:00:00,43.07,43.76,43.76,20250300,20250600,20250600
2025-01-31 23:00:00,43.19,43.76,43.76,20250300,20250600,20250600
2025-02-03 23:00:00,42.6,43.76,43.76,20250300,20250600,20250600
2025-02-04 23:00:00,43.22,43.76,43.76,20250300,20250600,20250600
2025-02-05 23:00:00,43.08,43.76,43.76,20250300,20250600,20250600
2025-02-06 23:00:00,43.12,43.76,43.76,20250300,20250600,20250600
2025-02-07 23:00:00,43.3,43.76,43.76,20250300,20250600,20250600
2025-02-10 23:00:00,43.5,43.76,43.76,20250300,20250600,20250600
2025-02-11 23:00:00,43.24,43.76,43.76,20250300,20250600,20250600
2025-02-13 23:00:00,43.68,43.76,43.76,20250300,20250600,20250600
2025-02-14 23:00:00,44.23,43.76,43.76,20250300,20250600,20250600
2025-02-17 23:00:00,44.36,45.4,45.4,20250300,20250600,20250600
2025-02-18 23:00:00,44.69,45.4,45.4,20250300,20250600,20250600
2025-02-19 23:00:00,44.51,45.4,45.4,20250300,20250600,20250600
2025-02-20 23:00:00,44.96,45.4,45.4,20250300,20250600,20250600
2025-02-21 23:00:00,45.07,45.4,45.4,20250300,20250600,20250600
2025-02-24 23:00:00,44.13,45.4,45.4,20250300,20250600,20250600
2025-02-25 23:00:00,44.1,45.4,45.4,20250300,20250600,20250600
2025-02-28 23:00:00,42.72,45.4,45.4,20250300,20250600,20250600
2025-03-03 23:00:00,42.95,45.4,45.4,20250300,20250600,20250600
