DATETIME,PRICE,FORWARD,CARRY,PRICE_CONTRACT,FORWARD_CONTRACT,CARRY_CONTRACT
2022-03-25 23:00:00,5900.0,,,20220600,20220900,20220900
2022-03-28 23:00:00,6750.0,,,20220600,20220900,20220900
2022-03-29 23:00:00,8100.0,,,20220600,20220900,20220900
2022-03-30 23:00:00,7096.0,,,20220600,20220900,20220900
2022-03-31 23:00:00,7429.0,,,20220600,20220900,20220900
2022-04-01 23:00:00,6776.0,,,20220600,20220900,20220900
2022-04-04 23:00:00,6213.0,,,20220600,20220900,20220900
2022-04-05 23:00:00,5553.0,,,20220600,20220900,20220900
2022-04-06 23:00:00,5990.0,,,20220600,20220900,20220900
2022-04-07 23:00:00,5890.0,,,20220600,20220900,20220900
2022-04-08 23:00:00,5640.0,,,20220600,20220900,20220900
2022-04-11 23:00:00,5792.0,,,20220600,20220900,20220900
2022-04-12 23:00:00,5516.0,6001.0,6001.0,20220600,20220900,20220900
2022-04-13 23:00:00,5729.0,,,20220600,20220900,20220900
2022-04-14 23:00:00,5615.0,,,20220600,20220900,20220900
2022-04-15 23:00:00,5791.0,6500.0,6500.0,20220600,20220900,20220900
2022-04-18 23:00:00,5900.0,,,20220600,20220900,20220900
2022-04-19 23:00:00,5959.0,,,20220600,20220900,20220900
2022-04-20 23:00:00,6199.0,,,20220600,20220900,20220900
2022-04-21 23:00:00,6213.0,,,20220600,20220900,20220900
2022-04-22 23:00:00,6390.0,,,20220600,20220900,20220900
2022-04-25 23:00:00,6457.0,,,20220600,20220900,20220900
2022-04-26 23:00:00,6623.0,,,20220600,20220900,20220900
2022-04-27 23:00:00,6800.0,,,20220600,20220900,20220900
2022-04-28 23:00:00,6903.0,,,20220600,20220900,20220900
2022-04-29 23:00:00,6830.0,,,20220600,20220900,20220900
2022-05-04 23:00:00,6633.0,,,20220600,20220900,20220900
2022-05-05 23:00:00,6890.0,,,20220600,20220900,20220900
2022-05-06 23:00:00,6994.0,,,20220600,20220900,20220900
2022-05-11 23:00:00,7642.0,6801.0,6801.0,20220600,20220900,20220900
2022-05-12 23:00:00,7290.0,,,20220600,20220900,20220900
2022-05-13 23:00:00,7530.0,,,20220600,20220900,20220900
2022-05-16 23:00:00,7696.0,7226.0,7226.0,20220600,20220900,20220900
2022-05-17 23:00:00,7700.0,7561.0,7561.0,20220600,20220900,20220900
2022-05-18 23:00:00,7626.0,7650.0,7650.0,20220600,20220900,20220900
2022-05-19 23:00:00,7621.0,7650.0,7650.0,20220600,20220900,20220900
2022-05-20 23:00:00,7335.0,7290.0,7290.0,20220600,20220900,20220900
2022-05-23 23:00:00,6900.0,6987.0,6987.0,20220600,20220900,20220900
2022-05-24 23:00:00,6793.0,6700.0,6700.0,20220600,20220900,20220900
