DATE_TIME,current_contract,next_contract,carry_contract
2010-12-13 23:00:00,20101200,20110300,20110300
2011-03-14 23:00:00,20110300,20110600,20110600
2011-06-15 23:00:00,20110600,20110900,20110900
2011-09-15 23:00:00,20110900,20111200,20111200
2011-12-15 23:00:00,20111200,20120300,20120300
2012-03-15 23:00:00,20120300,20120600,20120600
2012-06-15 23:00:00,20120600,20120900,20120900
2012-09-14 23:00:00,20120900,20121200,20121200
2012-12-14 23:00:00,20121200,20130300,20130300
2013-03-15 23:00:00,20130300,20130600,20130600
2013-06-14 23:00:00,20130600,20130900,20130900
2013-09-13 23:00:00,20130900,20131200,20131200
2013-12-16 23:00:00,20131200,20140300,20140300
2014-03-14 23:00:00,20140300,20140600,20140600
2014-06-16 23:00:00,20140600,20140900,20140900
2014-09-15 23:00:00,20140900,20141200,20141200
2014-12-09 23:00:00,20141200,20150300,20150300
2015-03-16 23:00:00,20150300,20150600,20150600
2015-06-15 23:00:00,20150600,20150900,20150900
2015-09-14 23:00:00,20150900,20151200,20151200
2015-12-15 23:00:00,20151200,20160300,20160300
2016-03-15 23:00:00,20160300,20160600,20160600
2016-06-15 23:00:00,20160600,20160900,20160900
