<DATE>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
2023-12-12 23:00:00,595.0,595.0,460.0,460.0,2.0
2023-12-13 23:00:00,550.0,557.0,498.0,547.0,5.0
2023-12-14 23:00:00,535.0,535.0,514.0,514.0,2.0
2023-12-18 23:00:00,494.0,545.0,494.0,545.0,3.0
2023-12-19 23:00:00,495.0,545.0,495.0,545.0,4.0
2023-12-20 23:00:00,507.0,650.0,410.0,604.0,86.0
2023-12-21 23:00:00,598.0,598.0,590.0,590.0,8.0
2023-12-22 23:00:00,522.0,580.0,522.0,537.0,25.0
2023-12-25 23:00:00,578.0,598.0,578.0,597.0,32.0
2023-12-26 23:00:00,594.0,594.0,560.0,567.0,20.0
2023-12-27 23:00:00,566.0,598.0,536.0,536.0,53.0
2023-12-28 23:00:00,549.0,549.0,549.0,549.0,1.0
2023-12-29 23:00:00,541.0,542.0,541.0,542.0,7.0
2024-01-03 23:00:00,542.0,545.0,510.0,545.0,34.0
2024-01-04 23:00:00,549.0,635.0,417.0,550.0,13.0
2024-01-05 23:00:00,617.0,618.0,530.0,530.0,18.0
2024-01-08 23:00:00,591.0,591.0,591.0,591.0,75.0
2024-01-09 23:00:00,590.0,590.0,562.0,570.0,63.0
2024-01-11 23:00:00,572.0,578.0,557.0,557.0,6.0
2024-01-12 23:00:00,572.0,585.0,556.0,560.0,12.0
2024-01-15 23:00:00,616.0,616.0,556.0,556.0,4.0
2024-01-16 23:00:00,557.0,593.0,557.0,559.0,71.0
2024-01-17 23:00:00,573.0,676.0,562.0,577.0,546.0
2024-01-18 23:00:00,581.0,589.0,580.0,582.0,234.0
2024-01-19 23:00:00,590.0,590.0,564.0,577.0,38.0
2024-01-22 23:00:00,641.0,641.0,555.0,556.0,332.0
2024-01-23 23:00:00,578.0,589.0,577.0,577.0,223.0
2024-01-24 23:00:00,563.0,599.0,563.0,588.0,46.0
2024-01-25 23:00:00,653.0,653.0,573.0,573.0,17.0
2024-01-26 23:00:00,573.0,591.0,573.0,582.0,108.0
2024-01-29 23:00:00,586.0,602.0,584.0,593.0,275.0
2024-01-30 23:00:00,593.0,602.0,593.0,594.0,68.0
2024-01-31 23:00:00,596.0,606.0,596.0,605.0,12.0
2024-02-01 23:00:00,602.0,612.0,597.0,612.0,55.0
2024-02-02 23:00:00,597.0,609.0,592.0,609.0,67.0
2024-02-05 23:00:00,608.0,609.0,590.0,591.0,35.0
2024-02-06 23:00:00,609.0,609.0,592.0,605.0,34.0
2024-02-07 23:00:00,603.0,604.0,585.0,598.0,19.0
2024-02-08 23:00:00,581.0,600.0,581.0,600.0,7.0
2024-02-09 23:00:00,573.0,594.0,571.0,571.0,39.0
2024-02-12 23:00:00,593.0,615.0,593.0,605.0,37.0
2024-02-13 23:00:00,599.0,625.0,599.0,615.0,65.0
2024-02-14 23:00:00,600.0,600.0,590.0,600.0,302.0
2024-02-15 23:00:00,601.0,606.0,594.0,603.0,20.0
2024-02-16 23:00:00,595.0,606.0,589.0,595.0,37.0
2024-02-19 23:00:00,604.0,605.0,592.0,603.0,20.0
2024-02-20 23:00:00,602.0,602.0,584.0,584.0,14.0
2024-02-21 23:00:00,580.0,686.0,573.0,582.0,2823.0
2024-02-22 23:00:00,585.0,588.0,580.0,584.0,17.0
2024-02-26 23:00:00,580.0,594.0,575.0,594.0,28.0
2024-02-27 23:00:00,595.0,600.0,593.0,600.0,17.0
2024-02-28 23:00:00,596.0,605.0,589.0,596.0,63.0
2024-02-29 23:00:00,603.0,609.0,601.0,605.0,28.0
2024-03-01 23:00:00,608.0,622.0,601.0,612.0,398.0
2024-03-04 23:00:00,610.0,626.0,610.0,616.0,293.0
2024-03-05 23:00:00,620.0,620.0,582.0,613.0,397.0
2024-03-06 23:00:00,611.0,634.0,604.0,613.0,273.0
2024-03-07 23:00:00,615.0,621.0,595.0,612.0,261.0
2024-03-11 23:00:00,632.0,632.0,596.0,606.0,167.0
2024-03-12 23:00:00,590.0,602.0,590.0,602.0,2.0
2024-03-13 23:00:00,593.0,602.0,575.0,591.0,243.0
2024-03-14 23:00:00,599.0,605.0,589.0,590.0,207.0
2024-03-15 23:00:00,590.0,599.0,575.0,599.0,5119.0
2024-03-18 23:00:00,589.0,590.0,580.0,589.0,3017.0
2024-03-19 23:00:00,590.0,598.0,579.0,595.0,901.0
2024-03-20 23:00:00,590.0,602.0,576.0,602.0,1657.0
2024-03-21 23:00:00,602.0,642.0,598.0,620.0,3596.0
2024-03-22 23:00:00,635.0,646.0,615.0,625.0,3198.0
2024-03-25 23:00:00,625.0,675.0,607.0,670.0,5880.0
2024-03-26 23:00:00,672.0,732.0,665.0,721.0,31862.0
2024-03-27 23:00:00,720.0,749.0,704.0,712.0,14928.0
2024-03-28 23:00:00,710.0,718.0,690.0,690.0,13288.0
2024-03-29 23:00:00,696.0,723.0,686.0,713.0,13474.0
2024-04-01 23:00:00,720.0,741.0,707.0,710.0,12948.0
2024-04-02 23:00:00,710.0,740.0,704.0,720.0,8505.0
2024-04-03 23:00:00,717.0,717.0,695.0,705.0,8253.0
2024-04-04 23:00:00,704.0,704.0,674.0,694.0,15394.0
2024-04-05 23:00:00,696.0,702.0,680.0,684.0,7953.0
2024-04-08 23:00:00,688.0,700.0,677.0,685.0,5625.0
2024-04-09 23:00:00,685.0,685.0,639.0,641.0,70930.0
2024-04-10 23:00:00,641.0,662.0,627.0,662.0,9823.0
2024-04-11 23:00:00,658.0,669.0,637.0,646.0,18491.0
2024-04-12 23:00:00,645.0,656.0,630.0,635.0,29889.0
2024-04-15 23:00:00,635.0,644.0,600.0,607.0,128265.0
2024-04-16 23:00:00,603.0,619.0,602.0,609.0,29880.0
2024-04-17 23:00:00,607.0,609.0,584.0,590.0,48285.0
2024-04-18 23:00:00,592.0,614.0,565.0,604.0,166842.0
2024-04-19 23:00:00,605.0,634.0,595.0,625.0,181757.0
2024-04-22 23:00:00,627.0,659.0,626.0,653.0,41635.0
2024-04-23 23:00:00,650.0,661.0,631.0,631.0,20142.0
2024-04-24 23:00:00,639.0,646.0,625.0,632.0,10257.0
2024-04-25 23:00:00,630.0,645.0,628.0,643.0,4960.0
2024-04-26 23:00:00,643.0,652.0,636.0,646.0,4569.0
2024-04-27 23:00:00,645.0,651.0,633.0,638.0,3559.0
2024-04-29 23:00:00,640.0,641.0,628.0,634.0,2871.0
2024-04-30 23:00:00,634.0,637.0,626.0,631.0,3280.0
2024-05-02 23:00:00,631.0,638.0,612.0,637.0,33939.0
2024-05-03 23:00:00,638.0,644.0,630.0,634.0,2294.0
2024-05-06 23:00:00,633.0,635.0,625.0,625.0,2776.0
2024-05-07 23:00:00,628.0,633.0,623.0,628.0,1263.0
2024-05-08 23:00:00,626.0,637.0,626.0,631.0,1139.0
2024-05-10 23:00:00,631.0,637.0,628.0,631.0,1106.0
2024-05-13 23:00:00,633.0,659.0,632.0,656.0,9356.0
2024-05-14 23:00:00,653.0,675.0,649.0,655.0,28102.0
2024-05-15 23:00:00,655.0,661.0,646.0,653.0,6476.0
2024-05-16 23:00:00,652.0,665.0,649.0,650.0,3923.0
2024-05-17 23:00:00,652.0,653.0,639.0,646.0,4466.0
2024-05-20 23:00:00,647.0,650.0,628.0,632.0,7013.0
2024-05-21 23:00:00,631.0,636.0,621.0,626.0,4873.0
2024-05-22 23:00:00,626.0,639.0,624.0,638.0,2758.0
2024-05-23 23:00:00,635.0,640.0,625.0,631.0,916.0
2024-05-24 23:00:00,630.0,637.0,620.0,625.0,4144.0
2024-05-27 23:00:00,624.0,629.0,602.0,609.0,15271.0
2024-05-28 23:00:00,613.0,616.0,603.0,609.0,6212.0
2024-05-29 23:00:00,608.0,610.0,594.0,600.0,6913.0
2024-05-30 23:00:00,602.0,617.0,600.0,601.0,2208.0
2024-05-31 23:00:00,602.0,602.0,585.0,590.0,6915.0
2024-06-03 23:00:00,586.0,589.0,560.0,578.0,17652.0
2024-06-04 23:00:00,584.0,605.0,580.0,604.0,3978.0
2024-06-05 23:00:00,604.0,619.0,602.0,614.0,4377.0
2024-06-06 23:00:00,605.0,606.0,594.0,603.0,2045.0
2024-06-07 23:00:00,605.0,621.0,599.0,620.0,3177.0
2024-06-10 23:00:00,620.0,623.0,593.0,602.0,9360.0
2024-06-11 23:00:00,591.0,603.0,590.0,599.0,6395.0
2024-06-13 23:00:00,597.0,612.0,560.0,610.0,6714.0
2024-06-14 23:00:00,612.0,633.0,606.0,627.0,22689.0
2024-06-17 23:00:00,627.0,636.0,622.0,622.0,7446.0
2024-06-18 23:00:00,623.0,629.0,594.0,599.0,8243.0
2024-06-19 23:00:00,599.0,615.0,582.0,585.0,4496.0
2024-06-20 23:00:00,585.0,604.0,541.0,575.0,6523.0
