<DATE>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
2025-02-24 23:00:00,80.98,80.98,80.98,80.98,2.0
2025-03-03 23:00:00,75.99,75.99,73.01,75.29,4.0
2025-03-04 23:00:00,73.31,74.97,71.13,73.0,49.0
2025-03-05 23:00:00,73.49,73.49,69.97,69.97,20.0
2025-03-06 23:00:00,71.5,72.18,71.0,71.0,21.0
2025-03-07 23:00:00,70.88,72.4,70.34,71.81,25.0
2025-03-10 23:00:00,72.25,72.25,70.77,71.82,8.0
2025-03-11 23:00:00,71.61,72.19,67.32,70.91,59.0
2025-03-12 23:00:00,71.39,72.0,70.79,70.79,23.0
2025-03-13 23:00:00,70.86,70.86,70.86,70.86,1.0
2025-03-14 23:00:00,70.6,70.6,70.6,70.6,2.0
2025-03-17 23:00:00,71.03,72.04,71.03,71.94,5.0
2025-03-18 23:00:00,71.94,72.77,71.66,72.77,7.0
