<DATE>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
2023-10-26 23:00:00,6989.0,6989.0,6989.0,6989.0,1.0
2023-11-07 23:00:00,9360.0,9360.0,9360.0,9360.0,1.0
2023-11-08 23:00:00,6798.0,6798.0,6798.0,6798.0,2.0
2023-11-16 23:00:00,9171.0,9171.0,6835.0,7502.0,42.0
2023-11-17 23:00:00,8401.0,8401.0,7506.0,7506.0,5.0
2023-11-20 23:00:00,7538.0,7539.0,7538.0,7538.0,3.0
2023-11-28 23:00:00,8381.0,9371.0,7708.0,9150.0,28.0
2023-11-29 23:00:00,8090.0,9070.0,8080.0,8601.0,11.0
2023-11-30 23:00:00,8178.0,8178.0,8178.0,8178.0,1.0
2023-12-01 23:00:00,8645.0,8646.0,8339.0,8347.0,6.0
2023-12-05 23:00:00,8768.0,8768.0,8768.0,8768.0,1.0
2023-12-07 23:00:00,8867.0,8885.0,8867.0,8885.0,2.0
2023-12-08 23:00:00,8415.0,9014.0,8231.0,8806.0,16.0
2023-12-15 23:00:00,8505.0,8505.0,8505.0,8505.0,1.0
2023-12-26 23:00:00,8816.0,8950.0,8816.0,8950.0,2.0
2023-12-28 23:00:00,8608.0,8608.0,7931.0,8467.0,38.0
2024-01-04 23:00:00,8464.0,8464.0,7484.0,7802.0,6.0
2024-01-08 23:00:00,7802.0,7802.0,7802.0,7802.0,1.0
2024-01-09 23:00:00,7965.0,7965.0,7800.0,7800.0,4.0
2024-01-10 23:00:00,7960.0,8431.0,7500.0,8425.0,32.0
2024-01-11 23:00:00,8101.0,8101.0,8101.0,8101.0,1.0
2024-01-17 23:00:00,7975.0,7975.0,7975.0,7975.0,1.0
2024-01-22 23:00:00,8298.0,8298.0,8298.0,8298.0,1.0
2024-02-15 23:00:00,8029.0,8029.0,8023.0,8023.0,2.0
2024-03-06 23:00:00,8193.0,8194.0,8193.0,8194.0,2.0
2024-03-25 23:00:00,8239.0,8239.0,8239.0,8239.0,1.0
2024-04-02 23:00:00,8050.0,8050.0,8050.0,8050.0,2.0
2024-04-03 23:00:00,8212.0,8466.0,8212.0,8466.0,43.0
2024-04-08 23:00:00,8266.0,8266.0,8266.0,8266.0,3.0
2024-04-27 23:00:00,7019.0,7966.0,7019.0,7966.0,6.0
2024-05-06 23:00:00,7300.0,7300.0,7300.0,7300.0,1.0
2024-05-08 23:00:00,7650.0,7650.0,7650.0,7650.0,3.0
2024-05-16 23:00:00,7879.0,7879.0,7879.0,7879.0,1.0
2024-05-20 23:00:00,7822.0,7885.0,7435.0,7624.0,18.0
2024-05-22 23:00:00,7769.0,7769.0,7624.0,7624.0,3.0
2024-05-27 23:00:00,7630.0,7630.0,7495.0,7495.0,10.0
2024-05-28 23:00:00,7299.0,7299.0,7299.0,7299.0,2.0
2024-05-29 23:00:00,7406.0,7517.0,7406.0,7517.0,2.0
2024-05-30 23:00:00,7598.0,7598.0,7598.0,7598.0,1.0
2024-06-03 23:00:00,7444.0,7466.0,7444.0,7466.0,2.0
2024-06-04 23:00:00,7317.0,7317.0,7317.0,7317.0,3.0
2024-06-05 23:00:00,7272.0,7272.0,7200.0,7200.0,6.0
2024-06-07 23:00:00,7387.0,7389.0,7387.0,7389.0,5.0
2024-06-10 23:00:00,7406.0,7467.0,7406.0,7467.0,4.0
2024-06-11 23:00:00,7190.0,7190.0,7190.0,7190.0,1.0
2024-06-13 23:00:00,7214.0,7250.0,6750.0,7250.0,29.0
2024-06-14 23:00:00,7245.0,7245.0,7245.0,7245.0,3.0
2024-06-17 23:00:00,7267.0,7327.0,7267.0,7327.0,2.0
2024-06-18 23:00:00,7794.0,7794.0,7044.0,7044.0,55.0
2024-06-19 23:00:00,7103.0,7186.0,7091.0,7139.0,41.0
2024-06-20 23:00:00,7054.0,7837.0,7053.0,7665.0,376.0
2024-06-21 23:00:00,7766.0,7766.0,7546.0,7604.0,59.0
2024-06-24 23:00:00,7596.0,8080.0,7351.0,7932.0,564.0
2024-06-25 23:00:00,7971.0,8026.0,7782.0,7930.0,554.0
2024-06-26 23:00:00,7950.0,7950.0,7635.0,7742.0,317.0
2024-06-27 23:00:00,7802.0,7980.0,7664.0,7857.0,179.0
2024-06-28 23:00:00,7938.0,8137.0,7811.0,7811.0,179.0
2024-07-01 23:00:00,7882.0,7930.0,7780.0,7806.0,47.0
2024-07-02 23:00:00,7797.0,7806.0,7647.0,7738.0,75.0
2024-07-03 23:00:00,7730.0,7905.0,7730.0,7876.0,77.0
2024-07-04 23:00:00,7849.0,7899.0,7762.0,7798.0,263.0
2024-07-05 23:00:00,7769.0,7813.0,7395.0,7446.0,853.0
2024-07-08 23:00:00,7473.0,7498.0,7197.0,7233.0,215.0
2024-07-09 23:00:00,7244.0,7245.0,6861.0,7044.0,87.0
2024-07-10 23:00:00,6899.0,7217.0,6892.0,6985.0,338.0
2024-07-11 23:00:00,6909.0,7254.0,6909.0,7141.0,257.0
2024-07-12 23:00:00,7172.0,7221.0,7003.0,7060.0,346.0
2024-07-15 23:00:00,7040.0,7165.0,6885.0,6891.0,405.0
2024-07-16 23:00:00,6901.0,7057.0,6720.0,6804.0,567.0
2024-07-17 23:00:00,6771.0,7012.0,6763.0,6879.0,229.0
2024-07-18 23:00:00,6895.0,7013.0,6795.0,6910.0,605.0
2024-07-19 23:00:00,6951.0,7012.0,6881.0,6927.0,209.0
2024-07-22 23:00:00,7011.0,7093.0,6941.0,6946.0,407.0
2024-07-23 23:00:00,7006.0,7066.0,6906.0,6906.0,594.0
2024-07-24 23:00:00,6957.0,7091.0,6955.0,7004.0,303.0
2024-07-25 23:00:00,6989.0,7011.0,6942.0,6964.0,67.0
2024-07-26 23:00:00,6970.0,7148.0,6815.0,6815.0,566.0
2024-07-29 23:00:00,6863.0,6915.0,6679.0,6726.0,632.0
2024-07-30 23:00:00,6681.0,6735.0,6604.0,6735.0,118.0
2024-07-31 23:00:00,6747.0,6945.0,6653.0,6932.0,177.0
2024-08-01 23:00:00,6944.0,6946.0,6887.0,6929.0,81.0
2024-08-02 23:00:00,6897.0,6935.0,6769.0,6818.0,308.0
2024-08-05 23:00:00,6815.0,6926.0,6738.0,6848.0,1976.0
2024-08-06 23:00:00,6665.0,7023.0,6665.0,6888.0,931.0
2024-08-07 23:00:00,6901.0,6977.0,6821.0,6969.0,695.0
2024-08-08 23:00:00,6948.0,7005.0,6839.0,6849.0,302.0
2024-08-09 23:00:00,6957.0,8130.0,6770.0,6854.0,380.0
2024-08-12 23:00:00,6767.0,6931.0,6767.0,6883.0,974.0
2024-08-13 23:00:00,6950.0,7054.0,6795.0,6862.0,274.0
2024-08-14 23:00:00,6862.0,6885.0,6794.0,6800.0,221.0
2024-08-15 23:00:00,6790.0,6902.0,6790.0,6893.0,623.0
2024-08-16 23:00:00,6845.0,6909.0,6828.0,6882.0,17.0
2024-08-19 23:00:00,6881.0,6921.0,6805.0,6805.0,66.0
2024-08-20 23:00:00,6836.0,6889.0,6818.0,6819.0,88.0
2024-08-21 23:00:00,6854.0,6925.0,6829.0,6843.0,80.0
2024-08-22 23:00:00,6890.0,6939.0,6844.0,6844.0,33.0
2024-08-23 23:00:00,6837.0,6960.0,6775.0,6862.0,148.0
2024-08-26 23:00:00,6807.0,6877.0,6753.0,6761.0,242.0
2024-08-27 23:00:00,6757.0,6772.0,6714.0,6770.0,126.0
2024-08-28 23:00:00,6740.0,6786.0,6701.0,6766.0,114.0
2024-08-29 23:00:00,6740.0,6869.0,6740.0,6812.0,60.0
2024-08-30 23:00:00,6848.0,6930.0,6616.0,6627.0,453.0
2024-09-02 23:00:00,6621.0,6719.0,5890.0,5900.0,1064.0
2024-09-03 23:00:00,6073.0,6085.0,5688.0,5750.0,2201.0
2024-09-04 23:00:00,5672.0,6096.0,5600.0,6031.0,1485.0
2024-09-05 23:00:00,6073.0,6457.0,5955.0,6284.0,1334.0
2024-09-06 23:00:00,6328.0,6401.0,6162.0,6344.0,714.0
2024-09-09 23:00:00,6343.0,6518.0,6212.0,6429.0,1160.0
2024-09-10 23:00:00,6412.0,6412.0,6153.0,6153.0,688.0
2024-09-11 23:00:00,6183.0,6459.0,6052.0,6122.0,624.0
2024-09-12 23:00:00,6082.0,6096.0,5874.0,5933.0,423.0
2024-09-13 23:00:00,5934.0,6129.0,5867.0,6111.0,945.0
2024-09-16 23:00:00,6078.0,6204.0,6063.0,6171.0,229.0
2024-09-17 23:00:00,6188.0,6215.0,6093.0,6143.0,105.0
