<DATE>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
2024-12-19 23:00:00,16.079,16.079,16.079,16.079,2.0
2024-12-20 23:00:00,16.03,16.11,16.03,16.11,2.0
2024-12-23 23:00:00,15.792,15.792,15.792,15.792,1.0
2024-12-26 23:00:00,15.941,15.941,15.941,15.941,2.0
2024-12-27 23:00:00,15.982,16.154,15.814,16.031,20.0
2024-12-28 23:00:00,16.167,16.167,16.167,16.167,2.0
2024-12-30 23:00:00,16.499,16.5,16.499,16.5,5.0
2025-01-03 23:00:00,16.12,16.182,16.116,16.182,3.0
2025-01-06 23:00:00,16.061,16.16,16.053,16.058,20.0
2025-01-08 23:00:00,16.019,16.019,16.019,16.019,2.0
2025-01-10 23:00:00,16.206,16.24,16.046,16.046,9.0
2025-01-14 23:00:00,16.244,16.244,16.126,16.244,8.0
2025-01-15 23:00:00,16.42,16.42,16.42,16.42,1.0
2025-01-16 23:00:00,16.399,16.435,16.3,16.4,15.0
2025-01-17 23:00:00,16.301,16.388,16.301,16.388,2.0
2025-01-20 23:00:00,16.165,16.165,16.165,16.165,1.0
2025-01-21 23:00:00,16.163,16.163,16.163,16.163,5.0
2025-01-22 23:00:00,16.181,16.182,16.181,16.182,2.0
2025-01-23 23:00:00,16.206,16.212,16.206,16.212,3.0
2025-01-24 23:00:00,16.272,16.38,16.272,16.38,7.0
2025-01-27 23:00:00,16.177,16.177,16.139,16.151,6.0
2025-01-28 23:00:00,16.26,16.26,16.26,16.26,1.0
2025-02-04 23:00:00,16.153,16.153,15.962,15.962,2.0
2025-02-05 23:00:00,15.895,15.895,15.895,15.895,4.0
2025-02-06 23:00:00,15.838,15.931,15.838,15.931,4.0
2025-02-07 23:00:00,16.0,16.244,16.0,16.179,8.0
2025-02-10 23:00:00,16.177,16.177,16.08,16.08,3.0
2025-02-11 23:00:00,16.0,16.0,16.0,16.0,2.0
2025-02-12 23:00:00,15.8,15.879,15.8,15.879,3.0
2025-02-13 23:00:00,15.8,15.8,15.483,15.76,24.0
2025-02-14 23:00:00,15.402,15.947,15.402,15.947,20.0
2025-02-17 23:00:00,15.914,15.914,15.66,15.66,2.0
2025-02-18 23:00:00,15.615,15.615,15.615,15.615,1.0
2025-02-19 23:00:00,15.541,15.541,15.451,15.529,7.0
2025-02-20 23:00:00,15.402,15.402,15.0,15.003,90.0
2025-02-21 23:00:00,15.001,15.207,14.901,15.15,31.0
2025-02-24 23:00:00,15.398,15.876,14.901,15.121,106.0
2025-02-25 23:00:00,15.068,15.068,14.8,14.8,72.0
2025-02-26 23:00:00,14.8,15.003,14.8,15.003,6.0
2025-02-27 23:00:00,15.247,15.313,14.948,15.121,10.0
2025-02-28 23:00:00,15.3,15.3,15.3,15.3,2.0
2025-03-03 23:00:00,15.28,15.28,15.28,15.28,1.0
2025-03-04 23:00:00,15.201,15.33,15.201,15.33,3.0
2025-03-05 23:00:00,15.33,15.469,15.231,15.231,8.0
2025-03-10 23:00:00,15.126,15.126,15.082,15.082,4.0
2025-03-11 23:00:00,14.997,15.064,14.7,14.7,27.0
2025-03-12 23:00:00,14.847,14.847,14.847,14.847,2.0
2025-03-13 23:00:00,14.762,14.762,14.762,14.762,1.0
2025-03-14 23:00:00,14.7,14.7,14.55,14.65,6.0
2025-03-17 23:00:00,14.535,14.737,14.33,14.33,20.0
2025-03-18 23:00:00,14.294,15.144,14.0,14.19,2063.0
2025-03-19 23:00:00,14.373,14.683,14.373,14.58,110.0
2025-03-20 23:00:00,14.563,14.676,14.477,14.5,212.0
2025-03-21 23:00:00,14.587,14.6,14.35,14.35,34.0
2025-03-24 23:00:00,14.38,14.458,14.38,14.458,14.0
2025-03-25 23:00:00,14.569,14.601,14.281,14.281,43.0
2025-03-26 23:00:00,14.272,14.294,13.9,13.902,1500.0
2025-03-27 23:00:00,13.941,14.124,13.8,13.8,62.0
2025-03-28 23:00:00,13.839,14.139,13.78,14.125,121.0
2025-03-31 23:00:00,14.1,14.405,14.005,14.139,593.0
2025-04-01 23:00:00,14.044,14.117,13.864,13.864,41.0
2025-04-02 23:00:00,13.91,14.18,13.815,13.815,194.0
2025-04-03 23:00:00,13.851,14.012,13.7,13.79,205.0
2025-04-04 23:00:00,13.889,14.044,13.79,14.044,79.0
