<DATE>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
2024-10-08 23:00:00,10475.0,10475.0,9485.0,9756.0,308.0
2024-10-09 23:00:00,9735.0,10223.0,9575.0,9611.0,12163.0
2024-10-10 23:00:00,9646.0,9674.0,9584.0,9664.0,6106.0
2024-10-11 23:00:00,9712.0,9835.0,9684.0,9748.0,3158.0
2024-10-14 23:00:00,9750.0,9776.0,9620.0,9644.0,9195.0
2024-10-15 23:00:00,9626.0,9626.0,9370.0,9500.0,9127.0
2024-10-16 23:00:00,9490.0,9588.0,9490.0,9510.0,6254.0
2024-10-17 23:00:00,9540.0,9559.0,9390.0,9483.0,6158.0
2024-10-18 23:00:00,9469.0,9611.0,9445.0,9568.0,3138.0
2024-10-21 23:00:00,9569.0,9999.0,9509.0,9610.0,25101.0
2024-10-22 23:00:00,9512.0,9724.0,9504.0,9524.0,13757.0
2024-10-23 23:00:00,9536.0,9661.0,9411.0,9475.0,1101.0
2024-10-24 23:00:00,9480.0,9577.0,9327.0,9448.0,605.0
2024-10-25 23:00:00,9440.0,9551.0,9424.0,9531.0,434.0
2024-10-28 23:00:00,9507.0,9541.0,9443.0,9500.0,907.0
2024-10-29 23:00:00,9483.0,9595.0,9459.0,9460.0,2301.0
2024-10-30 23:00:00,9483.0,9561.0,9436.0,9469.0,940.0
2024-10-31 23:00:00,9477.0,9501.0,9441.0,9443.0,146.0
2024-11-01 23:00:00,9451.0,9550.0,9451.0,9490.0,399.0
2024-11-02 23:00:00,9495.0,9541.0,9420.0,9541.0,32.0
2024-11-05 23:00:00,9491.0,9707.0,9465.0,9696.0,776.0
2024-11-06 23:00:00,9682.0,9713.0,9251.0,9300.0,19852.0
2024-11-07 23:00:00,9369.0,9600.0,9252.0,9600.0,3581.0
2024-11-08 23:00:00,9580.0,9615.0,9378.0,9409.0,3770.0
2024-11-11 23:00:00,9402.0,9402.0,9270.0,9270.0,2589.0
2024-11-12 23:00:00,9269.0,9344.0,9029.0,9082.0,2875.0
2024-11-13 23:00:00,9082.0,9299.0,8939.0,8952.0,11809.0
2024-11-14 23:00:00,8967.0,8971.0,8803.0,8920.0,903.0
2024-11-15 23:00:00,8922.0,9115.0,8921.0,8970.0,2747.0
2024-11-18 23:00:00,8962.0,8966.0,8880.0,8963.0,2445.0
2024-11-19 23:00:00,8985.0,9051.0,8960.0,9002.0,4620.0
2024-11-20 23:00:00,8994.0,9079.0,8994.0,9035.0,334.0
2024-11-21 23:00:00,9022.0,9185.0,8963.0,8987.0,586.0
2024-11-22 23:00:00,8957.0,8973.0,8850.0,8920.0,870.0
2024-11-25 23:00:00,8920.0,9008.0,8884.0,8994.0,1388.0
2024-11-26 23:00:00,8978.0,8978.0,8873.0,8939.0,337.0
2024-11-27 23:00:00,8910.0,8977.0,8871.0,8908.0,494.0
2024-11-28 23:00:00,8919.0,8934.0,8878.0,8901.0,291.0
2024-11-29 23:00:00,8918.0,8999.0,8870.0,8909.0,628.0
2024-12-02 23:00:00,8928.0,9040.0,8461.0,8906.0,348.0
2024-12-03 23:00:00,8912.0,9044.0,8900.0,9030.0,5275.0
2024-12-04 23:00:00,9035.0,9047.0,8966.0,9019.0,4921.0
2024-12-05 23:00:00,9017.0,9075.0,8939.0,8998.0,7517.0
2024-12-06 23:00:00,8997.0,9085.0,8901.0,9016.0,6188.0
2024-12-09 23:00:00,9016.0,9186.0,9000.0,9171.0,5919.0
2024-12-10 23:00:00,9164.0,9167.0,9097.0,9149.0,115.0
2024-12-11 23:00:00,9117.0,9293.0,9095.0,9098.0,2205.0
2024-12-12 23:00:00,9117.0,9184.0,9021.0,9021.0,1415.0
2024-12-13 23:00:00,9030.0,9030.0,8955.0,8957.0,92.0
2024-12-16 23:00:00,8966.0,9089.0,8875.0,8895.0,175.0
2024-12-17 23:00:00,8825.0,8959.0,8825.0,8933.0,511.0
