<DATE>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
2024-03-26 23:00:00,15188.0,15188.0,15188.0,15188.0,1.0
2024-04-02 23:00:00,14328.0,14328.0,14328.0,14328.0,1.0
2024-04-04 23:00:00,15000.0,15000.0,15000.0,15000.0,1.0
2024-04-05 23:00:00,14482.0,14482.0,14482.0,14482.0,2.0
2024-04-08 23:00:00,14945.0,14945.0,14945.0,14945.0,1.0
2024-04-09 23:00:00,14889.0,14890.0,14889.0,14890.0,2.0
2024-05-20 23:00:00,15143.0,15143.0,15143.0,15143.0,2.0
2024-05-23 23:00:00,15118.0,15123.0,15118.0,15123.0,2.0
2024-05-31 23:00:00,15000.0,15000.0,14933.0,14950.0,3.0
2024-06-10 23:00:00,14640.0,14640.0,14640.0,14640.0,1.0
2024-06-13 23:00:00,14890.0,14988.0,14890.0,14988.0,2.0
2024-06-14 23:00:00,14604.0,14604.0,14600.0,14600.0,8.0
2024-06-17 23:00:00,14308.0,14308.0,14280.0,14280.0,3.0
2024-06-21 23:00:00,14747.0,14747.0,14747.0,14747.0,1.0
2024-06-24 23:00:00,14301.0,14900.0,14301.0,14533.0,3.0
2024-07-01 23:00:00,14549.0,14549.0,14549.0,14549.0,1.0
2024-07-02 23:00:00,14567.0,14567.0,14566.0,14566.0,2.0
2024-07-05 23:00:00,14775.0,14775.0,14772.0,14772.0,2.0
2024-07-08 23:00:00,14830.0,14830.0,14735.0,14735.0,6.0
2024-07-11 23:00:00,14648.0,14877.0,14648.0,14877.0,8.0
2024-07-12 23:00:00,14900.0,14900.0,14900.0,14900.0,1.0
2024-07-16 23:00:00,15698.0,15698.0,15698.0,15698.0,1.0
2024-07-17 23:00:00,15039.0,15039.0,15039.0,15039.0,1.0
2024-07-19 23:00:00,14657.0,14657.0,14316.0,14648.0,15.0
2024-07-22 23:00:00,14527.0,14900.0,14527.0,14800.0,5.0
2024-07-23 23:00:00,14770.0,14900.0,14770.0,14900.0,6.0
2024-07-24 23:00:00,14678.0,14678.0,14677.0,14677.0,2.0
2024-07-25 23:00:00,14366.0,14366.0,14291.0,14310.0,10.0
2024-07-26 23:00:00,14650.0,15167.0,14432.0,14432.0,31.0
2024-07-29 23:00:00,14680.0,14680.0,14680.0,14680.0,1.0
2024-08-01 23:00:00,14617.0,14617.0,14550.0,14550.0,2.0
2024-08-02 23:00:00,14250.0,14250.0,14250.0,14250.0,2.0
2024-08-05 23:00:00,14147.0,14147.0,13560.0,13698.0,13.0
2024-08-06 23:00:00,13890.0,13890.0,13796.0,13796.0,2.0
2024-08-09 23:00:00,13699.0,13901.0,13699.0,13901.0,32.0
2024-08-13 23:00:00,13999.0,14020.0,13999.0,14020.0,4.0
2024-08-14 23:00:00,14198.0,14855.0,14147.0,14200.0,44.0
2024-08-15 23:00:00,14122.0,14250.0,14122.0,14250.0,2.0
2024-08-19 23:00:00,15058.0,15058.0,13927.0,14409.0,9.0
2024-08-20 23:00:00,13876.0,13876.0,13800.0,13800.0,2.0
2024-08-21 23:00:00,14260.0,14350.0,14260.0,14350.0,3.0
2024-08-22 23:00:00,14200.0,14204.0,14200.0,14201.0,3.0
2024-08-23 23:00:00,13986.0,14778.0,13986.0,14778.0,5.0
2024-08-26 23:00:00,14322.0,14322.0,14322.0,14322.0,1.0
2024-09-03 23:00:00,14371.0,14371.0,14370.0,14370.0,3.0
2024-09-05 23:00:00,14058.0,14310.0,14058.0,14310.0,3.0
2024-09-06 23:00:00,14245.0,14300.0,14245.0,14300.0,4.0
2024-09-09 23:00:00,14274.0,14274.0,14238.0,14238.0,3.0
2024-09-10 23:00:00,14436.0,14618.0,14431.0,14618.0,4.0
2024-09-11 23:00:00,14208.0,14549.0,14165.0,14259.0,9.0
2024-09-12 23:00:00,13747.0,14621.0,13747.0,14399.0,10.0
2024-09-16 23:00:00,14625.0,15155.0,14625.0,15155.0,20.0
2024-09-17 23:00:00,15058.0,15058.0,14951.0,15058.0,3.0
2024-09-18 23:00:00,14980.0,15106.0,14950.0,15106.0,3.0
2024-09-19 23:00:00,15079.0,15367.0,15079.0,15177.0,6.0
2024-09-20 23:00:00,15182.0,15202.0,14950.0,15202.0,8.0
2024-09-23 23:00:00,15121.0,15121.0,14661.0,15048.0,67.0
2024-09-24 23:00:00,15068.0,15201.0,15068.0,15151.0,10.0
2024-09-25 23:00:00,15189.0,15189.0,15138.0,15138.0,2.0
2024-09-26 23:00:00,15165.0,15359.0,15072.0,15359.0,32.0
2024-09-27 23:00:00,15366.0,15505.0,15240.0,15504.0,12.0
2024-09-30 23:00:00,15537.0,15537.0,15352.0,15401.0,22.0
2024-10-01 23:00:00,15405.0,15406.0,15317.0,15323.0,8.0
2024-10-02 23:00:00,15328.0,15328.0,15203.0,15231.0,31.0
2024-10-03 23:00:00,15198.0,15279.0,15198.0,15254.0,3.0
2024-10-04 23:00:00,15214.0,15318.0,15154.0,15318.0,8.0
2024-10-07 23:00:00,15246.0,15246.0,15245.0,15245.0,2.0
2024-10-08 23:00:00,15247.0,15342.0,15064.0,15342.0,20.0
2024-10-09 23:00:00,15319.0,15951.0,15319.0,15609.0,103.0
2024-10-10 23:00:00,15636.0,15636.0,15265.0,15493.0,74.0
2024-10-11 23:00:00,15436.0,15474.0,15408.0,15474.0,7.0
2024-10-14 23:00:00,15536.0,15600.0,15470.0,15470.0,9.0
2024-10-15 23:00:00,15595.0,15682.0,15595.0,15636.0,17.0
2024-10-16 23:00:00,15609.0,15743.0,15575.0,15743.0,14.0
2024-10-17 23:00:00,15710.0,15844.0,15690.0,15794.0,10.0
2024-10-18 23:00:00,15758.0,15850.0,15731.0,15846.0,36.0
2024-10-23 23:00:00,15649.0,15649.0,15599.0,15599.0,6.0
2024-10-24 23:00:00,15623.0,15712.0,15554.0,15643.0,9.0
2024-10-25 23:00:00,15575.0,15606.0,15567.0,15606.0,4.0
2024-10-28 23:00:00,15600.0,15735.0,15600.0,15730.0,48.0
2024-10-29 23:00:00,15733.0,15768.0,15695.0,15768.0,3.0
2024-10-30 23:00:00,15690.0,15690.0,15569.0,15569.0,3.0
2024-10-31 23:00:00,15534.0,15534.0,15430.0,15439.0,8.0
2024-11-01 23:00:00,15394.0,15600.0,15356.0,15503.0,11.0
2024-11-02 23:00:00,15390.0,15390.0,15315.0,15315.0,6.0
2024-11-05 23:00:00,15315.0,15459.0,15250.0,15459.0,62.0
2024-11-06 23:00:00,15479.0,15865.0,15239.0,15239.0,172.0
2024-11-07 23:00:00,15226.0,15563.0,15181.0,15503.0,406.0
2024-11-08 23:00:00,15484.0,15568.0,15308.0,15312.0,145.0
2024-11-11 23:00:00,15338.0,15578.0,15312.0,15535.0,82.0
2024-11-12 23:00:00,15493.0,15536.0,15357.0,15387.0,37.0
2024-11-13 23:00:00,15386.0,15386.0,15034.0,15103.0,82.0
2024-11-14 23:00:00,15120.0,15405.0,15102.0,15405.0,247.0
2024-11-15 23:00:00,15441.0,15441.0,15291.0,15351.0,133.0
2024-11-18 23:00:00,15340.0,15549.0,15294.0,15404.0,111.0
2024-11-19 23:00:00,15404.0,15455.0,15288.0,15288.0,50.0
2024-11-20 23:00:00,15399.0,15549.0,15359.0,15404.0,55.0
