<DATE>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
2025-01-03 23:00:00,470.0,470.0,470.0,470.0,1.0
2025-01-06 23:00:00,437.1,470.0,437.0,470.0,3.0
2025-01-15 23:00:00,464.9,480.0,464.9,480.0,25.0
2025-01-24 23:00:00,480.0,480.0,480.0,480.0,1.0
2025-01-28 23:00:00,457.1,457.1,455.3,455.3,5.0
2025-01-30 23:00:00,467.0,467.0,467.0,467.0,1.0
2025-02-06 23:00:00,468.0,468.0,468.0,468.0,1.0
2025-02-20 23:00:00,479.9,479.9,479.9,479.9,1.0
2025-02-21 23:00:00,478.0,478.0,478.0,478.0,1.0
2025-02-24 23:00:00,488.0,488.0,488.0,488.0,1.0
2025-02-25 23:00:00,492.0,492.0,473.1,489.7,3.0
2025-02-27 23:00:00,473.1,473.1,446.1,470.8,32.0
2025-02-28 23:00:00,468.9,468.9,468.9,468.9,1.0
2025-03-03 23:00:00,455.0,455.0,455.0,455.0,1.0
2025-03-06 23:00:00,445.0,445.0,439.8,439.8,2.0
2025-03-10 23:00:00,439.6,439.6,439.6,439.6,1.0
2025-03-11 23:00:00,435.1,444.0,435.1,444.0,2.0
2025-03-13 23:00:00,435.0,435.0,430.6,430.6,2.0
