<DATE>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
2024-12-05 23:00:00,7400.0,7400.0,7400.0,7400.0,1.0
2024-12-16 23:00:00,6818.0,6818.0,6817.0,6817.0,51.0
2024-12-17 23:00:00,6613.0,7288.0,6613.0,7171.0,62.0
2024-12-18 23:00:00,7271.0,7280.0,7076.0,7280.0,19.0
2024-12-19 23:00:00,7301.0,7504.0,7300.0,7504.0,11.0
2024-12-20 23:00:00,7372.0,7781.0,7295.0,7781.0,55.0
2024-12-23 23:00:00,7877.0,7877.0,7821.0,7821.0,5.0
2024-12-24 23:00:00,8001.0,8349.0,8001.0,8206.0,103.0
2024-12-25 23:00:00,8168.0,8234.0,8059.0,8195.0,201.0
2024-12-26 23:00:00,8247.0,8301.0,8234.0,8242.0,19.0
2024-12-27 23:00:00,8247.0,8248.0,8091.0,8133.0,52.0
2024-12-28 23:00:00,8138.0,8402.0,8020.0,8387.0,430.0
2024-12-30 23:00:00,8269.0,8515.0,8227.0,8515.0,222.0
2025-01-03 23:00:00,8505.0,8598.0,8372.0,8437.0,46.0
2025-01-06 23:00:00,8424.0,8428.0,8287.0,8352.0,35.0
2025-01-08 23:00:00,8366.0,8668.0,8350.0,8668.0,45.0
2025-01-09 23:00:00,8668.0,8706.0,8457.0,8475.0,45.0
2025-01-10 23:00:00,8475.0,8574.0,8329.0,8574.0,31.0
2025-01-13 23:00:00,8556.0,8693.0,8475.0,8475.0,51.0
2025-01-14 23:00:00,8561.0,8592.0,8424.0,8501.0,44.0
2025-01-15 23:00:00,8486.0,8492.0,8334.0,8366.0,30.0
2025-01-16 23:00:00,8442.0,8556.0,8439.0,8553.0,73.0
2025-01-17 23:00:00,8521.0,8689.0,8406.0,8615.0,74.0
2025-01-20 23:00:00,8664.0,8888.0,8664.0,8688.0,45.0
2025-01-21 23:00:00,8632.0,8642.0,8541.0,8602.0,19.0
2025-01-22 23:00:00,8671.0,8773.0,8671.0,8773.0,29.0
2025-01-23 23:00:00,8693.0,8702.0,8500.0,8546.0,131.0
2025-01-24 23:00:00,8508.0,8615.0,8456.0,8535.0,107.0
2025-01-27 23:00:00,8515.0,8520.0,8515.0,8515.0,31.0
2025-01-28 23:00:00,8513.0,8513.0,8333.0,8505.0,82.0
2025-01-29 23:00:00,8553.0,8553.0,8491.0,8491.0,32.0
2025-01-30 23:00:00,8468.0,8700.0,8468.0,8603.0,87.0
2025-01-31 23:00:00,8581.0,8701.0,8580.0,8642.0,20.0
2025-02-03 23:00:00,8607.0,8608.0,8251.0,8376.0,158.0
2025-02-04 23:00:00,8421.0,8481.0,8350.0,8350.0,81.0
2025-02-05 23:00:00,8350.0,8350.0,7816.0,8338.0,148.0
2025-02-06 23:00:00,8397.0,8472.0,8353.0,8355.0,74.0
2025-02-07 23:00:00,8406.0,8564.0,8406.0,8466.0,51.0
2025-02-10 23:00:00,8482.0,8676.0,8482.0,8568.0,134.0
2025-02-11 23:00:00,8598.0,8598.0,8363.0,8495.0,57.0
2025-02-12 23:00:00,8490.0,8565.0,8490.0,8539.0,15.0
2025-02-13 23:00:00,8595.0,9128.0,8595.0,8950.0,117.0
2025-02-14 23:00:00,8930.0,9159.0,8813.0,8852.0,92.0
2025-02-17 23:00:00,8809.0,9158.0,8809.0,9158.0,42.0
2025-02-18 23:00:00,9158.0,9395.0,8950.0,8985.0,349.0
2025-02-19 23:00:00,8985.0,9131.0,8898.0,9131.0,145.0
2025-02-20 23:00:00,9135.0,9230.0,9083.0,9083.0,51.0
2025-02-21 23:00:00,9115.0,9305.0,8925.0,9091.0,140.0
2025-02-24 23:00:00,9099.0,9197.0,9078.0,9142.0,227.0
2025-02-25 23:00:00,9146.0,9395.0,9130.0,9161.0,180.0
2025-02-26 23:00:00,9178.0,9358.0,9017.0,9117.0,278.0
2025-02-27 23:00:00,9040.0,9040.0,8786.0,8840.0,270.0
2025-02-28 23:00:00,8840.0,8840.0,8555.0,8710.0,350.0
2025-03-03 23:00:00,8768.0,8775.0,8500.0,8626.0,114.0
2025-03-04 23:00:00,8624.0,8901.0,8584.0,8893.0,106.0
2025-03-05 23:00:00,8931.0,8959.0,8776.0,8808.0,65.0
2025-03-06 23:00:00,8717.0,8767.0,8572.0,8609.0,74.0
2025-03-07 23:00:00,8628.0,8700.0,8499.0,8527.0,196.0
2025-03-10 23:00:00,8552.0,8672.0,8321.0,8557.0,166.0
2025-03-11 23:00:00,8511.0,8525.0,8430.0,8472.0,200.0
2025-03-12 23:00:00,8469.0,8546.0,8320.0,8335.0,307.0
2025-03-13 23:00:00,8320.0,8408.0,8101.0,8379.0,231.0
2025-03-14 23:00:00,8488.0,8609.0,8389.0,8593.0,732.0
2025-03-17 23:00:00,8611.0,8760.0,8583.0,8681.0,1343.0
2025-03-18 23:00:00,8684.0,8784.0,8655.0,8679.0,1144.0
2025-03-19 23:00:00,8699.0,8746.0,8453.0,8610.0,1257.0
2025-03-20 23:00:00,8618.0,8726.0,8556.0,8640.0,1198.0
2025-03-21 23:00:00,8641.0,8664.0,8428.0,8443.0,996.0
2025-03-24 23:00:00,8445.0,8496.0,8375.0,8431.0,952.0
2025-03-25 23:00:00,8420.0,8457.0,8241.0,8331.0,949.0
2025-03-26 23:00:00,8356.0,8435.0,8348.0,8370.0,582.0
2025-03-27 23:00:00,8351.0,8372.0,8233.0,8248.0,1118.0
2025-03-28 23:00:00,8253.0,8259.0,8070.0,8130.0,1434.0
2025-03-31 23:00:00,8130.0,8130.0,7753.0,7932.0,4579.0
2025-04-01 23:00:00,7950.0,8044.0,7656.0,7732.0,2910.0
2025-04-02 23:00:00,7731.0,7824.0,7555.0,7728.0,2271.0
2025-04-03 23:00:00,7704.0,7814.0,7435.0,7466.0,2289.0
2025-04-04 23:00:00,7458.0,7662.0,7325.0,7441.0,3036.0
