<DATE>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
2024-06-19 23:00:00,7525.0,7710.0,7393.0,7393.0,4.0
2024-06-20 23:00:00,7348.0,7513.0,7348.0,7513.0,2.0
2024-07-02 23:00:00,7816.0,7816.0,7816.0,7816.0,3.0
2024-07-11 23:00:00,6348.0,6604.0,6336.0,6540.0,143.0
2024-07-12 23:00:00,6712.0,6750.0,6420.0,6428.0,65.0
2024-07-15 23:00:00,6378.0,6632.0,6244.0,6244.0,28.0
2024-07-16 23:00:00,6300.0,6524.0,6300.0,6524.0,5.0
2024-07-17 23:00:00,6585.0,6585.0,6585.0,6585.0,1.0
2024-07-18 23:00:00,6455.0,6582.0,6454.0,6558.0,43.0
2024-07-19 23:00:00,6771.0,6880.0,6771.0,6880.0,48.0
2024-07-22 23:00:00,6968.0,7025.0,6968.0,7025.0,32.0
2024-07-23 23:00:00,6940.0,6962.0,6940.0,6957.0,6.0
2024-07-24 23:00:00,7115.0,7115.0,7115.0,7115.0,5.0
2024-07-25 23:00:00,7121.0,7444.0,7118.0,7444.0,91.0
2024-07-26 23:00:00,7527.0,7527.0,7037.0,7233.0,14.0
2024-07-29 23:00:00,7265.0,7265.0,6801.0,6825.0,69.0
2024-07-30 23:00:00,6825.0,7113.0,6808.0,7113.0,54.0
2024-07-31 23:00:00,7075.0,7169.0,6943.0,6943.0,39.0
2024-08-01 23:00:00,7093.0,7226.0,7093.0,7176.0,18.0
2024-08-02 23:00:00,7016.0,7060.0,6947.0,6994.0,53.0
2024-08-05 23:00:00,7017.0,7032.0,6850.0,7021.0,65.0
2024-08-06 23:00:00,7049.0,7231.0,7000.0,7000.0,42.0
2024-08-07 23:00:00,7086.0,7086.0,6410.0,6750.0,306.0
2024-08-08 23:00:00,6750.0,6990.0,6738.0,6770.0,66.0
2024-08-09 23:00:00,6839.0,7117.0,6839.0,7058.0,81.0
2024-08-12 23:00:00,7050.0,7065.0,6545.0,7000.0,153.0
2024-08-13 23:00:00,7011.0,7230.0,6665.0,7147.0,178.0
2024-08-14 23:00:00,7158.0,7394.0,6948.0,7000.0,183.0
2024-08-15 23:00:00,7000.0,7024.0,6905.0,6917.0,70.0
2024-08-16 23:00:00,6918.0,6944.0,6796.0,6944.0,106.0
2024-08-19 23:00:00,6848.0,6899.0,6621.0,6700.0,129.0
2024-08-20 23:00:00,6700.0,7120.0,6611.0,6812.0,242.0
2024-08-21 23:00:00,6811.0,6811.0,6706.0,6706.0,53.0
2024-08-22 23:00:00,6706.0,6753.0,6144.0,6144.0,246.0
2024-08-23 23:00:00,6201.0,6474.0,6073.0,6073.0,295.0
2024-08-26 23:00:00,6075.0,6717.0,6060.0,6481.0,165.0
2024-08-27 23:00:00,6455.0,6455.0,6183.0,6342.0,33.0
2024-08-28 23:00:00,6229.0,6315.0,6000.0,6162.0,51.0
2024-08-29 23:00:00,6083.0,6110.0,5941.0,6010.0,46.0
2024-08-30 23:00:00,6029.0,6029.0,4568.0,4622.0,1252.0
2024-09-02 23:00:00,4699.0,4790.0,3901.0,4501.0,2987.0
2024-09-03 23:00:00,4574.0,4668.0,4333.0,4477.0,1362.0
2024-09-04 23:00:00,4471.0,4664.0,4426.0,4664.0,649.0
2024-09-05 23:00:00,4663.0,5015.0,4648.0,4650.0,1285.0
2024-09-06 23:00:00,4673.0,4807.0,4609.0,4706.0,358.0
2024-09-09 23:00:00,4690.0,5212.0,4690.0,5075.0,1082.0
2024-09-10 23:00:00,5100.0,5379.0,5051.0,5142.0,2241.0
2024-09-11 23:00:00,5143.0,5333.0,5135.0,5220.0,1306.0
2024-09-12 23:00:00,5209.0,5220.0,4957.0,5043.0,1317.0
2024-09-13 23:00:00,4993.0,5141.0,4859.0,5141.0,947.0
2024-09-16 23:00:00,5109.0,5337.0,5084.0,5328.0,1105.0
2024-09-17 23:00:00,5327.0,5621.0,5303.0,5574.0,2207.0
2024-09-18 23:00:00,5563.0,5622.0,5402.0,5464.0,1936.0
2024-09-19 23:00:00,5442.0,5442.0,5290.0,5352.0,2688.0
2024-09-20 23:00:00,5350.0,5500.0,5255.0,5423.0,3178.0
2024-09-23 23:00:00,5409.0,5499.0,5354.0,5379.0,2598.0
2024-09-24 23:00:00,5388.0,5432.0,5201.0,5220.0,2419.0
2024-09-25 23:00:00,5269.0,5310.0,5106.0,5120.0,3186.0
2024-09-26 23:00:00,5120.0,5171.0,5052.0,5159.0,2820.0
2024-09-27 23:00:00,5158.0,5235.0,5132.0,5222.0,1849.0
2024-09-30 23:00:00,5222.0,5447.0,5200.0,5266.0,2017.0
2024-10-01 23:00:00,5273.0,5282.0,5121.0,5150.0,1557.0
2024-10-02 23:00:00,5155.0,5235.0,4942.0,4984.0,3059.0
2024-10-03 23:00:00,4950.0,5077.0,4764.0,4961.0,3880.0
2024-10-04 23:00:00,4965.0,5142.0,4963.0,5136.0,1606.0
2024-10-07 23:00:00,5111.0,5153.0,4965.0,4995.0,2207.0
2024-10-08 23:00:00,4999.0,5036.0,4959.0,4981.0,694.0
2024-10-09 23:00:00,4980.0,5003.0,4900.0,4970.0,787.0
2024-10-10 23:00:00,4945.0,4994.0,4875.0,4875.0,1760.0
2024-10-11 23:00:00,4876.0,4926.0,4874.0,4910.0,388.0
2024-10-14 23:00:00,4929.0,5029.0,4854.0,4936.0,2507.0
2024-10-15 23:00:00,4943.0,5091.0,4732.0,5065.0,2972.0
2024-10-16 23:00:00,5074.0,5207.0,4970.0,4981.0,2064.0
2024-10-17 23:00:00,5000.0,5018.0,4940.0,4970.0,626.0
2024-10-18 23:00:00,4973.0,4973.0,4844.0,4886.0,969.0
2024-10-21 23:00:00,4882.0,4932.0,4830.0,4870.0,621.0
2024-10-22 23:00:00,4888.0,4888.0,4475.0,4600.0,4761.0
2024-10-23 23:00:00,4609.0,4691.0,4556.0,4686.0,2271.0
2024-10-24 23:00:00,4660.0,4677.0,4556.0,4623.0,1853.0
2024-10-25 23:00:00,4643.0,4670.0,4389.0,4412.0,4472.0
2024-10-28 23:00:00,4419.0,4489.0,4300.0,4360.0,3213.0
2024-10-29 23:00:00,4360.0,4556.0,4360.0,4556.0,2446.0
2024-10-30 23:00:00,4545.0,4637.0,4509.0,4620.0,1689.0
2024-10-31 23:00:00,4565.0,4594.0,4423.0,4481.0,2721.0
2024-11-01 23:00:00,4469.0,4537.0,4421.0,4509.0,1252.0
2024-11-02 23:00:00,4532.0,4569.0,4495.0,4539.0,399.0
2024-11-05 23:00:00,4531.0,4598.0,4488.0,4536.0,776.0
2024-11-06 23:00:00,4548.0,4700.0,4537.0,4598.0,2728.0
2024-11-07 23:00:00,4591.0,4699.0,4539.0,4627.0,859.0
2024-11-08 23:00:00,4632.0,5006.0,4615.0,4977.0,9327.0
2024-11-11 23:00:00,4977.0,5150.0,4960.0,5061.0,6913.0
2024-11-12 23:00:00,5065.0,5124.0,4960.0,5053.0,2614.0
2024-11-13 23:00:00,5029.0,5074.0,4930.0,5035.0,2186.0
2024-11-14 23:00:00,5020.0,5034.0,4848.0,4859.0,3209.0
2024-11-15 23:00:00,4854.0,4967.0,4826.0,4962.0,1209.0
2024-11-18 23:00:00,4968.0,4972.0,4599.0,4826.0,3435.0
2024-11-19 23:00:00,4813.0,4813.0,4600.0,4662.0,3349.0
2024-11-20 23:00:00,4618.0,4755.0,4600.0,4658.0,1426.0
2024-11-21 23:00:00,4641.0,4697.0,4500.0,4500.0,6685.0
2024-11-22 23:00:00,4500.0,4668.0,4451.0,4577.0,1632.0
2024-11-25 23:00:00,4572.0,4597.0,4491.0,4549.0,1356.0
2024-11-26 23:00:00,4549.0,4623.0,4400.0,4415.0,2776.0
2024-11-27 23:00:00,4423.0,4478.0,4146.0,4313.0,5335.0
2024-11-28 23:00:00,4329.0,4700.0,4329.0,4600.0,3349.0
2024-11-29 23:00:00,4580.0,4617.0,4432.0,4578.0,2368.0
2024-12-02 23:00:00,4566.0,4712.0,4538.0,4699.0,1453.0
2024-12-03 23:00:00,4659.0,4685.0,4478.0,4540.0,1851.0
2024-12-04 23:00:00,4532.0,4532.0,4364.0,4384.0,1434.0
2024-12-05 23:00:00,4348.0,4362.0,4197.0,4280.0,1515.0
2024-12-06 23:00:00,4290.0,4398.0,4289.0,4338.0,2030.0
2024-12-09 23:00:00,4340.0,4415.0,4276.0,4393.0,754.0
2024-12-10 23:00:00,4361.0,4363.0,4242.0,4251.0,901.0
2024-12-11 23:00:00,4245.0,4272.0,4166.0,4209.0,719.0
2024-12-12 23:00:00,4206.0,4271.0,4088.0,4099.0,1451.0
2024-12-13 23:00:00,4105.0,4198.0,4041.0,4162.0,1106.0
2024-12-16 23:00:00,4177.0,4228.0,4076.0,4077.0,1214.0
2024-12-17 23:00:00,4095.0,4140.0,4076.0,4094.0,811.0
2024-12-18 23:00:00,4094.0,4150.0,4076.0,4118.0,290.0
2024-12-19 23:00:00,4140.0,4198.0,4090.0,4142.0,1824.0
