<DATE>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
2024-06-11 23:00:00,12793.0,12793.0,12793.0,12793.0,1.0
2024-06-20 23:00:00,11781.0,11781.0,11781.0,11781.0,2.0
2024-06-21 23:00:00,12048.0,12048.0,12048.0,12048.0,1.0
2024-06-24 23:00:00,11509.0,11868.0,11509.0,11868.0,2.0
2024-06-27 23:00:00,11500.0,11550.0,11500.0,11550.0,2.0
2024-07-08 23:00:00,12107.0,12107.0,12107.0,12107.0,1.0
2024-07-09 23:00:00,11709.0,11709.0,11709.0,11709.0,2.0
2024-07-10 23:00:00,11541.0,11541.0,11541.0,11541.0,1.0
2024-07-11 23:00:00,11299.0,11299.0,11299.0,11299.0,2.0
2024-07-12 23:00:00,11500.0,11600.0,11500.0,11600.0,3.0
2024-07-15 23:00:00,11245.0,11245.0,11245.0,11245.0,1.0
2024-07-16 23:00:00,10814.0,11001.0,10814.0,11001.0,2.0
2024-07-17 23:00:00,10534.0,10835.0,10534.0,10835.0,3.0
2024-07-18 23:00:00,10835.0,11999.0,10005.0,10445.0,14.0
2024-07-19 23:00:00,10827.0,11249.0,10578.0,11249.0,13.0
2024-07-22 23:00:00,11499.0,12302.0,11499.0,11790.0,27.0
2024-07-23 23:00:00,11600.0,11799.0,11600.0,11799.0,13.0
2024-07-24 23:00:00,11626.0,11800.0,11370.0,11800.0,21.0
2024-07-25 23:00:00,11850.0,11850.0,11850.0,11850.0,1.0
2024-07-26 23:00:00,11777.0,11777.0,11697.0,11697.0,6.0
2024-07-30 23:00:00,11389.0,11604.0,11389.0,11604.0,7.0
2024-07-31 23:00:00,11365.0,11365.0,11365.0,11365.0,1.0
2024-08-01 23:00:00,11345.0,11345.0,11345.0,11345.0,1.0
2024-08-05 23:00:00,11287.0,11386.0,11035.0,11119.0,5.0
2024-08-06 23:00:00,11435.0,11601.0,11030.0,11030.0,4.0
2024-08-07 23:00:00,11179.0,11179.0,11179.0,11179.0,1.0
2024-08-13 23:00:00,11259.0,11484.0,11190.0,11484.0,5.0
2024-08-16 23:00:00,11208.0,11355.0,10858.0,11170.0,13.0
2024-08-19 23:00:00,10897.0,10897.0,10897.0,10897.0,1.0
2024-08-21 23:00:00,10862.0,10862.0,10862.0,10862.0,2.0
2024-08-22 23:00:00,11017.0,11017.0,10973.0,10973.0,8.0
2024-08-23 23:00:00,10587.0,10587.0,10086.0,10192.0,27.0
2024-08-26 23:00:00,9960.0,10300.0,9729.0,10089.0,12.0
2024-08-27 23:00:00,10259.0,10698.0,10042.0,10304.0,4.0
2024-08-28 23:00:00,10151.0,10228.0,9955.0,9989.0,11.0
2024-08-30 23:00:00,9805.0,9805.0,9479.0,9555.0,27.0
2024-09-02 23:00:00,9276.0,9775.0,8880.0,9257.0,18.0
2024-09-03 23:00:00,9222.0,9223.0,8914.0,8914.0,7.0
2024-09-04 23:00:00,9296.0,9530.0,9296.0,9395.0,5.0
2024-09-06 23:00:00,9407.0,9407.0,9407.0,9407.0,7.0
2024-09-09 23:00:00,9500.0,9500.0,9500.0,9500.0,4.0
2024-09-10 23:00:00,9677.0,9751.0,9677.0,9715.0,6.0
2024-09-13 23:00:00,9401.0,9819.0,9401.0,9819.0,4.0
2024-09-16 23:00:00,9725.0,10224.0,9725.0,9790.0,26.0
2024-09-17 23:00:00,10191.0,10259.0,9961.0,10259.0,4.0
2024-09-18 23:00:00,10173.0,10205.0,10173.0,10200.0,11.0
2024-09-20 23:00:00,10301.0,10301.0,10301.0,10301.0,1.0
2024-09-23 23:00:00,10312.0,10588.0,10312.0,10430.0,6.0
2024-09-24 23:00:00,10504.0,10504.0,10326.0,10477.0,17.0
2024-09-25 23:00:00,10398.0,10468.0,10149.0,10277.0,86.0
2024-09-26 23:00:00,10217.0,10217.0,10217.0,10217.0,1.0
2024-09-27 23:00:00,10380.0,10600.0,10220.0,10465.0,23.0
2024-09-30 23:00:00,10656.0,10663.0,10344.0,10378.0,17.0
2024-10-01 23:00:00,10295.0,10496.0,10291.0,10400.0,15.0
2024-10-02 23:00:00,10538.0,10634.0,10315.0,10315.0,24.0
2024-10-03 23:00:00,10222.0,10241.0,10222.0,10241.0,3.0
2024-10-04 23:00:00,10314.0,10700.0,10314.0,10587.0,89.0
2024-10-07 23:00:00,10590.0,10702.0,10433.0,10611.0,30.0
2024-10-08 23:00:00,10709.0,10739.0,10610.0,10610.0,19.0
2024-10-09 23:00:00,10725.0,10725.0,10499.0,10544.0,45.0
2024-10-10 23:00:00,10576.0,10635.0,10515.0,10564.0,16.0
2024-10-11 23:00:00,10459.0,10459.0,10373.0,10400.0,9.0
2024-10-14 23:00:00,10353.0,10413.0,10300.0,10413.0,13.0
2024-10-15 23:00:00,10388.0,10597.0,10380.0,10597.0,16.0
2024-10-16 23:00:00,10613.0,10638.0,10603.0,10603.0,23.0
2024-10-17 23:00:00,10522.0,10587.0,10300.0,10316.0,11.0
2024-10-18 23:00:00,10354.0,10354.0,10352.0,10352.0,4.0
2024-10-21 23:00:00,10294.0,10294.0,10200.0,10291.0,12.0
2024-10-22 23:00:00,10158.0,10177.0,10015.0,10050.0,31.0
2024-10-23 23:00:00,9903.0,10102.0,9903.0,10003.0,8.0
2024-10-24 23:00:00,9789.0,9975.0,9789.0,9955.0,6.0
2024-10-25 23:00:00,10058.0,10087.0,9753.0,9753.0,56.0
2024-10-28 23:00:00,9885.0,9919.0,9540.0,9540.0,39.0
2024-10-29 23:00:00,9468.0,9469.0,9253.0,9349.0,22.0
2024-10-30 23:00:00,9400.0,9538.0,9376.0,9479.0,16.0
2024-10-31 23:00:00,9419.0,9523.0,9200.0,9330.0,31.0
2024-11-01 23:00:00,9330.0,9330.0,8946.0,8948.0,17.0
2024-11-02 23:00:00,9090.0,9240.0,9069.0,9135.0,10.0
2024-11-05 23:00:00,9233.0,9405.0,9191.0,9405.0,12.0
2024-11-06 23:00:00,9625.0,9885.0,9508.0,9560.0,78.0
2024-11-07 23:00:00,9560.0,9792.0,9520.0,9792.0,9.0
2024-11-08 23:00:00,9808.0,9856.0,9676.0,9680.0,150.0
2024-11-11 23:00:00,9763.0,10269.0,9763.0,10269.0,57.0
