<DATE>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
2023-09-19 23:00:00,24304.0,24373.0,24304.0,24373.0,7.0
2023-09-20 23:00:00,24300.0,24300.0,23429.0,24300.0,6.0
2023-10-04 23:00:00,23621.0,23621.0,23621.0,23621.0,1.0
2023-10-09 23:00:00,21737.0,24199.0,21737.0,22023.0,5.0
2023-10-10 23:00:00,24371.0,24371.0,24371.0,24371.0,1.0
2023-10-11 23:00:00,23191.0,23191.0,23191.0,23191.0,1.0
2023-10-12 23:00:00,23452.0,23452.0,23400.0,23400.0,23.0
2023-10-16 23:00:00,23549.0,23549.0,23549.0,23549.0,1.0
2023-10-17 23:00:00,23405.0,23405.0,23400.0,23400.0,3.0
2023-10-18 23:00:00,23500.0,24190.0,23500.0,24190.0,5.0
2023-10-19 23:00:00,23903.0,23903.0,23903.0,23903.0,1.0
2023-10-20 23:00:00,23915.0,23915.0,23912.0,23912.0,2.0
2023-10-23 23:00:00,24000.0,24000.0,24000.0,24000.0,1.0
2023-10-24 23:00:00,24000.0,24000.0,23899.0,23899.0,2.0
2023-10-26 23:00:00,23899.0,23899.0,23890.0,23890.0,2.0
2023-10-30 23:00:00,23910.0,23950.0,23570.0,23900.0,10.0
2023-11-02 23:00:00,23896.0,23900.0,23500.0,23500.0,8.0
2023-11-03 23:00:00,23500.0,23500.0,23500.0,23500.0,5.0
2023-11-06 23:00:00,23500.0,24400.0,23500.0,24400.0,6.0
2023-11-16 23:00:00,24199.0,24200.0,24199.0,24200.0,2.0
2023-11-17 23:00:00,24099.0,24099.0,24099.0,24099.0,2.0
2023-11-20 23:00:00,23700.0,23700.0,23700.0,23700.0,1.0
2023-11-24 23:00:00,23600.0,23600.0,23600.0,23600.0,1.0
2023-11-27 23:00:00,23100.0,23100.0,23100.0,23100.0,4.0
2023-12-11 23:00:00,22101.0,22101.0,22101.0,22101.0,1.0
2023-12-15 23:00:00,22500.0,23650.0,22500.0,23650.0,60.0
2023-12-19 23:00:00,23780.0,23780.0,23780.0,23780.0,1.0
2023-12-20 23:00:00,21093.0,24454.0,21093.0,24377.0,5.0
2023-12-21 23:00:00,24277.0,24277.0,24277.0,24277.0,1.0
2023-12-25 23:00:00,22500.0,24283.0,22500.0,24283.0,81.0
2023-12-26 23:00:00,24283.0,24283.0,22600.0,22600.0,6.0
2023-12-27 23:00:00,23525.0,23525.0,23525.0,23525.0,1.0
2023-12-29 23:00:00,22500.0,22500.0,22500.0,22500.0,10.0
2024-01-09 23:00:00,22305.0,22305.0,22287.0,22287.0,2.0
2024-01-10 23:00:00,22500.0,23000.0,22500.0,23000.0,40.0
2024-01-12 23:00:00,23327.0,23327.0,22500.0,23100.0,41.0
2024-01-19 23:00:00,22850.0,22850.0,22850.0,22850.0,1.0
2024-01-22 23:00:00,22271.0,22271.0,22235.0,22235.0,2.0
2024-01-25 23:00:00,23050.0,23169.0,23050.0,23169.0,2.0
2024-01-31 23:00:00,22235.0,22235.0,22235.0,22235.0,1.0
2024-02-01 23:00:00,22998.0,22998.0,22998.0,22998.0,1.0
2024-02-05 23:00:00,22210.0,23093.0,22210.0,23093.0,3.0
2024-02-07 23:00:00,21933.0,21933.0,21933.0,21933.0,1.0
2024-02-08 23:00:00,23337.0,23337.0,23337.0,23337.0,1.0
2024-02-09 23:00:00,22109.0,22109.0,22109.0,22109.0,1.0
2024-02-13 23:00:00,22044.0,22044.0,22044.0,22044.0,1.0
2024-02-14 23:00:00,22351.0,22351.0,22350.0,22350.0,11.0
2024-02-15 23:00:00,22001.0,22001.0,22001.0,22001.0,1.0
2024-02-20 23:00:00,22000.0,22200.0,22000.0,22200.0,2.0
2024-02-28 23:00:00,21735.0,22189.0,21605.0,22189.0,6.0
2024-02-29 23:00:00,21658.0,21658.0,21658.0,21658.0,1.0
2024-03-01 23:00:00,22451.0,22718.0,22451.0,22718.0,2.0
2024-03-04 23:00:00,21284.0,22395.0,21284.0,22395.0,2.0
2024-03-07 23:00:00,21714.0,21714.0,21530.0,21693.0,11.0
2024-03-12 23:00:00,22447.0,22447.0,21701.0,21701.0,2.0
2024-03-13 23:00:00,22405.0,22405.0,22405.0,22405.0,1.0
2024-03-14 23:00:00,22626.0,23346.0,20825.0,22258.0,137.0
2024-03-15 23:00:00,22399.0,22494.0,21416.0,22494.0,9.0
2024-03-18 23:00:00,21700.0,22459.0,21515.0,22300.0,8.0
2024-03-19 23:00:00,21700.0,22300.0,21690.0,21705.0,6.0
2024-03-21 23:00:00,21756.0,22235.0,21704.0,21704.0,8.0
2024-03-22 23:00:00,21719.0,21719.0,21600.0,21600.0,4.0
2024-03-25 23:00:00,21799.0,21800.0,21798.0,21800.0,3.0
2024-03-26 23:00:00,21820.0,21820.0,21820.0,21820.0,1.0
2024-03-28 23:00:00,21219.0,21600.0,21219.0,21600.0,2.0
2024-03-29 23:00:00,22149.0,22149.0,21221.0,21221.0,4.0
2024-04-01 23:00:00,21444.0,21444.0,21444.0,21444.0,1.0
2024-04-02 23:00:00,21653.0,21653.0,21653.0,21653.0,1.0
2024-04-03 23:00:00,21910.0,22217.0,21700.0,21700.0,10.0
