<DATE>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
2025-01-23 23:00:00,1.1626,1.1626,1.1626,1.1626,1.0
2025-03-05 23:00:00,1.3299,1.3299,1.2503,1.2998,5.0
2025-03-10 23:00:00,1.29,1.29,1.29,1.29,1.0
2025-03-14 23:00:00,1.2931,1.2931,1.291,1.291,250.0
2025-03-17 23:00:00,1.2952,1.2963,1.2945,1.2963,204.0
2025-03-18 23:00:00,1.2975,1.2975,1.2936,1.295,153.0
2025-03-19 23:00:00,1.2982,1.2982,1.2918,1.2918,562.0
2025-03-20 23:00:00,1.2918,1.2941,1.2806,1.2913,513.0
2025-03-21 23:00:00,1.2886,1.2886,1.2863,1.2863,11.0
2025-03-24 23:00:00,1.2889,1.289,1.2874,1.2874,17.0
2025-03-25 23:00:00,1.2885,1.2885,1.2885,1.2885,1.0
2025-03-26 23:00:00,1.288,1.288,1.288,1.288,1.0
2025-03-27 23:00:00,1.2866,1.2902,1.2866,1.2902,201.0
2025-03-28 23:00:00,1.2895,1.2908,1.2891,1.2904,12.0
2025-03-31 23:00:00,1.2885,1.2885,1.2865,1.2865,2.0
2025-04-01 23:00:00,1.2877,1.2885,1.2844,1.2885,133.0
2025-04-02 23:00:00,1.2875,1.2931,1.2871,1.2931,7.0
2025-04-03 23:00:00,1.312,1.3145,1.3097,1.3101,64.0
2025-04-04 23:00:00,1.3045,1.3045,1.2964,1.2972,107.0
