<DATE>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
2023-09-20 23:00:00,6013.2,6013.2,6013.2,6013.2,1.0
2023-09-21 23:00:00,6100.0,6100.0,6100.0,6100.0,1.0
2023-09-22 23:00:00,6101.5,6200.0,6101.5,6200.0,5.0
2023-09-25 23:00:00,6112.0,6112.0,6112.0,6112.0,1.0
2023-09-26 23:00:00,6260.0,6260.0,6260.0,6260.0,3.0
2023-09-27 23:00:00,6121.0,6250.0,6121.0,6248.0,4.0
2023-10-02 23:00:00,6200.0,6200.0,6100.0,6100.0,2.0
2023-10-03 23:00:00,6247.0,6247.0,6220.0,6220.0,2.0
2023-10-04 23:00:00,6100.0,6100.0,6100.0,6100.0,1.0
2023-10-05 23:00:00,6060.2,6060.2,6060.0,6060.0,3.0
2023-10-06 23:00:00,6262.0,6370.0,6120.1,6370.0,11.0
2023-10-09 23:00:00,6359.4,6602.0,6161.1,6161.1,26.0
2023-10-10 23:00:00,6478.6,6478.6,6166.1,6166.1,2.0
2023-10-12 23:00:00,6200.0,6200.0,6150.0,6150.0,2.0
2023-10-13 23:00:00,6042.0,6299.7,6042.0,6299.7,9.0
2023-10-16 23:00:00,6290.0,6399.9,6247.0,6350.0,97.0
2023-10-17 23:00:00,6350.0,6496.6,6290.0,6315.1,5.0
2023-10-18 23:00:00,6490.0,6490.0,6028.2,6399.9,55.0
2023-10-19 23:00:00,6273.0,6303.0,6270.0,6303.0,3.0
2023-10-20 23:00:00,6446.5,6461.7,6203.6,6244.7,10.0
2023-10-25 23:00:00,6190.0,6190.0,6190.0,6190.0,1.0
2023-10-26 23:00:00,6377.0,6385.5,6200.0,6200.0,8.0
2023-10-27 23:00:00,6400.0,6400.0,6004.2,6287.2,69.0
2023-10-30 23:00:00,6386.0,6561.5,6309.0,6450.0,96.0
2023-10-31 23:00:00,6304.0,6444.1,6195.0,6215.2,16.0
2023-11-01 23:00:00,6446.5,6446.5,6446.5,6446.5,2.0
2023-11-02 23:00:00,6234.5,6234.5,6234.5,6234.5,1.0
2023-11-03 23:00:00,6435.8,6435.8,6435.8,6435.8,1.0
2023-11-06 23:00:00,6250.1,6406.9,6250.1,6406.9,2.0
2023-11-07 23:00:00,6251.0,6397.6,6122.8,6181.1,32.0
2023-11-08 23:00:00,6200.0,6200.0,6180.6,6180.6,6.0
2023-11-09 23:00:00,6161.0,6180.0,6161.0,6180.0,8.0
2023-11-10 23:00:00,6219.8,6219.8,6200.0,6200.0,4.0
2023-11-13 23:00:00,6219.8,6219.9,6050.0,6050.0,140.0
2023-11-14 23:00:00,6319.3,6319.3,6050.1,6050.1,21.0
2023-11-15 23:00:00,6020.1,6120.0,6020.0,6120.0,3.0
2023-11-16 23:00:00,5950.0,6007.0,5950.0,6007.0,5.0
2023-11-17 23:00:00,6080.0,6276.9,6080.0,6180.0,56.0
2023-11-20 23:00:00,6002.0,6002.0,5918.0,5920.0,20.0
2023-11-21 23:00:00,5927.0,5999.9,5920.0,5999.9,29.0
2023-11-22 23:00:00,6146.9,6146.9,5970.0,5980.7,9.0
2023-11-23 23:00:00,5970.0,6030.0,5911.1,6030.0,14.0
2023-11-24 23:00:00,6033.0,6040.0,6033.0,6040.0,7.0
2023-11-28 23:00:00,6212.0,6272.0,6212.0,6271.0,20.0
2023-11-29 23:00:00,6161.0,6345.9,6161.0,6345.9,32.0
2023-11-30 23:00:00,6247.0,6345.9,6165.5,6207.1,27.0
2023-12-01 23:00:00,6268.9,6390.8,6268.9,6298.0,35.0
2023-12-04 23:00:00,6238.3,6450.0,6238.3,6337.0,34.0
2023-12-05 23:00:00,6277.0,6490.0,6155.0,6301.1,56.0
2023-12-06 23:00:00,6410.1,6410.1,6272.0,6272.0,53.0
2023-12-07 23:00:00,6428.9,6428.9,6292.0,6292.0,14.0
2023-12-08 23:00:00,6281.0,6281.0,6201.0,6201.0,6.0
2023-12-11 23:00:00,6327.0,6490.0,6201.0,6230.0,73.0
2023-12-12 23:00:00,6220.0,6317.5,6202.0,6250.0,225.0
2023-12-13 23:00:00,6221.0,6221.0,6201.0,6201.0,23.0
2023-12-14 23:00:00,6220.0,6315.8,6220.0,6311.3,64.0
2023-12-15 23:00:00,6205.2,6350.0,6201.4,6350.0,105.0
2023-12-18 23:00:00,6282.4,6293.5,6246.1,6285.9,81.0
2023-12-19 23:00:00,6201.6,6286.4,6201.0,6286.4,60.0
2023-12-20 23:00:00,6257.3,6297.9,6254.1,6275.0,72.0
2023-12-21 23:00:00,6280.0,6317.0,6251.0,6313.0,153.0
2023-12-22 23:00:00,6307.9,6324.7,6274.7,6305.5,74.0
2023-12-25 23:00:00,6302.9,6329.3,6271.0,6274.3,491.0
2023-12-26 23:00:00,6288.2,6321.9,6270.0,6320.0,67.0
2023-12-27 23:00:00,6319.9,6379.3,6306.2,6348.9,322.0
2023-12-28 23:00:00,6341.2,6357.5,6260.1,6334.3,279.0
2023-12-29 23:00:00,6319.4,6347.8,6277.6,6330.0,205.0
2024-01-03 23:00:00,6339.3,6344.5,6310.3,6316.4,44.0
2024-01-04 23:00:00,6322.6,6344.9,6297.8,6309.5,36.0
2024-01-05 23:00:00,6296.7,6302.2,6234.4,6270.3,289.0
2024-01-08 23:00:00,6283.7,6283.7,6173.9,6234.0,166.0
2024-01-09 23:00:00,6253.1,6253.1,6194.7,6194.7,20.0
2024-01-10 23:00:00,6193.9,6209.8,6169.8,6194.8,52.0
2024-01-11 23:00:00,6162.1,6185.6,6146.3,6146.3,82.0
2024-01-12 23:00:00,6146.4,6251.3,6126.4,6233.8,421.0
2024-01-15 23:00:00,6245.5,6245.5,6166.0,6178.2,271.0
2024-01-16 23:00:00,6148.2,6200.8,6120.0,6177.1,228.0
2024-01-17 23:00:00,6157.9,6199.5,6140.0,6162.1,294.0
2024-01-18 23:00:00,6165.5,6174.6,6141.0,6167.4,128.0
2024-01-19 23:00:00,6170.8,6191.3,6120.1,6120.1,316.0
2024-01-22 23:00:00,6123.7,6123.7,6070.5,6086.3,288.0
2024-01-23 23:00:00,6085.7,6114.4,6084.0,6105.0,59.0
2024-01-24 23:00:00,6115.0,6145.2,6104.0,6141.0,38.0
2024-01-25 23:00:00,6125.9,6167.7,6109.9,6154.9,56.0
2024-01-26 23:00:00,6141.7,6213.1,6135.0,6180.0,128.0
2024-01-29 23:00:00,6183.0,6243.3,6142.6,6143.3,211.0
2024-01-30 23:00:00,6141.3,6227.8,6141.1,6203.3,500.0
2024-01-31 23:00:00,6185.2,6258.6,6185.2,6247.1,107.0
2024-02-01 23:00:00,6243.1,6260.0,6215.4,6260.0,407.0
2024-02-02 23:00:00,6260.0,6390.0,6216.2,6240.2,871.0
2024-02-05 23:00:00,6248.2,6260.1,6165.0,6175.0,523.0
2024-02-06 23:00:00,6184.0,6219.9,6182.0,6219.7,60.0
2024-02-07 23:00:00,6223.6,6244.2,6200.2,6235.9,376.0
2024-02-08 23:00:00,6219.5,6230.2,6152.8,6152.8,284.0
2024-02-09 23:00:00,6148.5,6168.9,6133.5,6165.7,156.0
2024-02-12 23:00:00,6131.4,6150.8,6098.0,6112.3,396.0
2024-02-13 23:00:00,6100.0,6139.5,6080.0,6080.0,244.0
2024-02-14 23:00:00,6086.1,6088.3,6071.1,6077.6,147.0
2024-02-15 23:00:00,6084.8,6134.0,6078.3,6108.9,774.0
2024-02-16 23:00:00,6140.0,6142.6,6108.9,6112.3,235.0
2024-02-19 23:00:00,6139.8,6177.7,6139.8,6155.6,146.0
2024-02-20 23:00:00,6154.9,6169.6,6143.3,6154.6,224.0
2024-02-21 23:00:00,6156.6,6175.8,6150.0,6172.6,46.0
2024-02-22 23:00:00,6158.5,6210.0,6120.0,6177.3,390.0
2024-02-26 23:00:00,6190.0,6205.0,6171.0,6193.6,439.0
2024-02-27 23:00:00,6188.4,6208.7,6167.8,6208.0,532.0
2024-02-28 23:00:00,6203.8,6214.8,6171.0,6171.0,2432.0
2024-02-29 23:00:00,6179.9,6195.6,6145.2,6170.0,86.0
2024-03-01 23:00:00,6186.8,6274.3,6186.8,6260.9,644.0
2024-03-04 23:00:00,6281.0,6332.3,6258.2,6317.5,3184.0
2024-03-05 23:00:00,6307.0,6414.4,6307.0,6366.8,831.0
2024-03-06 23:00:00,6347.7,6439.2,6323.4,6408.0,1231.0
2024-03-07 23:00:00,6411.0,6493.7,6387.4,6469.1,2097.0
2024-03-11 23:00:00,6457.5,6526.9,6452.0,6519.7,1613.0
2024-03-12 23:00:00,6514.0,6533.7,6462.2,6517.1,466.0
2024-03-13 23:00:00,6522.7,6574.3,6464.7,6574.3,5536.0
2024-03-14 23:00:00,6554.2,6600.0,6534.1,6560.0,12340.0
2024-03-15 23:00:00,6556.0,6683.9,6556.0,6663.5,6001.0
2024-03-18 23:00:00,6666.2,6671.0,6566.0,6595.0,8276.0
2024-03-19 23:00:00,6592.9,6626.0,6560.0,6606.4,2553.0
2024-03-20 23:00:00,6606.8,6645.7,6606.8,6633.5,5018.0
2024-03-21 23:00:00,6633.0,6814.8,6616.3,6675.1,17200.0
2024-03-22 23:00:00,6675.2,6713.8,6640.3,6683.1,20697.0
2024-03-25 23:00:00,6674.4,6738.7,6638.0,6728.7,20553.0
2024-03-26 23:00:00,6723.8,6747.8,6700.3,6713.9,5844.0
2024-03-27 23:00:00,6710.5,6759.9,6710.1,6759.9,13970.0
2024-03-28 23:00:00,6753.3,6864.9,6746.0,6862.9,15742.0
2024-03-29 23:00:00,6863.2,6912.4,6848.7,6885.8,19530.0
2024-04-01 23:00:00,6889.6,6974.3,6851.2,6951.2,26238.0
2024-04-02 23:00:00,6951.6,7063.7,6937.2,7033.5,19776.0
2024-04-03 23:00:00,7033.1,7095.7,6979.5,7056.9,17730.0
2024-04-04 23:00:00,7067.7,7098.8,7020.4,7060.2,15473.0
2024-04-05 23:00:00,7056.0,7122.8,7020.6,7106.3,13317.0
2024-04-08 23:00:00,7118.8,7209.7,7103.7,7191.2,15211.0
2024-04-09 23:00:00,7190.5,7308.4,7181.6,7273.4,15736.0
2024-04-10 23:00:00,7267.1,7341.9,7236.8,7295.2,23577.0
2024-04-11 23:00:00,7290.6,7316.0,7241.6,7278.3,12854.0
2024-04-12 23:00:00,7279.4,7500.0,7262.9,7434.5,39025.0
2024-04-15 23:00:00,7421.9,7433.1,7193.3,7263.7,48877.0
2024-04-16 23:00:00,7259.9,7455.1,7238.4,7432.0,25351.0
2024-04-17 23:00:00,7431.9,7476.9,7390.2,7410.0,17877.0
2024-04-18 23:00:00,7401.3,7408.4,7315.6,7334.2,25226.0
2024-04-19 23:00:00,7332.4,7376.8,7267.8,7295.5,14678.0
2024-04-22 23:00:00,7285.6,7319.6,7116.1,7122.3,62566.0
2024-04-23 23:00:00,7120.0,7123.5,6990.0,7038.3,54739.0
2024-04-24 23:00:00,7048.0,7096.3,6974.9,7020.7,30566.0
2024-04-25 23:00:00,7020.7,7061.9,6968.8,7018.0,17491.0
2024-04-26 23:00:00,7015.1,7107.1,6999.0,7040.0,13870.0
2024-04-27 23:00:00,7044.9,7088.8,7030.2,7085.5,10603.0
2024-04-29 23:00:00,7080.1,7132.0,7058.1,7100.1,8690.0
2024-04-30 23:00:00,7110.0,7119.0,6964.5,6985.1,16991.0
2024-05-02 23:00:00,6966.9,7006.8,6866.1,6905.0,16784.0
2024-05-03 23:00:00,6901.9,6930.7,6830.2,6868.8,9195.0
2024-05-06 23:00:00,6856.7,6959.7,6856.7,6921.2,13015.0
2024-05-07 23:00:00,6921.2,6944.4,6868.9,6873.2,10378.0
2024-05-08 23:00:00,6870.6,6916.2,6844.2,6893.9,11068.0
2024-05-10 23:00:00,6886.1,7084.0,6880.0,7046.6,11904.0
2024-05-13 23:00:00,7036.8,7068.1,6926.0,6930.1,12677.0
2024-05-14 23:00:00,6937.6,6975.0,6921.5,6958.6,8426.0
2024-05-15 23:00:00,6950.9,7001.5,6936.1,6986.8,10263.0
2024-05-16 23:00:00,6996.6,7023.2,6967.0,6983.7,7394.0
2024-05-17 23:00:00,6996.0,7053.0,6970.5,7027.0,10384.0
2024-05-20 23:00:00,7040.3,7147.9,7025.3,7099.3,24731.0
2024-05-21 23:00:00,7113.2,7144.2,7020.2,7050.0,12911.0
2024-05-22 23:00:00,7050.0,7058.7,6948.8,6971.2,18115.0
2024-05-23 23:00:00,6984.7,6984.8,6845.3,6859.7,28948.0
2024-05-24 23:00:00,6860.0,6868.6,6771.1,6800.8,23757.0
2024-05-27 23:00:00,6805.2,6847.9,6741.1,6770.4,23106.0
2024-05-28 23:00:00,6776.9,6784.3,6720.5,6759.4,18518.0
2024-05-29 23:00:00,6760.0,6819.4,6752.5,6758.3,9799.0
2024-05-30 23:00:00,6776.0,6800.0,6720.1,6782.5,13476.0
2024-05-31 23:00:00,6772.6,6821.1,6737.7,6740.5,10821.0
2024-06-03 23:00:00,6738.2,6744.6,6654.0,6687.8,10091.0
2024-06-04 23:00:00,6673.1,6740.0,6637.5,6646.7,13462.0
2024-06-05 23:00:00,6647.7,6740.5,6634.2,6736.9,5110.0
2024-06-06 23:00:00,6738.6,6811.0,6721.7,6786.9,9267.0
2024-06-07 23:00:00,6787.0,6788.4,6637.0,6637.1,19718.0
2024-06-10 23:00:00,6636.9,6660.1,6577.9,6606.3,8655.0
2024-06-11 23:00:00,6591.8,6654.7,6584.0,6648.2,8660.0
2024-06-13 23:00:00,6652.5,6653.9,6513.4,6566.1,33816.0
2024-06-14 23:00:00,6551.1,6645.0,6535.2,6614.0,10351.0
2024-06-17 23:00:00,6619.8,6641.0,6483.0,6496.9,37275.0
2024-06-18 23:00:00,6507.2,6517.9,6421.1,6431.4,33890.0
2024-06-19 23:00:00,6421.0,6439.8,6232.8,6385.2,47256.0
2024-06-20 23:00:00,6359.0,6471.0,6315.0,6427.5,22078.0
