<DATE>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
2024-09-10 23:00:00,1226.0,1300.0,1105.0,1157.0,30.0
2024-09-11 23:00:00,1091.0,1161.0,1091.0,1120.0,34.0
2024-09-12 23:00:00,1144.0,1144.0,1089.0,1109.0,124.0
2024-09-13 23:00:00,1111.0,1113.0,1098.0,1111.0,58.0
2024-09-16 23:00:00,1111.0,1151.0,1110.0,1146.0,87.0
2024-09-17 23:00:00,1139.0,1246.0,1139.0,1158.0,810.0
2024-09-18 23:00:00,1161.0,1180.0,1158.0,1170.0,142.0
2024-09-19 23:00:00,1168.0,1209.0,1163.0,1201.0,695.0
2024-09-20 23:00:00,1209.0,1232.0,1200.0,1213.0,1793.0
2024-09-23 23:00:00,1202.0,1216.0,1190.0,1205.0,1111.0
2024-09-24 23:00:00,1201.0,1244.0,1199.0,1237.0,1391.0
2024-09-25 23:00:00,1235.0,1275.0,1211.0,1218.0,2990.0
2024-09-26 23:00:00,1215.0,1253.0,1203.0,1244.0,2186.0
2024-09-27 23:00:00,1248.0,1248.0,1207.0,1230.0,722.0
2024-09-30 23:00:00,1235.0,1257.0,1226.0,1231.0,1330.0
2024-10-01 23:00:00,1225.0,1230.0,1185.0,1199.0,2673.0
2024-10-02 23:00:00,1190.0,1198.0,1171.0,1171.0,1920.0
2024-10-03 23:00:00,1171.0,1171.0,1133.0,1140.0,3742.0
2024-10-04 23:00:00,1142.0,1164.0,1140.0,1155.0,851.0
2024-10-07 23:00:00,1152.0,1152.0,1129.0,1138.0,1441.0
2024-10-08 23:00:00,1144.0,1147.0,1129.0,1144.0,211.0
2024-10-09 23:00:00,1141.0,1150.0,1113.0,1113.0,2515.0
2024-10-10 23:00:00,1112.0,1120.0,1100.0,1113.0,1134.0
2024-10-11 23:00:00,1112.0,1118.0,1097.0,1103.0,1617.0
2024-10-14 23:00:00,1102.0,1121.0,1076.0,1114.0,1932.0
2024-10-15 23:00:00,1116.0,1148.0,1112.0,1147.0,833.0
2024-10-16 23:00:00,1145.0,1157.0,1123.0,1128.0,1654.0
2024-10-17 23:00:00,1125.0,1136.0,1101.0,1101.0,1251.0
2024-10-18 23:00:00,1101.0,1125.0,1093.0,1103.0,1701.0
2024-10-21 23:00:00,1106.0,1126.0,1099.0,1126.0,841.0
2024-10-22 23:00:00,1127.0,1135.0,1112.0,1120.0,370.0
2024-10-23 23:00:00,1126.0,1140.0,1104.0,1107.0,1021.0
2024-10-24 23:00:00,1109.0,1113.0,1088.0,1103.0,1560.0
2024-10-25 23:00:00,1107.0,1128.0,1075.0,1084.0,1863.0
2024-10-28 23:00:00,1079.0,1084.0,1001.0,1008.0,4938.0
2024-10-29 23:00:00,1010.0,1051.0,999.0,1044.0,5189.0
2024-10-30 23:00:00,1045.0,1059.0,1037.0,1053.0,1602.0
2024-10-31 23:00:00,1048.0,1060.0,1015.0,1053.0,8460.0
2024-11-01 23:00:00,1054.0,1063.0,1030.0,1044.0,2240.0
2024-11-02 23:00:00,1044.0,1071.0,1044.0,1060.0,2282.0
2024-11-05 23:00:00,1061.0,1104.0,1061.0,1100.0,3067.0
2024-11-06 23:00:00,1100.0,1149.0,1099.0,1122.0,5390.0
2024-11-07 23:00:00,1120.0,1149.0,1109.0,1139.0,2201.0
2024-11-08 23:00:00,1144.0,1177.0,1144.0,1165.0,4487.0
2024-11-11 23:00:00,1165.0,1200.0,1165.0,1191.0,4624.0
2024-11-12 23:00:00,1193.0,1207.0,1173.0,1201.0,4694.0
2024-11-13 23:00:00,1198.0,1216.0,1182.0,1210.0,4157.0
2024-11-14 23:00:00,1205.0,1205.0,1172.0,1177.0,6721.0
2024-11-15 23:00:00,1173.0,1207.0,1165.0,1207.0,2429.0
2024-11-18 23:00:00,1208.0,1216.0,1178.0,1207.0,3752.0
2024-11-19 23:00:00,1207.0,1217.0,1161.0,1161.0,5141.0
2024-11-20 23:00:00,1165.0,1184.0,1144.0,1148.0,2019.0
2024-11-21 23:00:00,1142.0,1159.0,1129.0,1136.0,3989.0
2024-11-22 23:00:00,1138.0,1159.0,1132.0,1132.0,3518.0
2024-11-25 23:00:00,1132.0,1150.0,1101.0,1105.0,6252.0
2024-11-26 23:00:00,1107.0,1131.0,1086.0,1094.0,11870.0
2024-11-27 23:00:00,1087.0,1151.0,1080.0,1146.0,19846.0
2024-11-28 23:00:00,1145.0,1190.0,1145.0,1173.0,21726.0
2024-11-29 23:00:00,1172.0,1210.0,1160.0,1192.0,9863.0
2024-12-02 23:00:00,1197.0,1220.0,1193.0,1215.0,5404.0
2024-12-03 23:00:00,1215.0,1216.0,1169.0,1170.0,11585.0
2024-12-04 23:00:00,1172.0,1175.0,1133.0,1138.0,11323.0
2024-12-05 23:00:00,1133.0,1150.0,1096.0,1147.0,28855.0
2024-12-06 23:00:00,1150.0,1168.0,1137.0,1137.0,10917.0
2024-12-09 23:00:00,1141.0,1164.0,1132.0,1142.0,11586.0
2024-12-10 23:00:00,1140.0,1147.0,1104.0,1110.0,28798.0
2024-12-11 23:00:00,1110.0,1113.0,1082.0,1099.0,26726.0
2024-12-12 23:00:00,1095.0,1115.0,1069.0,1070.0,39198.0
2024-12-13 23:00:00,1068.0,1088.0,1065.0,1076.0,20456.0
2024-12-16 23:00:00,1072.0,1076.0,1023.0,1027.0,66144.0
2024-12-17 23:00:00,1027.0,1036.0,1013.0,1018.0,124061.0
2024-12-18 23:00:00,1017.0,1021.0,993.0,1008.0,119675.0
2024-12-19 23:00:00,1013.0,1057.0,1012.0,1016.0,266806.0
2024-12-20 23:00:00,1016.0,1117.0,1014.0,1109.0,410177.0
2024-12-23 23:00:00,1113.0,1152.0,1096.0,1103.0,286442.0
2024-12-24 23:00:00,1105.0,1127.0,1097.0,1112.0,289092.0
2024-12-25 23:00:00,1108.0,1139.0,1090.0,1130.0,252054.0
2024-12-26 23:00:00,1130.0,1169.0,1124.0,1159.0,267753.0
2024-12-27 23:00:00,1162.0,1171.0,1128.0,1161.0,198302.0
2024-12-28 23:00:00,1164.0,1202.0,1162.0,1195.0,152148.0
2024-12-30 23:00:00,1193.0,1216.0,1187.0,1212.0,93470.0
2025-01-03 23:00:00,1214.0,1220.0,1172.0,1180.0,98929.0
2025-01-06 23:00:00,1184.0,1187.0,1158.0,1176.0,67749.0
2025-01-08 23:00:00,1181.0,1195.0,1177.0,1193.0,58050.0
2025-01-09 23:00:00,1190.0,1201.0,1164.0,1172.0,128291.0
2025-01-10 23:00:00,1169.0,1208.0,1155.0,1200.0,275624.0
2025-01-13 23:00:00,1201.0,1252.0,1195.0,1243.0,336181.0
2025-01-14 23:00:00,1246.0,1258.0,1223.0,1243.0,238113.0
2025-01-15 23:00:00,1242.0,1261.0,1221.0,1228.0,228687.0
2025-01-16 23:00:00,1232.0,1258.0,1228.0,1249.0,277125.0
2025-01-17 23:00:00,1253.0,1299.0,1232.0,1291.0,282671.0
2025-01-20 23:00:00,1291.0,1338.0,1281.0,1290.0,399283.0
2025-01-21 23:00:00,1290.0,1302.0,1258.0,1293.0,225978.0
2025-01-22 23:00:00,1292.0,1319.0,1284.0,1294.0,153326.0
2025-01-23 23:00:00,1294.0,1299.0,1259.0,1270.0,259026.0
2025-01-24 23:00:00,1271.0,1323.0,1262.0,1276.0,268482.0
2025-01-27 23:00:00,1280.0,1290.0,1234.0,1240.0,166230.0
2025-01-28 23:00:00,1236.0,1260.0,1210.0,1259.0,210934.0
2025-01-29 23:00:00,1261.0,1270.0,1248.0,1269.0,90529.0
2025-01-30 23:00:00,1268.0,1270.0,1255.0,1262.0,69356.0
2025-01-31 23:00:00,1263.0,1285.0,1233.0,1242.0,146446.0
2025-02-03 23:00:00,1237.0,1249.0,1205.0,1216.0,137610.0
2025-02-04 23:00:00,1215.0,1234.0,1213.0,1221.0,86435.0
2025-02-05 23:00:00,1219.0,1239.0,1194.0,1224.0,203653.0
2025-02-06 23:00:00,1227.0,1264.0,1224.0,1250.0,172693.0
2025-02-07 23:00:00,1248.0,1268.0,1240.0,1243.0,110912.0
2025-02-10 23:00:00,1241.0,1294.0,1219.0,1240.0,429994.0
2025-02-11 23:00:00,1239.0,1255.0,1226.0,1237.0,241449.0
2025-02-12 23:00:00,1233.0,1254.0,1223.0,1232.0,132512.0
2025-02-13 23:00:00,1228.0,1330.0,1222.0,1314.0,601964.0
2025-02-14 23:00:00,1310.0,1369.0,1304.0,1317.0,518454.0
2025-02-17 23:00:00,1316.0,1419.0,1310.0,1404.0,314822.0
2025-02-18 23:00:00,1405.0,1418.0,1368.0,1375.0,320642.0
2025-02-19 23:00:00,1377.0,1408.0,1351.0,1399.0,309150.0
2025-02-20 23:00:00,1401.0,1422.0,1386.0,1409.0,170420.0
2025-02-21 23:00:00,1404.0,1433.0,1374.0,1379.0,195378.0
2025-02-24 23:00:00,1382.0,1406.0,1381.0,1400.0,104662.0
2025-02-25 23:00:00,1402.0,1521.0,1398.0,1439.0,637292.0
2025-02-26 23:00:00,1444.0,1468.0,1393.0,1418.0,288183.0
2025-02-27 23:00:00,1415.0,1420.0,1369.0,1405.0,250976.0
2025-02-28 23:00:00,1404.0,1404.0,1339.0,1393.0,212550.0
2025-03-03 23:00:00,1392.0,1430.0,1353.0,1360.0,357413.0
2025-03-04 23:00:00,1362.0,1430.0,1347.0,1430.0,304159.0
2025-03-05 23:00:00,1425.0,1439.0,1407.0,1421.0,236542.0
2025-03-06 23:00:00,1424.0,1429.0,1363.0,1376.0,223468.0
2025-03-07 23:00:00,1375.0,1405.0,1334.0,1343.0,244145.0
2025-03-10 23:00:00,1349.0,1385.0,1346.0,1380.0,127120.0
2025-03-11 23:00:00,1382.0,1398.0,1362.0,1372.0,84905.0
2025-03-12 23:00:00,1370.0,1381.0,1346.0,1351.0,102479.0
2025-03-13 23:00:00,1354.0,1357.0,1290.0,1340.0,191091.0
