<DATE>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
2024-07-22 23:00:00,19200.0,19200.0,19200.0,19200.0,50.0
2024-07-24 23:00:00,20559.0,20559.0,18605.0,20395.0,3.0
2024-07-25 23:00:00,20395.0,20400.0,18980.0,18980.0,4.0
2024-07-26 23:00:00,18715.0,18715.0,18715.0,18715.0,2.0
2024-07-30 23:00:00,20216.0,20216.0,18615.0,18615.0,8.0
2024-07-31 23:00:00,18521.0,18521.0,18521.0,18521.0,1.0
2024-08-14 23:00:00,19998.0,20000.0,18000.0,18127.0,50.0
2024-08-15 23:00:00,19596.0,19598.0,18135.0,18800.0,106.0
2024-08-16 23:00:00,18994.0,20150.0,18600.0,19100.0,52.0
2024-08-19 23:00:00,19697.0,19697.0,19200.0,19200.0,11.0
2024-08-20 23:00:00,19741.0,19741.0,19741.0,19741.0,3.0
2024-08-21 23:00:00,19847.0,19850.0,19847.0,19850.0,15.0
2024-08-26 23:00:00,19799.0,19899.0,19799.0,19850.0,56.0
2024-08-27 23:00:00,19699.0,19700.0,19699.0,19700.0,8.0
2024-08-28 23:00:00,19101.0,19101.0,19101.0,19101.0,1.0
2024-08-29 23:00:00,19799.0,19799.0,19799.0,19799.0,2.0
2024-08-30 23:00:00,19009.0,19009.0,19009.0,19009.0,1.0
2024-09-03 23:00:00,19050.0,19050.0,19050.0,19050.0,1.0
2024-09-06 23:00:00,18951.0,19011.0,18951.0,18951.0,12.0
2024-09-09 23:00:00,19200.0,19499.0,17705.0,18882.0,87.0
2024-09-12 23:00:00,18800.0,18800.0,18800.0,18800.0,3.0
2024-09-18 23:00:00,19388.0,19547.0,18933.0,19385.0,5.0
2024-09-19 23:00:00,19547.0,19547.0,18850.0,19547.0,4.0
2024-09-20 23:00:00,18901.0,20348.0,18901.0,19422.0,7.0
2024-09-23 23:00:00,19774.0,19774.0,19063.0,19063.0,51.0
2024-09-24 23:00:00,20443.0,20443.0,19880.0,20242.0,15.0
2024-09-25 23:00:00,20389.0,21242.0,19875.0,20593.0,110.0
2024-09-26 23:00:00,20598.0,22049.0,20110.0,21514.0,100.0
2024-09-27 23:00:00,22079.0,22730.0,21911.0,22461.0,84.0
2024-09-30 23:00:00,22729.0,23990.0,22722.0,23049.0,400.0
2024-10-01 23:00:00,23332.0,23599.0,22416.0,23300.0,316.0
2024-10-02 23:00:00,23000.0,23994.0,22800.0,23200.0,321.0
2024-10-03 23:00:00,23201.0,23643.0,22852.0,22852.0,136.0
2024-10-04 23:00:00,22900.0,23550.0,22900.0,23400.0,41.0
2024-10-07 23:00:00,23400.0,24000.0,23400.0,23800.0,64.0
2024-10-08 23:00:00,24105.0,25502.0,22120.0,22120.0,336.0
2024-10-09 23:00:00,22151.0,22500.0,22011.0,22102.0,172.0
2024-10-10 23:00:00,22102.0,22599.0,22101.0,22255.0,23.0
2024-10-11 23:00:00,23867.0,23868.0,22299.0,22615.0,272.0
2024-10-14 23:00:00,23215.0,23215.0,22618.0,22656.0,85.0
2024-10-15 23:00:00,22763.0,23140.0,22071.0,22589.0,181.0
2024-10-16 23:00:00,22499.0,22499.0,22023.0,22376.0,43.0
2024-10-17 23:00:00,22349.0,22350.0,21906.0,22125.0,92.0
2024-10-18 23:00:00,22169.0,22822.0,21896.0,22822.0,54.0
