<DATE>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
2024-12-11 23:00:00,16.158,16.158,16.157,16.157,3.0
2024-12-23 23:00:00,15.199,15.199,15.099,15.099,2.0
2024-12-24 23:00:00,14.8,14.8,14.526,14.602,11.0
2024-12-26 23:00:00,14.2,14.2,14.198,14.198,5.0
2025-01-03 23:00:00,14.198,14.198,14.198,14.198,1.0
2025-01-21 23:00:00,14.5,14.5,14.5,14.5,1.0
2025-01-27 23:00:00,14.449,16.111,13.008,15.14,69.0
2025-01-28 23:00:00,14.989,14.99,14.66,14.66,4.0
2025-01-29 23:00:00,14.467,14.989,13.976,14.985,22.0
2025-02-04 23:00:00,14.501,14.959,14.37,14.5,7.0
2025-02-05 23:00:00,14.43,14.481,14.429,14.48,6.0
2025-02-07 23:00:00,14.5,14.5,14.5,14.5,3.0
2025-02-11 23:00:00,14.201,14.201,14.201,14.201,1.0
2025-02-12 23:00:00,14.251,14.251,14.25,14.25,4.0
2025-02-13 23:00:00,13.616,13.616,13.615,13.615,4.0
2025-02-14 23:00:00,13.739,13.739,13.29,13.29,2.0
2025-02-18 23:00:00,13.101,13.101,13.101,13.101,1.0
2025-02-24 23:00:00,12.801,12.801,12.8,12.8,3.0
2025-02-28 23:00:00,12.929,12.93,12.929,12.93,2.0
2025-03-03 23:00:00,13.02,13.12,13.02,13.12,4.0
2025-03-06 23:00:00,12.881,12.881,12.881,12.881,1.0
2025-03-11 23:00:00,12.98,12.98,12.98,12.98,1.0
2025-03-14 23:00:00,12.901,12.901,12.82,12.82,4.0
2025-03-17 23:00:00,12.755,12.8,12.371,12.371,13.0
