<DATE>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
2025-03-11 23:00:00,5248.0,6457.0,5248.0,6076.0,29.0
2025-03-13 23:00:00,5447.0,5700.0,5447.0,5450.0,4.0
2025-03-17 23:00:00,5627.0,5635.0,5627.0,5635.0,2.0
2025-03-20 23:00:00,5778.0,5778.0,5544.0,5544.0,25.0
2025-03-21 23:00:00,5675.0,5675.0,5675.0,5675.0,8.0
2025-03-24 23:00:00,5672.0,5672.0,5651.0,5651.0,2.0
2025-03-25 23:00:00,5657.0,5657.0,5600.0,5600.0,11.0
2025-03-26 23:00:00,5682.0,5682.0,5600.0,5600.0,18.0
2025-03-27 23:00:00,5602.0,5674.0,5576.0,5579.0,41.0
2025-03-28 23:00:00,5564.0,5577.0,5497.0,5575.0,56.0
2025-03-31 23:00:00,5567.0,5569.0,5474.0,5474.0,35.0
2025-04-01 23:00:00,5563.0,5563.0,5563.0,5563.0,1.0
2025-04-02 23:00:00,5478.0,5478.0,5390.0,5400.0,85.0
2025-04-03 23:00:00,5408.0,5408.0,5293.0,5293.0,59.0
2025-04-04 23:00:00,5254.0,5258.0,5116.0,5170.0,52.0
