<DATE>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
2024-05-15 23:00:00,1.2687,1.2687,1.2687,1.2687,1.0
2024-05-20 23:00:00,1.25,1.25,1.25,1.25,1.0
2024-06-05 23:00:00,1.0064,1.0064,1.0064,1.0064,3.0
2024-07-01 23:00:00,1.134,1.134,1.134,1.134,1.0
2024-07-12 23:00:00,1.1441,1.1441,1.0301,1.0301,4.0
2024-09-17 23:00:00,1.0967,1.0967,1.0967,1.0967,4.0
2024-09-18 23:00:00,1.0992,1.1,1.0938,1.0938,14.0
2024-09-19 23:00:00,1.0996,1.0996,1.0964,1.0964,51.0
2024-09-20 23:00:00,1.1071,1.1082,1.1071,1.1082,3.0
2024-09-23 23:00:00,1.1135,1.1135,1.1092,1.1092,6.0
2024-09-24 23:00:00,1.1009,1.1009,1.1009,1.1009,2.0
2024-09-26 23:00:00,1.11,1.1232,1.101,1.101,10.0
2024-09-27 23:00:00,1.1024,1.1024,1.1024,1.1024,8.0
2024-10-02 23:00:00,1.2422,1.2422,1.118,1.12,4.0
2024-10-04 23:00:00,1.127,1.128,1.127,1.128,3.0
2024-10-07 23:00:00,1.13,1.1424,1.13,1.1424,6.0
2024-10-08 23:00:00,1.1417,1.1435,1.1383,1.143,172.0
2024-10-09 23:00:00,1.1509,1.1515,1.1445,1.1469,12.0
2024-10-10 23:00:00,1.145,1.145,1.1398,1.1398,16.0
2024-10-11 23:00:00,1.135,1.135,1.1282,1.1282,4.0
2024-10-14 23:00:00,1.1291,1.1294,1.1291,1.1294,91.0
2024-10-18 23:00:00,1.1294,1.1294,1.1294,1.1294,1.0
2024-10-21 23:00:00,1.13,1.1365,1.13,1.1324,9.0
2024-10-22 23:00:00,1.141,1.141,1.141,1.141,2.0
2024-10-25 23:00:00,1.147,1.147,1.147,1.147,2.0
2024-10-29 23:00:00,1.1636,1.165,1.1636,1.165,8.0
2024-10-30 23:00:00,1.1556,1.1556,1.155,1.155,3.0
2024-10-31 23:00:00,1.1553,1.1553,1.1553,1.1553,1.0
2024-11-08 23:00:00,1.1591,1.1609,1.156,1.156,6.0
2024-11-11 23:00:00,1.1635,1.1635,1.1635,1.1635,1.0
2024-11-13 23:00:00,1.165,1.165,1.165,1.165,2.0
2024-11-14 23:00:00,1.17,1.17,1.17,1.17,2.0
2024-11-15 23:00:00,1.175,1.18,1.175,1.18,4.0
2024-11-19 23:00:00,1.1819,1.185,1.1819,1.185,3.0
2024-11-21 23:00:00,1.19,1.19,1.19,1.19,2.0
2024-11-22 23:00:00,1.1953,1.2119,1.1953,1.2119,44.0
2024-11-25 23:00:00,1.2224,1.2334,1.2224,1.2334,8.0
2024-11-27 23:00:00,1.2705,1.2784,1.2705,1.2784,3.0
2024-11-28 23:00:00,1.2492,1.2492,1.2492,1.2492,5.0
2024-11-29 23:00:00,1.2774,1.2774,1.2774,1.2774,1.0
2024-12-04 23:00:00,1.2308,1.2308,1.2308,1.2308,1.0
2024-12-06 23:00:00,1.1745,1.1745,1.167,1.1733,7.0
2024-12-16 23:00:00,1.2093,1.2144,1.2071,1.2086,8.0
2024-12-17 23:00:00,1.2084,1.2084,1.206,1.206,17.0
2024-12-18 23:00:00,1.2172,1.2172,1.2172,1.2172,10.0
