<DATE>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
2024-07-23 23:00:00,896.5,909.0,894.5,906.5,75.0
2024-07-24 23:00:00,894.5,907.0,894.5,901.0,13.0
2024-07-25 23:00:00,901.0,915.5,901.0,915.5,17.0
2024-07-26 23:00:00,914.0,918.0,887.5,887.5,16.0
2024-07-29 23:00:00,888.0,888.0,854.0,865.5,14.0
2024-07-30 23:00:00,886.5,886.5,860.0,874.5,11.0
2024-07-31 23:00:00,876.5,881.0,865.5,868.5,11.0
2024-08-01 23:00:00,891.0,893.0,891.0,893.0,10.0
2024-08-02 23:00:00,872.5,876.0,862.5,864.5,27.0
2024-08-05 23:00:00,858.0,860.0,835.5,852.0,19.0
2024-08-06 23:00:00,852.0,852.0,852.0,852.0,3.0
2024-08-07 23:00:00,849.0,849.0,849.0,849.0,5.0
2024-08-12 23:00:00,860.0,860.0,860.0,860.0,1.0
2024-08-16 23:00:00,856.0,856.0,856.0,856.0,1.0
2024-08-19 23:00:00,835.0,835.0,835.0,835.0,3.0
2024-08-21 23:00:00,835.0,836.0,820.0,820.0,7.0
2024-08-22 23:00:00,805.5,819.0,805.0,805.0,25.0
2024-08-23 23:00:00,787.0,787.0,787.0,787.0,5.0
2024-08-26 23:00:00,825.0,836.5,797.0,809.0,9.0
2024-08-27 23:00:00,793.5,797.0,793.5,797.0,4.0
2024-08-28 23:00:00,796.0,796.0,727.5,779.0,6.0
2024-08-30 23:00:00,806.5,806.5,775.0,775.0,4.0
2024-09-02 23:00:00,732.0,732.0,732.0,732.0,10.0
2024-09-04 23:00:00,742.5,742.5,742.5,742.5,7.0
2024-09-05 23:00:00,766.0,766.0,766.0,766.0,3.0
2024-09-11 23:00:00,783.5,783.5,766.5,766.5,5.0
2024-09-12 23:00:00,756.0,756.0,756.0,756.0,10.0
2024-09-13 23:00:00,751.5,751.5,751.5,751.5,1.0
2024-09-16 23:00:00,778.0,782.0,778.0,782.0,3.0
2024-09-17 23:00:00,776.5,787.0,776.5,787.0,14.0
2024-09-18 23:00:00,796.5,796.5,796.5,796.5,111.0
2024-09-19 23:00:00,804.5,804.5,804.5,804.5,2.0
2024-09-23 23:00:00,813.0,832.0,813.0,832.0,48.0
2024-09-24 23:00:00,807.5,832.0,805.5,821.5,19.0
2024-09-25 23:00:00,825.5,825.5,799.0,807.5,84.0
2024-09-26 23:00:00,829.0,829.0,797.0,804.5,86.0
2024-09-27 23:00:00,808.0,808.0,788.5,791.5,12.0
2024-10-01 23:00:00,827.0,827.0,780.0,792.0,154.0
2024-10-02 23:00:00,781.5,790.0,770.5,770.5,45.0
2024-10-03 23:00:00,761.0,768.0,756.0,768.0,91.0
2024-10-04 23:00:00,782.5,793.5,763.5,763.5,15.0
2024-10-07 23:00:00,761.0,761.0,753.5,760.0,49.0
2024-10-08 23:00:00,762.0,776.0,753.5,753.5,69.0
2024-10-09 23:00:00,744.5,771.5,744.0,750.0,45.0
2024-10-10 23:00:00,745.5,745.5,745.0,745.0,2.0
2024-10-11 23:00:00,761.0,765.0,744.0,744.0,87.0
2024-10-14 23:00:00,750.0,752.5,740.0,752.5,13.0
2024-10-15 23:00:00,747.5,755.5,744.5,755.5,10.0
2024-10-16 23:00:00,770.0,772.5,747.0,751.0,103.0
2024-10-17 23:00:00,746.5,753.0,741.0,741.0,74.0
2024-10-18 23:00:00,740.0,741.5,731.5,736.5,84.0
2024-10-21 23:00:00,737.0,748.0,733.0,742.0,93.0
2024-10-22 23:00:00,765.0,765.0,729.5,730.0,235.0
2024-10-23 23:00:00,737.0,747.5,723.0,723.0,69.0
2024-10-24 23:00:00,725.0,751.5,714.0,726.5,205.0
2024-10-25 23:00:00,718.0,721.5,695.0,703.0,189.0
2024-10-28 23:00:00,703.5,726.0,671.0,677.5,99.0
2024-10-29 23:00:00,671.5,725.0,643.0,681.0,266.0
2024-10-30 23:00:00,682.5,694.5,679.0,679.0,1102.0
2024-10-31 23:00:00,664.0,694.0,645.0,678.5,26.0
2024-11-01 23:00:00,648.5,669.0,648.5,668.0,3.0
2024-11-02 23:00:00,670.0,672.0,654.0,665.0,52.0
2024-11-05 23:00:00,662.5,675.0,654.0,664.0,94.0
2024-11-06 23:00:00,672.5,682.5,665.0,666.0,130.0
2024-11-07 23:00:00,674.0,674.0,652.0,656.0,18.0
2024-11-08 23:00:00,677.0,690.0,667.0,668.0,67.0
2024-11-11 23:00:00,672.5,687.0,660.5,678.0,171.0
2024-11-12 23:00:00,676.5,694.0,649.5,685.0,687.0
2024-11-13 23:00:00,689.5,689.5,683.0,684.5,62.0
2024-11-14 23:00:00,684.0,684.0,672.0,672.5,55.0
2024-11-15 23:00:00,668.5,668.5,668.5,668.5,3.0
2024-11-18 23:00:00,679.5,689.0,668.5,677.0,73.0
2024-11-19 23:00:00,681.5,694.5,658.0,669.0,1162.0
2024-11-20 23:00:00,647.5,674.0,647.5,663.5,114.0
2024-11-21 23:00:00,663.5,671.5,642.5,657.0,314.0
2024-11-22 23:00:00,653.0,665.5,653.0,653.0,38.0
2024-11-25 23:00:00,653.0,673.0,633.0,633.0,95.0
2024-11-26 23:00:00,642.0,670.5,609.0,612.5,176.0
2024-11-27 23:00:00,615.0,615.5,583.0,608.0,141.0
2024-11-28 23:00:00,612.0,643.5,603.5,615.5,68.0
2024-11-29 23:00:00,617.5,624.0,603.5,620.5,20.0
2024-12-02 23:00:00,622.0,643.5,618.0,618.0,784.0
2024-12-03 23:00:00,632.0,644.5,603.0,610.5,78.0
2024-12-04 23:00:00,611.5,611.5,601.0,601.0,36.0
2024-12-05 23:00:00,601.5,604.5,577.0,603.5,1187.0
2024-12-06 23:00:00,623.0,630.5,599.0,602.0,25.0
2024-12-09 23:00:00,593.0,630.0,591.5,608.5,38.0
2024-12-10 23:00:00,610.5,629.0,591.5,593.0,198.0
2024-12-11 23:00:00,593.0,612.5,591.0,591.0,168.0
2024-12-12 23:00:00,591.0,596.0,591.0,592.5,193.0
2024-12-13 23:00:00,611.5,619.0,575.0,580.0,154.0
2024-12-16 23:00:00,570.5,603.0,553.0,565.5,138.0
2024-12-17 23:00:00,565.0,568.0,561.0,561.0,337.0
2024-12-18 23:00:00,541.5,576.5,541.5,574.0,1706.0
2024-12-19 23:00:00,574.0,588.0,570.5,584.0,271.0
2024-12-20 23:00:00,587.5,634.0,575.5,634.0,4854.0
2024-12-23 23:00:00,630.5,655.0,629.0,637.5,4616.0
2024-12-24 23:00:00,634.0,643.0,610.0,631.5,328.0
2024-12-25 23:00:00,607.5,635.5,568.0,627.0,4837.0
2024-12-26 23:00:00,598.0,649.5,596.5,641.0,1086.0
2024-12-27 23:00:00,642.5,649.5,620.0,640.0,331.0
2024-12-28 23:00:00,617.0,650.0,616.5,642.0,123.0
2024-12-30 23:00:00,641.0,679.0,640.5,677.5,1689.0
2025-01-03 23:00:00,689.5,699.5,666.5,681.0,769.0
2025-01-06 23:00:00,670.0,691.5,650.0,683.5,955.0
2025-01-08 23:00:00,684.0,702.0,668.5,697.0,831.0
2025-01-09 23:00:00,700.0,744.0,671.5,676.0,2137.0
2025-01-10 23:00:00,676.0,699.0,675.5,693.5,641.0
2025-01-13 23:00:00,699.5,710.0,695.0,697.5,663.0
2025-01-14 23:00:00,696.5,708.5,690.0,697.5,486.0
2025-01-15 23:00:00,694.0,702.5,680.5,699.0,141.0
2025-01-16 23:00:00,699.0,714.0,685.0,704.0,340.0
2025-01-17 23:00:00,710.0,715.0,700.5,713.5,611.0
2025-01-20 23:00:00,713.5,718.5,706.0,709.5,734.0
2025-01-21 23:00:00,707.0,711.0,698.0,711.0,615.0
2025-01-22 23:00:00,708.0,715.5,700.0,710.0,432.0
2025-01-23 23:00:00,710.0,713.5,700.0,707.5,66.0
2025-01-24 23:00:00,703.0,731.0,703.0,710.0,51.0
2025-01-27 23:00:00,708.0,708.0,700.0,700.0,17.0
2025-01-28 23:00:00,695.0,705.0,681.5,704.5,663.0
2025-01-29 23:00:00,715.0,715.0,700.0,709.0,94.0
2025-01-30 23:00:00,706.5,718.0,704.0,713.0,774.0
2025-01-31 23:00:00,717.5,727.5,692.0,715.5,378.0
2025-02-03 23:00:00,717.0,718.0,707.0,707.5,278.0
2025-02-04 23:00:00,715.5,716.5,703.5,711.0,39.0
2025-02-05 23:00:00,711.0,711.0,694.5,704.0,382.0
2025-02-06 23:00:00,706.5,715.0,695.5,713.5,243.0
