<DATE>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
2024-06-18 23:00:00,1051.0,1067.0,1051.0,1067.0,96.0
2024-06-21 23:00:00,1059.0,1059.0,1009.0,1023.0,23.0
2024-06-24 23:00:00,1009.0,1030.0,1009.0,1030.0,8.0
2024-06-25 23:00:00,1013.0,1013.0,1013.0,1013.0,1.0
2024-06-27 23:00:00,1014.0,1014.0,1014.0,1014.0,3.0
2024-06-28 23:00:00,1014.0,1014.0,1014.0,1014.0,2.0
2024-07-02 23:00:00,1027.0,1028.0,1012.0,1020.0,28.0
2024-07-03 23:00:00,1018.0,1018.0,999.0,1016.0,7.0
2024-07-04 23:00:00,833.0,997.0,833.0,970.0,17.0
2024-07-05 23:00:00,953.0,953.0,943.0,943.0,5.0
2024-07-08 23:00:00,996.0,996.0,951.0,951.0,11.0
2024-07-09 23:00:00,957.0,957.0,957.0,957.0,5.0
2024-07-10 23:00:00,911.0,914.0,911.0,914.0,9.0
2024-07-11 23:00:00,890.0,890.0,890.0,890.0,5.0
2024-07-12 23:00:00,942.0,942.0,910.0,910.0,6.0
2024-07-15 23:00:00,870.0,888.0,870.0,888.0,2.0
2024-07-18 23:00:00,893.0,924.0,886.0,906.0,884.0
2024-07-19 23:00:00,924.0,983.0,924.0,953.0,91.0
2024-07-23 23:00:00,963.0,967.0,953.0,953.0,84.0
2024-07-24 23:00:00,966.0,966.0,951.0,951.0,2.0
2024-07-25 23:00:00,955.0,968.0,955.0,968.0,102.0
2024-07-26 23:00:00,934.0,941.0,910.0,924.0,246.0
2024-07-29 23:00:00,859.0,927.0,859.0,927.0,24.0
2024-07-31 23:00:00,911.0,918.0,903.0,918.0,79.0
2024-08-01 23:00:00,929.0,930.0,929.0,930.0,4.0
2024-08-02 23:00:00,890.0,907.0,890.0,905.0,6.0
2024-08-05 23:00:00,910.0,920.0,866.0,920.0,559.0
2024-08-06 23:00:00,875.0,890.0,875.0,880.0,9.0
2024-08-07 23:00:00,880.0,893.0,876.0,893.0,87.0
2024-08-08 23:00:00,900.0,924.0,900.0,918.0,102.0
2024-08-09 23:00:00,912.0,918.0,902.0,906.0,387.0
2024-08-12 23:00:00,906.0,906.0,906.0,906.0,18.0
2024-08-13 23:00:00,907.0,915.0,903.0,913.0,11.0
2024-08-14 23:00:00,913.0,921.0,913.0,917.0,99.0
2024-08-15 23:00:00,904.0,904.0,904.0,904.0,90.0
2024-08-16 23:00:00,921.0,921.0,921.0,921.0,1.0
2024-08-19 23:00:00,889.0,894.0,874.0,877.0,19.0
2024-08-20 23:00:00,875.0,875.0,873.0,873.0,6.0
2024-08-21 23:00:00,873.0,873.0,860.0,860.0,18.0
2024-08-22 23:00:00,858.0,858.0,858.0,858.0,2.0
2024-08-23 23:00:00,859.0,859.0,808.0,816.0,163.0
2024-08-26 23:00:00,812.0,870.0,812.0,860.0,87.0
2024-08-27 23:00:00,840.0,864.0,840.0,864.0,71.0
2024-08-28 23:00:00,853.0,870.0,850.0,850.0,151.0
2024-08-29 23:00:00,845.0,851.0,838.0,851.0,166.0
2024-08-30 23:00:00,844.0,848.0,820.0,831.0,122.0
2024-09-02 23:00:00,812.0,822.0,776.0,776.0,118.0
2024-09-03 23:00:00,735.0,765.0,724.0,750.0,799.0
2024-09-04 23:00:00,736.0,777.0,733.0,752.0,32.0
2024-09-05 23:00:00,786.0,812.0,780.0,793.0,381.0
2024-09-06 23:00:00,774.0,793.0,773.0,779.0,310.0
2024-09-09 23:00:00,799.0,807.0,793.0,804.0,51.0
2024-09-10 23:00:00,819.0,819.0,819.0,819.0,20.0
2024-09-11 23:00:00,804.0,865.0,804.0,865.0,72.0
2024-09-12 23:00:00,811.0,840.0,774.0,774.0,455.0
2024-09-13 23:00:00,779.0,779.0,743.0,759.0,86.0
2024-09-16 23:00:00,776.0,800.0,776.0,800.0,152.0
2024-09-17 23:00:00,802.0,802.0,790.0,793.0,640.0
2024-09-18 23:00:00,804.0,865.0,793.0,826.0,166.0
2024-09-19 23:00:00,805.0,807.0,789.0,793.0,165.0
2024-09-20 23:00:00,844.0,850.0,791.0,827.0,78.0
2024-09-23 23:00:00,822.0,1020.0,822.0,986.0,21693.0
2024-09-24 23:00:00,984.0,1070.0,956.0,1009.0,223872.0
2024-09-25 23:00:00,1009.0,1037.0,981.0,989.0,50462.0
2024-09-26 23:00:00,995.0,1005.0,949.0,953.0,20297.0
2024-09-27 23:00:00,962.0,966.0,934.0,948.0,7731.0
2024-09-30 23:00:00,950.0,1012.0,947.0,993.0,16679.0
2024-10-01 23:00:00,993.0,998.0,918.0,930.0,25175.0
2024-10-02 23:00:00,935.0,964.0,923.0,929.0,6153.0
2024-10-03 23:00:00,929.0,950.0,919.0,924.0,5815.0
