<DATE>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
2023-09-27 23:00:00,2994.0,2994.0,2248.0,2248.0,2.0
2023-10-09 23:00:00,2886.0,2886.0,2232.0,2299.0,20.0
2023-10-16 23:00:00,2310.0,2369.0,2310.0,2369.0,10.0
2023-10-17 23:00:00,2630.0,2640.0,2312.0,2630.0,23.0
2023-10-18 23:00:00,2420.0,2420.0,2420.0,2420.0,1.0
2023-10-19 23:00:00,2780.0,2780.0,2505.0,2505.0,7.0
2023-10-20 23:00:00,2962.0,2974.0,2656.0,2675.0,65.0
2023-10-23 23:00:00,2572.0,2888.0,2212.0,2744.0,165.0
2023-10-25 23:00:00,2703.0,2925.0,2703.0,2925.0,10.0
2023-10-26 23:00:00,2651.0,2689.0,2651.0,2651.0,12.0
2023-11-07 23:00:00,2709.0,2709.0,2709.0,2709.0,1.0
2023-11-13 23:00:00,3089.0,3089.0,2463.0,2737.0,339.0
2023-11-14 23:00:00,2566.0,2566.0,2348.0,2357.0,188.0
2023-11-15 23:00:00,2489.0,2489.0,2316.0,2488.0,17.0
2023-11-16 23:00:00,2535.0,2535.0,2535.0,2535.0,1.0
2023-11-17 23:00:00,2453.0,2453.0,2453.0,2453.0,3.0
2023-11-20 23:00:00,2460.0,2460.0,2460.0,2460.0,1.0
2023-11-23 23:00:00,2393.0,2504.0,1879.0,2362.0,167.0
2023-11-28 23:00:00,2210.0,2210.0,2163.0,2163.0,5.0
2023-11-29 23:00:00,2140.0,2287.0,2040.0,2246.0,26.0
2023-12-01 23:00:00,2460.0,2470.0,2078.0,2093.0,5.0
2023-12-04 23:00:00,2092.0,2093.0,2092.0,2093.0,8.0
2023-12-07 23:00:00,1943.0,2079.0,1881.0,2079.0,21.0
2023-12-08 23:00:00,2119.0,2121.0,2117.0,2118.0,22.0
2023-12-13 23:00:00,2119.0,2119.0,2119.0,2119.0,1.0
2023-12-14 23:00:00,1992.0,2048.0,1992.0,2048.0,2.0
2023-12-20 23:00:00,2134.0,2134.0,2134.0,2134.0,3.0
2023-12-21 23:00:00,2301.0,2301.0,2280.0,2280.0,3.0
2023-12-25 23:00:00,2396.0,2396.0,2396.0,2396.0,1.0
2023-12-28 23:00:00,2209.0,2209.0,2179.0,2179.0,6.0
2023-12-29 23:00:00,2100.0,2273.0,2036.0,2209.0,116.0
2024-01-03 23:00:00,2022.0,2220.0,2006.0,2129.0,21.0
2024-01-04 23:00:00,2119.0,2119.0,2119.0,2119.0,2.0
2024-01-05 23:00:00,2119.0,2170.0,2119.0,2170.0,14.0
