<DATE>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
2024-05-28 23:00:00,1037.0,1037.0,1037.0,1037.0,1.0
2024-05-29 23:00:00,1095.0,1095.0,1008.0,1021.0,9.0
2024-05-30 23:00:00,1031.0,1056.0,1027.0,1031.0,40.0
2024-05-31 23:00:00,1020.0,1022.0,1020.0,1022.0,7.0
2024-06-03 23:00:00,1019.0,1035.0,957.0,1035.0,19.0
2024-06-04 23:00:00,1064.0,1070.0,1030.0,1032.0,75.0
2024-06-05 23:00:00,1028.0,1230.0,931.0,1016.0,523.0
2024-06-06 23:00:00,1026.0,1105.0,1025.0,1049.0,166.0
2024-06-07 23:00:00,1056.0,1085.0,1048.0,1057.0,377.0
2024-06-10 23:00:00,1068.0,1075.0,1049.0,1057.0,243.0
2024-06-11 23:00:00,1049.0,1052.0,1039.0,1039.0,92.0
2024-06-13 23:00:00,1011.0,1046.0,1001.0,1040.0,181.0
2024-06-14 23:00:00,1045.0,1055.0,1034.0,1045.0,242.0
2024-06-17 23:00:00,1050.0,1055.0,1008.0,1008.0,1037.0
2024-06-18 23:00:00,1034.0,1034.0,998.0,998.0,1677.0
2024-06-19 23:00:00,999.0,1010.0,971.0,978.0,943.0
2024-06-20 23:00:00,970.0,1040.0,964.0,1040.0,1407.0
2024-06-21 23:00:00,1032.0,1032.0,977.0,979.0,3796.0
2024-06-24 23:00:00,986.0,991.0,961.0,964.0,664.0
2024-06-25 23:00:00,965.0,974.0,949.0,952.0,1430.0
2024-06-26 23:00:00,960.0,965.0,940.0,961.0,3278.0
2024-06-27 23:00:00,960.0,979.0,945.0,952.0,5739.0
2024-06-28 23:00:00,950.0,959.0,945.0,948.0,2036.0
2024-07-01 23:00:00,954.0,959.0,950.0,959.0,889.0
2024-07-02 23:00:00,952.0,956.0,946.0,948.0,2567.0
2024-07-03 23:00:00,951.0,951.0,931.0,933.0,8982.0
2024-07-04 23:00:00,936.0,942.0,928.0,928.0,4567.0
2024-07-05 23:00:00,930.0,930.0,886.0,903.0,10238.0
2024-07-08 23:00:00,905.0,989.0,890.0,904.0,7268.0
2024-07-09 23:00:00,903.0,909.0,880.0,890.0,4963.0
2024-07-10 23:00:00,889.0,913.0,868.0,871.0,3268.0
2024-07-11 23:00:00,870.0,918.0,865.0,913.0,6102.0
2024-07-12 23:00:00,915.0,937.0,898.0,916.0,3025.0
2024-07-15 23:00:00,913.0,917.0,880.0,913.0,3973.0
2024-07-16 23:00:00,880.0,900.0,869.0,889.0,5780.0
2024-07-17 23:00:00,882.0,901.0,882.0,899.0,4971.0
2024-07-18 23:00:00,887.0,910.0,884.0,908.0,3113.0
2024-07-19 23:00:00,908.0,917.0,898.0,913.0,3385.0
2024-07-22 23:00:00,915.0,967.0,909.0,951.0,13694.0
2024-07-23 23:00:00,950.0,961.0,930.0,940.0,12356.0
2024-07-24 23:00:00,944.0,957.0,932.0,955.0,7552.0
2024-07-25 23:00:00,943.0,950.0,933.0,941.0,27959.0
2024-07-26 23:00:00,941.0,968.0,911.0,968.0,5400.0
2024-07-29 23:00:00,930.0,948.0,888.0,905.0,5131.0
2024-07-30 23:00:00,904.0,921.0,896.0,914.0,5924.0
2024-07-31 23:00:00,901.0,906.0,876.0,888.0,5997.0
2024-08-01 23:00:00,887.0,911.0,882.0,910.0,6063.0
2024-08-02 23:00:00,901.0,909.0,884.0,899.0,7739.0
2024-08-05 23:00:00,897.0,899.0,861.0,873.0,7218.0
2024-08-06 23:00:00,873.0,883.0,852.0,872.0,3398.0
2024-08-07 23:00:00,873.0,878.0,858.0,862.0,5628.0
2024-08-08 23:00:00,872.0,897.0,868.0,871.0,10293.0
2024-08-09 23:00:00,866.0,876.0,866.0,869.0,1699.0
2024-08-12 23:00:00,869.0,871.0,852.0,860.0,3794.0
2024-08-13 23:00:00,860.0,870.0,860.0,870.0,1549.0
2024-08-14 23:00:00,868.0,882.0,860.0,863.0,10747.0
2024-08-15 23:00:00,865.0,869.0,856.0,860.0,9501.0
