<DATE>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
2024-03-22 23:00:00,31556.0,31556.0,31556.0,31556.0,1.0
2024-04-02 23:00:00,32331.0,32331.0,31333.0,31333.0,2.0
2024-04-04 23:00:00,30801.0,30801.0,30801.0,30801.0,1.0
2024-04-10 23:00:00,31200.0,31200.0,31200.0,31200.0,2.0
2024-04-12 23:00:00,31690.0,31735.0,30059.0,31735.0,9.0
2024-04-15 23:00:00,32178.0,32178.0,30791.0,30791.0,2.0
2024-04-16 23:00:00,32268.0,32300.0,31756.0,32300.0,4.0
2024-04-17 23:00:00,32290.0,32375.0,32290.0,32375.0,5.0
2024-04-18 23:00:00,31600.0,31600.0,31600.0,31600.0,1.0
2024-04-19 23:00:00,32748.0,32748.0,31562.0,31832.0,3.0
2024-04-22 23:00:00,32000.0,32000.0,32000.0,32000.0,1.0
2024-04-23 23:00:00,31900.0,31900.0,31900.0,31900.0,1.0
2024-04-24 23:00:00,31450.0,31450.0,31400.0,31400.0,16.0
2024-04-29 23:00:00,30851.0,30851.0,30851.0,30851.0,1.0
2024-05-17 23:00:00,31200.0,31200.0,30650.0,30700.0,46.0
2024-05-20 23:00:00,30500.0,30772.0,30400.0,30769.0,6.0
2024-05-24 23:00:00,30392.0,30392.0,30392.0,30392.0,1.0
2024-05-28 23:00:00,29655.0,29655.0,29612.0,29612.0,11.0
2024-05-29 23:00:00,29959.0,29959.0,29049.0,29049.0,9.0
2024-05-31 23:00:00,29265.0,29265.0,29100.0,29100.0,2.0
2024-06-03 23:00:00,28352.0,28540.0,28352.0,28540.0,2.0
2024-06-05 23:00:00,26531.0,26531.0,26531.0,26531.0,1.0
2024-06-07 23:00:00,29254.0,29254.0,29236.0,29236.0,2.0
2024-06-11 23:00:00,27301.0,28585.0,27301.0,28585.0,2.0
2024-06-13 23:00:00,28000.0,28000.0,28000.0,28000.0,2.0
2024-06-17 23:00:00,28179.0,28310.0,28179.0,28300.0,4.0
2024-06-19 23:00:00,28000.0,28777.0,27824.0,28361.0,31.0
2024-06-20 23:00:00,28856.0,28856.0,28043.0,28416.0,7.0
2024-06-21 23:00:00,28310.0,28310.0,27707.0,27707.0,4.0
2024-06-24 23:00:00,27500.0,27878.0,27500.0,27878.0,2.0
2024-06-25 23:00:00,27758.0,27758.0,27756.0,27756.0,2.0
2024-06-27 23:00:00,28172.0,28172.0,28172.0,28172.0,2.0
2024-06-28 23:00:00,28136.0,28136.0,27902.0,27902.0,8.0
2024-07-01 23:00:00,28062.0,28482.0,28062.0,28482.0,4.0
2024-07-02 23:00:00,28323.0,28575.0,28306.0,28393.0,6.0
2024-07-04 23:00:00,27857.0,27857.0,27857.0,27857.0,2.0
2024-07-05 23:00:00,27850.0,27850.0,27850.0,27850.0,1.0
2024-07-08 23:00:00,27698.0,27698.0,27596.0,27596.0,5.0
2024-07-09 23:00:00,27500.0,27500.0,26545.0,26589.0,20.0
2024-07-10 23:00:00,26715.0,26715.0,25488.0,25506.0,103.0
2024-07-11 23:00:00,25741.0,26238.0,24954.0,26238.0,90.0
2024-07-12 23:00:00,26430.0,26590.0,25552.0,26000.0,9.0
2024-07-15 23:00:00,25750.0,25767.0,24833.0,24833.0,35.0
2024-07-16 23:00:00,24822.0,24823.0,23457.0,23680.0,205.0
2024-07-17 23:00:00,23789.0,24323.0,23500.0,24257.0,83.0
2024-07-18 23:00:00,24076.0,24500.0,24076.0,24500.0,32.0
2024-07-19 23:00:00,24488.0,25610.0,24482.0,25450.0,74.0
2024-07-22 23:00:00,25522.0,26298.0,25500.0,25500.0,59.0
2024-07-23 23:00:00,25669.0,25745.0,25531.0,25694.0,134.0
2024-07-24 23:00:00,25666.0,25678.0,25523.0,25617.0,93.0
2024-07-25 23:00:00,25594.0,26157.0,25300.0,25443.0,56.0
2024-07-26 23:00:00,25443.0,25457.0,24662.0,24662.0,123.0
2024-07-29 23:00:00,24615.0,24615.0,24014.0,24186.0,51.0
2024-07-30 23:00:00,24106.0,24383.0,24000.0,24093.0,33.0
2024-07-31 23:00:00,24362.0,24779.0,24190.0,24460.0,60.0
2024-08-01 23:00:00,24572.0,24572.0,24331.0,24374.0,18.0
2024-08-02 23:00:00,24383.0,24383.0,24000.0,24053.0,66.0
2024-08-05 23:00:00,24060.0,24082.0,23370.0,23663.0,106.0
2024-08-06 23:00:00,23663.0,23914.0,23597.0,23675.0,24.0
2024-08-07 23:00:00,23564.0,23954.0,23405.0,23856.0,23.0
2024-08-08 23:00:00,23974.0,24165.0,23819.0,23941.0,38.0
2024-08-09 23:00:00,23826.0,23905.0,23618.0,23697.0,20.0
2024-08-12 23:00:00,23604.0,23730.0,23550.0,23678.0,21.0
2024-08-13 23:00:00,23746.0,23889.0,23746.0,23889.0,27.0
2024-08-14 23:00:00,24062.0,24063.0,23842.0,23842.0,17.0
2024-08-15 23:00:00,23740.0,23740.0,23637.0,23694.0,22.0
2024-08-16 23:00:00,23704.0,23782.0,23390.0,23448.0,54.0
2024-08-19 23:00:00,23311.0,23311.0,23000.0,23000.0,59.0
2024-08-20 23:00:00,23000.0,23074.0,22769.0,22816.0,67.0
2024-08-21 23:00:00,22751.0,22766.0,22000.0,22000.0,128.0
2024-08-22 23:00:00,22070.0,22080.0,21260.0,21260.0,449.0
2024-08-23 23:00:00,21120.0,21305.0,20659.0,20749.0,529.0
2024-08-26 23:00:00,20716.0,21600.0,20699.0,21206.0,351.0
2024-08-27 23:00:00,21272.0,21400.0,21000.0,21120.0,234.0
2024-08-28 23:00:00,21065.0,21065.0,20196.0,20817.0,324.0
2024-08-29 23:00:00,20926.0,21131.0,20765.0,20896.0,145.0
2024-08-30 23:00:00,20915.0,21037.0,20179.0,20410.0,436.0
2024-09-02 23:00:00,20200.0,20364.0,19570.0,19632.0,378.0
2024-09-03 23:00:00,19601.0,20780.0,19500.0,19739.0,532.0
2024-09-04 23:00:00,19705.0,20319.0,19705.0,20299.0,225.0
2024-09-05 23:00:00,20399.0,21061.0,20278.0,20580.0,424.0
2024-09-06 23:00:00,20600.0,20754.0,20388.0,20400.0,369.0
2024-09-09 23:00:00,20390.0,21046.0,20360.0,21045.0,594.0
2024-09-10 23:00:00,21034.0,21405.0,20900.0,20970.0,739.0
2024-09-11 23:00:00,20971.0,21045.0,20639.0,20896.0,655.0
2024-09-12 23:00:00,20738.0,20738.0,20222.0,20490.0,769.0
2024-09-13 23:00:00,20431.0,20680.0,19742.0,20527.0,971.0
2024-09-16 23:00:00,20538.0,21590.0,20498.0,21590.0,1159.0
2024-09-17 23:00:00,21531.0,22131.0,21401.0,22061.0,2276.0
2024-09-18 23:00:00,22095.0,22159.0,21483.0,21501.0,1534.0
2024-09-19 23:00:00,21532.0,21832.0,21400.0,21765.0,2003.0
2024-09-20 23:00:00,21765.0,21939.0,21380.0,21413.0,1550.0
2024-09-23 23:00:00,21333.0,21734.0,21314.0,21484.0,2164.0
2024-09-24 23:00:00,21465.0,21909.0,21387.0,21817.0,1892.0
2024-09-25 23:00:00,21827.0,21999.0,21418.0,21501.0,3065.0
2024-09-26 23:00:00,21537.0,21724.0,21366.0,21660.0,2131.0
2024-09-27 23:00:00,21659.0,21790.0,21510.0,21641.0,1448.0
2024-09-30 23:00:00,21639.0,21878.0,21405.0,21866.0,2062.0
2024-10-01 23:00:00,21866.0,21870.0,21474.0,21690.0,2402.0
2024-10-02 23:00:00,21686.0,22229.0,21180.0,21244.0,4375.0
2024-10-03 23:00:00,21235.0,21525.0,20921.0,21494.0,4717.0
2024-10-04 23:00:00,21489.0,21657.0,21320.0,21551.0,1445.0
2024-10-07 23:00:00,21559.0,21659.0,21112.0,21326.0,1910.0
2024-10-08 23:00:00,21298.0,21570.0,21150.0,21500.0,1126.0
2024-10-09 23:00:00,21493.0,21524.0,21251.0,21260.0,931.0
2024-10-10 23:00:00,21260.0,21554.0,21260.0,21390.0,981.0
2024-10-11 23:00:00,21419.0,21430.0,21225.0,21287.0,1285.0
2024-10-14 23:00:00,21294.0,21358.0,20997.0,21310.0,3305.0
2024-10-15 23:00:00,21310.0,21522.0,21206.0,21454.0,2083.0
