<DATE>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
2023-09-19 23:00:00,4300.0,4300.0,4200.0,4200.0,4.0
2023-09-22 23:00:00,4588.55,4588.55,4588.55,4588.55,1.0
2023-09-26 23:00:00,3868.95,4200.0,3868.95,4200.0,2.0
2023-10-02 23:00:00,4072.35,4080.85,4072.35,4080.85,4.0
2023-10-27 23:00:00,3981.75,4179.75,3719.0,4179.75,5.0
2023-11-01 23:00:00,3921.15,3921.15,3921.15,3921.15,1.0
2023-11-23 23:00:00,4035.65,4035.65,4035.65,4035.65,1.0
2023-11-27 23:00:00,4027.2,4027.2,4027.2,4027.2,1.0
2023-12-13 23:00:00,4711.2,4939.9,4711.2,4935.55,5.0
2023-12-20 23:00:00,4959.0,4959.0,4959.0,4959.0,1.0
2023-12-21 23:00:00,4255.55,4255.55,4255.55,4255.55,1.0
2023-12-22 23:00:00,4265.6,4265.6,4265.6,4265.6,1.0
2023-12-25 23:00:00,4905.95,4905.95,4905.95,4905.95,1.0
2024-01-04 23:00:00,4392.65,4439.25,4392.65,4439.25,2.0
2024-01-05 23:00:00,4497.35,4497.35,4497.35,4497.35,1.0
2024-01-26 23:00:00,4258.35,4258.35,4258.35,4258.35,1.0
2024-01-29 23:00:00,4249.35,4249.35,4249.35,4249.35,1.0
2024-01-30 23:00:00,4300.0,4811.25,4284.35,4284.35,3.0
2024-03-22 23:00:00,4444.85,4478.3,4249.0,4478.3,6.0
2024-04-16 23:00:00,4250.0,4250.0,4250.0,4250.0,2.0
2024-04-17 23:00:00,4476.0,4476.0,4225.0,4225.0,2.0
2024-04-25 23:00:00,4180.0,4180.0,4180.0,4180.0,1.0
2024-04-27 23:00:00,4180.0,4180.0,4180.0,4180.0,1.0
2024-07-10 23:00:00,4349.5,4349.5,4197.2,4236.9,7.0
2024-07-11 23:00:00,4006.0,4314.3,4006.0,4314.3,3.0
2024-07-15 23:00:00,4199.0,4199.0,4199.0,4199.0,1.0
2024-07-17 23:00:00,3742.65,4314.55,3690.75,3960.2,106.0
2024-07-22 23:00:00,3919.75,4216.95,3609.25,4216.95,122.0
2024-07-23 23:00:00,4204.85,4216.0,3951.5,4188.35,16.0
2024-07-24 23:00:00,4188.0,4188.0,4188.0,4188.0,2.0
2024-07-25 23:00:00,4039.2,4203.4,4027.0,4203.4,4.0
2024-07-30 23:00:00,4150.0,4150.0,4150.0,4150.0,1.0
2024-08-02 23:00:00,3982.25,3982.25,3916.5,3916.5,4.0
2024-08-05 23:00:00,3950.0,4050.0,3857.05,4049.0,16.0
2024-08-07 23:00:00,4006.6,4207.0,4006.6,4207.0,6.0
2024-08-09 23:00:00,4046.7,4070.0,3973.55,4070.0,3.0
2024-08-13 23:00:00,4079.4,4079.4,4079.4,4079.4,1.0
2024-08-14 23:00:00,4207.15,4209.6,4089.15,4089.15,4.0
2024-08-15 23:00:00,4173.2,4190.2,4097.6,4124.9,5.0
2024-08-19 23:00:00,3711.75,4137.3,3711.75,4137.3,2.0
2024-08-20 23:00:00,3996.95,4539.25,3781.65,4012.75,28.0
2024-08-21 23:00:00,3982.95,4033.5,3941.95,3941.95,3.0
2024-08-22 23:00:00,3920.2,3920.2,3920.2,3920.2,1.0
2024-08-29 23:00:00,3860.65,3860.65,3860.65,3860.65,1.0
2024-08-30 23:00:00,3653.8,3653.8,3644.25,3644.25,2.0
2024-09-02 23:00:00,3468.25,3986.95,3468.25,3875.45,5.0
2024-09-03 23:00:00,3851.7,3851.7,3851.7,3851.7,1.0
2024-09-04 23:00:00,3660.8,3684.1,3610.0,3684.1,7.0
2024-09-05 23:00:00,3684.45,3684.45,3684.45,3684.45,2.0
2024-09-06 23:00:00,3648.0,3697.1,3648.0,3697.1,3.0
2024-09-09 23:00:00,3665.75,3665.75,3665.75,3665.75,1.0
2024-09-10 23:00:00,3740.0,3924.75,3655.3,3655.3,9.0
2024-09-12 23:00:00,3670.0,3670.0,3670.0,3670.0,1.0
2024-09-13 23:00:00,3712.05,3712.05,3712.05,3712.05,1.0
2024-09-16 23:00:00,3529.25,4094.75,3446.3,3831.65,19.0
2024-09-17 23:00:00,3563.1,3563.1,3517.6,3517.6,2.0
2024-09-18 23:00:00,3890.25,3890.25,3890.25,3890.25,1.0
2024-09-24 23:00:00,3531.5,3531.5,3531.5,3531.5,1.0
2024-10-14 23:00:00,3510.1,3896.9,3510.1,3896.9,7.0
2024-10-15 23:00:00,3626.4,3844.4,3626.4,3844.4,3.0
2024-10-16 23:00:00,3830.0,3865.05,3830.0,3865.05,2.0
2024-10-17 23:00:00,3682.8,3790.0,3666.8,3680.0,10.0
2024-10-21 23:00:00,3659.45,3872.0,3624.45,3837.2,11.0
2024-10-22 23:00:00,3846.6,3849.55,3846.6,3849.55,2.0
2024-10-23 23:00:00,3688.8,3853.1,3688.8,3853.1,2.0
2024-10-24 23:00:00,3675.5,3677.85,3547.35,3613.85,6.0
2024-10-28 23:00:00,3600.0,3600.0,3600.0,3600.0,1.0
2024-10-29 23:00:00,3580.0,3580.0,3580.0,3580.0,1.0
2024-11-07 23:00:00,3839.05,3839.05,3431.4,3750.0,7.0
2024-11-21 23:00:00,3857.85,3857.85,3857.85,3857.85,1.0
2024-11-28 23:00:00,3742.9,3742.9,3742.9,3742.9,1.0
2024-12-09 23:00:00,3518.25,3702.55,3518.25,3702.55,6.0
2024-12-11 23:00:00,3587.0,3587.0,3583.0,3583.0,2.0
2024-12-13 23:00:00,3440.45,3440.45,3440.45,3440.45,1.0
2024-12-16 23:00:00,3460.0,3707.0,3386.1,3673.95,21.0
2024-12-20 23:00:00,3754.15,3968.25,3654.9,3654.9,11.0
2024-12-23 23:00:00,3794.65,3890.0,3669.4,3669.4,7.0
2024-12-24 23:00:00,3751.05,3751.05,3751.05,3751.05,1.0
2024-12-26 23:00:00,3806.5,3806.5,3806.5,3806.5,1.0
2024-12-28 23:00:00,3801.05,3801.05,3801.05,3801.05,1.0
2024-12-30 23:00:00,3848.15,3858.95,3783.1,3783.1,7.0
2025-01-09 23:00:00,3819.5,3819.5,3819.5,3819.5,1.0
2025-01-10 23:00:00,3819.5,3819.5,3819.5,3819.5,1.0
2025-01-17 23:00:00,3914.45,3997.8,3895.7,3915.05,6.0
2025-01-20 23:00:00,4019.95,4030.4,4010.5,4030.4,4.0
2025-01-21 23:00:00,3925.8,3971.7,3925.8,3971.7,5.0
2025-01-22 23:00:00,3963.15,3963.15,3963.15,3963.15,1.0
2025-01-28 23:00:00,3944.05,3969.25,3944.05,3969.25,5.0
2025-01-30 23:00:00,3974.3,3974.3,3974.3,3974.3,1.0
2025-02-04 23:00:00,4010.8,4010.8,4010.8,4010.8,1.0
2025-02-05 23:00:00,3979.6,3979.6,3979.6,3979.6,1.0
2025-02-06 23:00:00,4025.0,4026.0,3988.0,4025.0,64.0
2025-02-07 23:00:00,4002.1,4002.1,4002.1,4002.1,1.0
2025-02-10 23:00:00,3981.0,4028.0,3955.0,4027.0,14.0
2025-02-11 23:00:00,3979.0,4025.0,3979.0,4025.0,12.0
2025-02-12 23:00:00,4010.0,4094.0,4010.0,4034.25,13.0
2025-02-13 23:00:00,4055.4,4524.9,4006.6,4065.0,15.0
2025-02-14 23:00:00,4350.0,4414.55,4095.0,4300.0,20.0
2025-02-17 23:00:00,4150.0,4270.0,4120.0,4270.0,5.0
2025-02-18 23:00:00,4250.0,4250.0,4173.45,4222.0,7.0
2025-02-19 23:00:00,4113.9,4285.15,4113.9,4285.15,2.0
2025-02-21 23:00:00,4136.65,4192.2,4095.0,4120.0,13.0
2025-02-24 23:00:00,4005.95,4005.95,4005.95,4005.95,1.0
2025-02-25 23:00:00,4120.0,4120.0,4120.0,4120.0,5.0
2025-02-27 23:00:00,4155.0,4155.0,4135.0,4135.0,2.0
2025-02-28 23:00:00,4108.6,4145.65,4108.55,4145.65,3.0
2025-03-06 23:00:00,4245.95,4245.95,4170.15,4170.15,6.0
2025-03-07 23:00:00,4154.5,4154.5,4154.5,4154.5,1.0
2025-03-11 23:00:00,3850.0,3850.0,3850.0,3850.0,1.0
2025-03-13 23:00:00,4112.6,4112.6,4112.6,4112.6,1.0
2025-03-17 23:00:00,4097.55,4097.55,4040.9,4055.0,3.0
2025-03-19 23:00:00,4123.6,4123.6,4123.6,4123.6,1.0
2025-03-20 23:00:00,4121.25,4121.25,4120.0,4120.0,2.0
2025-03-24 23:00:00,4161.6,4161.6,4161.6,4161.6,1.0
2025-03-25 23:00:00,4192.45,4192.45,4147.25,4147.25,2.0
2025-03-27 23:00:00,4089.55,4106.8,4051.1,4051.1,4.0
2025-03-28 23:00:00,4033.75,4033.75,4015.3,4015.3,2.0
2025-03-31 23:00:00,4008.0,4008.0,4008.0,4008.0,1.0
2025-04-01 23:00:00,4034.95,4076.25,4005.9,4005.9,4.0
2025-04-02 23:00:00,3991.55,3991.55,3991.55,3991.55,1.0
2025-04-03 23:00:00,3981.0,4051.0,3974.0,3974.0,4.0
2025-04-04 23:00:00,3979.75,4025.9,3945.0,3945.0,6.0
