<DATE>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
2024-06-21 23:00:00,21042.0,21042.0,21042.0,21042.0,2.0
2024-06-24 23:00:00,20304.0,20304.0,20304.0,20304.0,2.0
2024-06-27 23:00:00,20523.0,20523.0,20300.0,20300.0,52.0
2024-06-28 23:00:00,20502.0,20608.0,20502.0,20608.0,9.0
2024-07-01 23:00:00,20371.0,20640.0,20371.0,20633.0,16.0
2024-07-02 23:00:00,20502.0,20750.0,20502.0,20750.0,30.0
2024-07-03 23:00:00,20729.0,20897.0,20729.0,20890.0,174.0
2024-07-04 23:00:00,20953.0,20977.0,20790.0,20977.0,10.0
2024-07-05 23:00:00,20999.0,21000.0,20836.0,20877.0,10.0
2024-07-08 23:00:00,20863.0,20992.0,20668.0,20668.0,24.0
2024-07-09 23:00:00,20831.0,20831.0,20831.0,20831.0,1.0
2024-07-10 23:00:00,20754.0,20754.0,20700.0,20741.0,4.0
2024-07-11 23:00:00,21160.0,21161.0,20511.0,20741.0,26.0
2024-07-12 23:00:00,20765.0,20800.0,20765.0,20768.0,15.0
2024-07-15 23:00:00,20768.0,21073.0,20768.0,21000.0,34.0
2024-07-16 23:00:00,20999.0,21090.0,20850.0,21090.0,19.0
2024-07-17 23:00:00,21100.0,21100.0,20657.0,20657.0,27.0
2024-07-18 23:00:00,20521.0,20834.0,20511.0,20511.0,39.0
2024-07-19 23:00:00,20510.0,20600.0,20296.0,20300.0,44.0
2024-07-22 23:00:00,20202.0,20502.0,20115.0,20365.0,23.0
2024-07-23 23:00:00,20154.0,20818.0,20154.0,20400.0,31.0
2024-07-24 23:00:00,20400.0,20400.0,20000.0,20040.0,31.0
2024-07-25 23:00:00,20149.0,20149.0,19854.0,19985.0,26.0
2024-07-26 23:00:00,19917.0,20114.0,19679.0,20114.0,28.0
2024-07-29 23:00:00,20021.0,20219.0,20021.0,20219.0,7.0
2024-07-30 23:00:00,20200.0,20200.0,19965.0,20178.0,11.0
2024-07-31 23:00:00,19760.0,20282.0,19574.0,20282.0,116.0
2024-08-01 23:00:00,20145.0,20250.0,20066.0,20066.0,34.0
2024-08-02 23:00:00,19887.0,20000.0,19360.0,19519.0,79.0
2024-08-05 23:00:00,19533.0,19533.0,18447.0,18997.0,184.0
2024-08-06 23:00:00,19005.0,19436.0,18348.0,19366.0,306.0
2024-08-07 23:00:00,19490.0,19590.0,18957.0,19309.0,102.0
2024-08-08 23:00:00,19231.0,19286.0,19103.0,19238.0,25.0
2024-08-09 23:00:00,19331.0,19591.0,19331.0,19425.0,14.0
2024-08-12 23:00:00,19318.0,19689.0,19216.0,19216.0,44.0
2024-08-13 23:00:00,19499.0,19696.0,19310.0,19370.0,60.0
2024-08-14 23:00:00,19642.0,19825.0,19450.0,19573.0,86.0
2024-08-15 23:00:00,19811.0,20188.0,19623.0,20120.0,138.0
2024-08-16 23:00:00,20120.0,20290.0,19998.0,20100.0,71.0
2024-08-19 23:00:00,20100.0,20287.0,20093.0,20277.0,134.0
2024-08-20 23:00:00,20277.0,20498.0,20095.0,20343.0,107.0
2024-08-21 23:00:00,20342.0,20549.0,20329.0,20352.0,40.0
2024-08-22 23:00:00,20484.0,20484.0,20212.0,20212.0,45.0
2024-08-23 23:00:00,20300.0,20367.0,20211.0,20237.0,35.0
2024-08-26 23:00:00,20345.0,20600.0,20125.0,20551.0,38.0
2024-08-27 23:00:00,20496.0,20517.0,20312.0,20489.0,45.0
2024-08-28 23:00:00,20485.0,20490.0,20200.0,20462.0,56.0
2024-08-29 23:00:00,20201.0,20430.0,20069.0,20420.0,98.0
2024-08-30 23:00:00,20455.0,20479.0,20093.0,20324.0,34.0
2024-09-02 23:00:00,20287.0,20287.0,20100.0,20166.0,85.0
2024-09-03 23:00:00,20128.0,20291.0,19580.0,19762.0,248.0
2024-09-04 23:00:00,19787.0,19914.0,19383.0,19570.0,125.0
2024-09-05 23:00:00,19570.0,19570.0,19365.0,19405.0,34.0
2024-09-06 23:00:00,19401.0,19540.0,19256.0,19256.0,53.0
2024-09-09 23:00:00,19256.0,19350.0,19084.0,19152.0,98.0
2024-09-10 23:00:00,19255.0,19453.0,19122.0,19400.0,89.0
2024-09-11 23:00:00,19370.0,19469.0,19313.0,19418.0,164.0
2024-09-12 23:00:00,19448.0,19975.0,19448.0,19769.0,358.0
2024-09-13 23:00:00,19750.0,20128.0,19749.0,20128.0,121.0
2024-09-16 23:00:00,20187.0,20282.0,20013.0,20074.0,392.0
2024-09-17 23:00:00,20061.0,20369.0,20061.0,20265.0,251.0
2024-09-18 23:00:00,20254.0,20317.0,20145.0,20240.0,265.0
2024-09-19 23:00:00,20239.0,20519.0,19712.0,20458.0,546.0
2024-09-20 23:00:00,20458.0,20516.0,20137.0,20181.0,480.0
2024-09-23 23:00:00,20248.0,20315.0,20186.0,20312.0,596.0
2024-09-24 23:00:00,20349.0,20428.0,20219.0,20332.0,303.0
2024-09-25 23:00:00,20372.0,20555.0,20335.0,20520.0,343.0
