<DATE>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
2025-01-24 23:00:00,4.244,4.245,3.458,4.244,21.0
2025-01-27 23:00:00,3.826,4.244,3.822,3.837,49.0
2025-01-28 23:00:00,3.44,4.214,3.44,3.485,84.0
2025-01-29 23:00:00,3.485,3.797,3.485,3.525,75.0
2025-01-30 23:00:00,3.699,3.699,3.698,3.698,6.0
2025-01-31 23:00:00,3.601,3.698,3.502,3.502,137.0
2025-02-03 23:00:00,3.699,3.699,3.551,3.695,78.0
2025-02-04 23:00:00,3.697,3.697,3.557,3.557,34.0
2025-02-05 23:00:00,3.695,3.695,3.577,3.686,14.0
2025-02-06 23:00:00,3.677,3.689,3.578,3.681,146.0
2025-02-07 23:00:00,3.61,3.696,3.609,3.696,29.0
2025-02-10 23:00:00,3.612,3.703,3.612,3.695,9.0
2025-02-11 23:00:00,3.623,3.72,3.623,3.657,17.0
2025-02-12 23:00:00,3.675,3.75,3.653,3.653,9.0
2025-02-13 23:00:00,3.651,3.77,3.651,3.761,25.0
2025-02-14 23:00:00,3.751,3.752,3.751,3.752,17.0
2025-02-17 23:00:00,3.814,3.917,3.661,3.661,38.0
2025-02-19 23:00:00,3.91,4.22,3.795,4.147,161.0
2025-02-20 23:00:00,4.18,4.31,4.18,4.26,94.0
2025-02-21 23:00:00,4.299,4.419,4.23,4.3,120.0
2025-02-24 23:00:00,4.19,4.248,4.057,4.248,116.0
2025-02-25 23:00:00,4.24,4.241,4.03,4.188,158.0
2025-02-26 23:00:00,4.189,4.224,4.17,4.17,141.0
2025-02-27 23:00:00,4.151,4.2,4.102,4.155,109.0
2025-02-28 23:00:00,4.18,4.189,4.062,4.11,129.0
2025-03-03 23:00:00,4.179,4.185,4.079,4.155,76.0
2025-03-04 23:00:00,4.141,4.531,4.141,4.531,1857.0
2025-03-05 23:00:00,4.58,4.656,4.466,4.575,1478.0
2025-03-06 23:00:00,4.574,4.649,4.502,4.541,749.0
2025-03-07 23:00:00,4.543,4.557,4.46,4.46,515.0
2025-03-10 23:00:00,4.48,4.842,4.46,4.725,1419.0
2025-03-11 23:00:00,4.759,4.788,4.601,4.666,560.0
2025-03-12 23:00:00,4.661,4.661,4.5,4.5,504.0
2025-03-13 23:00:00,4.489,4.588,4.359,4.463,2179.0
2025-03-14 23:00:00,4.537,4.567,4.412,4.419,1645.0
2025-03-17 23:00:00,4.475,4.618,4.413,4.431,871.0
2025-03-18 23:00:00,4.433,4.494,4.318,4.486,528.0
2025-03-19 23:00:00,4.487,4.489,4.404,4.427,171.0
2025-03-20 23:00:00,4.407,4.549,4.407,4.41,881.0
2025-03-21 23:00:00,4.41,4.496,4.351,4.411,1258.0
2025-03-24 23:00:00,4.366,4.448,4.339,4.443,420.0
2025-03-25 23:00:00,4.406,4.448,4.381,4.381,199.0
2025-03-26 23:00:00,4.351,4.43,4.312,4.374,105.0
2025-03-27 23:00:00,4.37,4.42,4.196,4.33,1166.0
2025-03-28 23:00:00,4.329,4.359,4.316,4.349,788.0
2025-03-31 23:00:00,4.347,4.499,4.346,4.434,2357.0
2025-04-01 23:00:00,4.434,4.532,4.391,4.416,1588.0
2025-04-02 23:00:00,4.444,4.45,4.376,4.45,484.0
2025-04-03 23:00:00,4.45,4.509,4.377,4.448,610.0
2025-04-04 23:00:00,4.498,4.498,4.208,4.307,3224.0
