<DATE>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
2024-10-23 23:00:00,2.499,2.499,2.499,2.499,1.0
2024-10-24 23:00:00,2.865,2.867,2.865,2.867,3.0
2024-10-28 23:00:00,3.115,3.115,3.045,3.045,2.0
2024-10-29 23:00:00,2.992,2.992,2.86,2.9,11.0
2024-10-30 23:00:00,2.926,2.926,2.82,2.826,14.0
2024-10-31 23:00:00,2.823,2.884,2.794,2.794,16.0
2024-11-01 23:00:00,2.795,2.795,2.792,2.792,4.0
2024-11-02 23:00:00,2.763,2.763,2.763,2.763,1.0
2024-11-05 23:00:00,2.81,2.828,2.795,2.812,23.0
2024-11-06 23:00:00,2.768,2.863,2.768,2.8,11.0
2024-11-07 23:00:00,2.849,2.857,2.8,2.8,24.0
2024-11-08 23:00:00,2.8,2.8,2.8,2.8,3.0
2024-11-11 23:00:00,2.773,2.867,2.773,2.843,20.0
2024-11-12 23:00:00,2.862,2.863,2.805,2.863,14.0
2024-11-13 23:00:00,2.865,2.894,2.841,2.884,13.0
2024-11-14 23:00:00,2.891,2.92,2.822,2.92,30.0
2024-11-15 23:00:00,2.836,2.846,2.814,2.846,10.0
2024-11-18 23:00:00,2.848,2.92,2.848,2.873,18.0
2024-11-19 23:00:00,2.877,2.92,2.877,2.903,7.0
2024-11-20 23:00:00,2.938,3.001,2.892,3.001,49.0
2024-11-21 23:00:00,3.001,3.152,2.993,3.152,74.0
2024-11-22 23:00:00,3.11,3.11,2.981,3.017,89.0
2024-11-25 23:00:00,2.95,3.147,2.95,3.147,93.0
2024-11-26 23:00:00,3.136,3.136,3.055,3.057,53.0
2024-11-27 23:00:00,3.052,3.093,2.975,2.987,75.0
2024-11-28 23:00:00,2.976,3.0,2.946,2.968,22.0
2024-11-29 23:00:00,3.0,3.023,2.997,3.02,33.0
2024-12-02 23:00:00,3.001,3.031,2.868,2.976,51.0
2024-12-03 23:00:00,2.947,2.956,2.87,2.87,39.0
2024-12-04 23:00:00,2.889,2.889,2.82,2.823,64.0
2024-12-05 23:00:00,2.822,2.908,2.811,2.905,63.0
2024-12-06 23:00:00,2.9,2.9,2.861,2.877,40.0
2024-12-09 23:00:00,2.881,2.965,2.881,2.899,37.0
2024-12-10 23:00:00,2.922,2.922,2.859,2.863,24.0
2024-12-11 23:00:00,2.866,2.956,2.866,2.946,85.0
2024-12-12 23:00:00,2.938,2.938,2.9,2.9,75.0
2024-12-13 23:00:00,2.919,2.948,2.896,2.922,31.0
2024-12-16 23:00:00,2.921,2.94,2.862,2.877,53.0
2024-12-17 23:00:00,2.87,2.905,2.851,2.854,33.0
2024-12-18 23:00:00,2.865,2.938,2.854,2.912,76.0
2024-12-19 23:00:00,2.914,2.971,2.889,2.93,64.0
2024-12-20 23:00:00,2.921,2.973,2.915,2.939,145.0
2024-12-23 23:00:00,2.946,3.02,2.943,2.988,313.0
2024-12-24 23:00:00,2.966,3.025,2.96,3.025,193.0
2024-12-25 23:00:00,3.012,3.025,2.963,3.0,70.0
2024-12-26 23:00:00,3.0,3.016,2.917,2.944,235.0
2024-12-27 23:00:00,2.945,2.981,2.901,2.933,159.0
2024-12-28 23:00:00,2.954,2.99,2.938,2.982,79.0
2024-12-30 23:00:00,2.972,3.27,2.972,3.184,535.0
2025-01-03 23:00:00,3.143,3.199,3.039,3.056,205.0
2025-01-06 23:00:00,3.05,3.195,3.001,3.061,255.0
2025-01-08 23:00:00,3.092,3.142,3.082,3.14,180.0
2025-01-09 23:00:00,3.162,3.22,3.054,3.212,262.0
2025-01-10 23:00:00,3.217,3.33,3.194,3.287,547.0
2025-01-13 23:00:00,3.294,3.395,3.289,3.361,449.0
2025-01-14 23:00:00,3.358,3.369,3.289,3.308,532.0
2025-01-15 23:00:00,3.332,3.423,3.313,3.404,618.0
2025-01-16 23:00:00,3.39,3.507,3.39,3.453,406.0
2025-01-17 23:00:00,3.449,3.698,3.448,3.52,822.0
2025-01-20 23:00:00,3.5,3.543,3.394,3.411,530.0
2025-01-21 23:00:00,3.412,3.437,3.399,3.401,383.0
2025-01-22 23:00:00,3.4,3.427,3.361,3.412,498.0
2025-01-23 23:00:00,3.42,3.587,3.42,3.515,848.0
2025-01-24 23:00:00,3.51,3.511,3.43,3.446,583.0
2025-01-27 23:00:00,3.44,3.534,3.335,3.335,1453.0
2025-01-28 23:00:00,3.351,3.368,3.256,3.28,1379.0
2025-01-29 23:00:00,3.277,3.303,3.197,3.251,1390.0
2025-01-30 23:00:00,3.271,3.341,3.234,3.234,2474.0
2025-01-31 23:00:00,3.243,3.253,3.13,3.187,1551.0
2025-02-03 23:00:00,3.189,3.39,3.173,3.39,2378.0
2025-02-04 23:00:00,3.39,3.446,3.263,3.345,3449.0
2025-02-05 23:00:00,3.352,3.388,3.265,3.309,1488.0
2025-02-06 23:00:00,3.32,3.457,3.318,3.399,3438.0
2025-02-07 23:00:00,3.427,3.476,3.4,3.444,3467.0
2025-02-10 23:00:00,3.435,3.516,3.375,3.499,4456.0
2025-02-11 23:00:00,3.491,3.617,3.489,3.604,5454.0
2025-02-12 23:00:00,3.606,3.635,3.563,3.595,1824.0
2025-02-13 23:00:00,3.588,3.803,3.58,3.787,4043.0
2025-02-14 23:00:00,3.798,3.798,3.653,3.742,7217.0
2025-02-17 23:00:00,3.745,3.789,3.631,3.634,6249.0
2025-02-18 23:00:00,3.63,3.765,3.611,3.765,4497.0
2025-02-19 23:00:00,3.768,4.199,3.768,4.114,18315.0
2025-02-20 23:00:00,4.127,4.265,4.041,4.056,14920.0
2025-02-21 23:00:00,4.041,4.29,4.009,4.279,18673.0
2025-02-24 23:00:00,4.255,4.267,3.916,3.992,18038.0
2025-02-25 23:00:00,3.98,4.06,3.947,4.032,15280.0
2025-02-26 23:00:00,4.037,4.174,4.018,4.026,53026.0
2025-02-27 23:00:00,4.036,4.087,3.934,4.076,80935.0
2025-02-28 23:00:00,4.087,4.099,3.915,3.927,57783.0
