<DATE>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
2024-12-18 23:00:00,12550.0,12742.0,12545.0,12742.0,10.0
2024-12-19 23:00:00,12949.0,13060.0,12949.0,12980.0,9.0
2024-12-20 23:00:00,13069.0,14637.0,13044.0,14579.0,252.0
2024-12-23 23:00:00,14599.0,15040.0,14516.0,14697.0,251.0
2024-12-24 23:00:00,14738.0,14885.0,14581.0,14853.0,108.0
2024-12-25 23:00:00,14756.0,14784.0,14519.0,14621.0,162.0
2024-12-26 23:00:00,14716.0,14858.0,14607.0,14743.0,63.0
2024-12-27 23:00:00,14526.0,14791.0,14524.0,14666.0,26.0
2024-12-28 23:00:00,15049.0,15050.0,15005.0,15005.0,3.0
2024-12-30 23:00:00,15021.0,15941.0,15021.0,15815.0,132.0
2025-01-03 23:00:00,15816.0,15906.0,15235.0,15450.0,187.0
2025-01-06 23:00:00,15486.0,15602.0,15363.0,15567.0,119.0
2025-01-08 23:00:00,15515.0,15625.0,15477.0,15515.0,119.0
2025-01-09 23:00:00,15479.0,15479.0,14736.0,14860.0,152.0
2025-01-10 23:00:00,14916.0,15563.0,14767.0,15412.0,222.0
2025-01-13 23:00:00,15350.0,15767.0,15350.0,15460.0,126.0
2025-01-14 23:00:00,15461.0,15730.0,15380.0,15572.0,29.0
2025-01-15 23:00:00,15473.0,15523.0,15288.0,15294.0,32.0
2025-01-16 23:00:00,15654.0,15794.0,15611.0,15794.0,69.0
2025-01-17 23:00:00,15688.0,16244.0,15671.0,16220.0,54.0
2025-01-20 23:00:00,16235.0,16351.0,15964.0,16029.0,50.0
2025-01-21 23:00:00,15872.0,15909.0,15476.0,15581.0,28.0
2025-01-22 23:00:00,15671.0,15835.0,15670.0,15835.0,33.0
2025-01-23 23:00:00,15700.0,15700.0,15140.0,15250.0,49.0
2025-01-24 23:00:00,15291.0,15584.0,15266.0,15540.0,27.0
2025-01-27 23:00:00,15502.0,15502.0,15000.0,15000.0,64.0
2025-01-28 23:00:00,15000.0,15262.0,14766.0,15201.0,215.0
2025-01-29 23:00:00,15218.0,15381.0,15181.0,15248.0,82.0
2025-01-30 23:00:00,15240.0,15588.0,15167.0,15569.0,67.0
2025-01-31 23:00:00,15597.0,15605.0,15346.0,15346.0,104.0
2025-02-03 23:00:00,15335.0,15383.0,14674.0,14688.0,132.0
2025-02-04 23:00:00,14687.0,14950.0,14587.0,14627.0,328.0
2025-02-05 23:00:00,14639.0,14676.0,14324.0,14671.0,343.0
2025-02-06 23:00:00,14850.0,14973.0,14700.0,14788.0,66.0
2025-02-07 23:00:00,14722.0,14825.0,14677.0,14769.0,33.0
2025-02-10 23:00:00,14916.0,15062.0,14731.0,14979.0,170.0
2025-02-11 23:00:00,15043.0,15078.0,14641.0,15070.0,129.0
2025-02-12 23:00:00,15070.0,15274.0,15004.0,15100.0,323.0
2025-02-13 23:00:00,15110.0,16258.0,15107.0,15800.0,634.0
2025-02-14 23:00:00,15880.0,16325.0,15400.0,15722.0,416.0
2025-02-17 23:00:00,15763.0,16570.0,15722.0,16370.0,251.0
2025-02-18 23:00:00,16374.0,16636.0,16081.0,16349.0,400.0
2025-02-19 23:00:00,16342.0,16583.0,16178.0,16506.0,239.0
2025-02-20 23:00:00,16598.0,16769.0,16283.0,16485.0,535.0
2025-02-21 23:00:00,16575.0,17056.0,16497.0,16852.0,257.0
2025-02-24 23:00:00,16904.0,17396.0,16794.0,17063.0,391.0
2025-02-25 23:00:00,17103.0,18691.0,17103.0,17278.0,722.0
2025-02-26 23:00:00,17333.0,17434.0,16715.0,17000.0,474.0
2025-02-27 23:00:00,16877.0,16933.0,16402.0,16902.0,178.0
2025-02-28 23:00:00,16771.0,16771.0,16254.0,16500.0,157.0
2025-03-03 23:00:00,16600.0,16817.0,16107.0,16308.0,455.0
2025-03-04 23:00:00,16335.0,17200.0,16262.0,17200.0,224.0
2025-03-05 23:00:00,17242.0,17403.0,16915.0,17144.0,244.0
2025-03-06 23:00:00,17023.0,17105.0,16780.0,17024.0,195.0
2025-03-07 23:00:00,17052.0,17146.0,16500.0,16500.0,356.0
2025-03-10 23:00:00,16695.0,16927.0,16695.0,16871.0,110.0
2025-03-11 23:00:00,16793.0,16898.0,16646.0,16711.0,10098.0
2025-03-12 23:00:00,16725.0,16862.0,16525.0,16579.0,182.0
2025-03-13 23:00:00,16580.0,16580.0,16110.0,16185.0,1239.0
2025-03-14 23:00:00,16452.0,16908.0,16185.0,16501.0,1278.0
2025-03-17 23:00:00,16484.0,17248.0,16453.0,17003.0,2219.0
