<DATE>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
2024-12-17 23:00:00,88691.0,88691.0,84590.0,84672.0,6.0
2024-12-18 23:00:00,86309.0,86310.0,85700.0,85700.0,16.0
2024-12-19 23:00:00,87718.0,89258.0,86747.0,88537.0,12.0
2024-12-20 23:00:00,89652.0,99741.0,89377.0,99238.0,87.0
2024-12-23 23:00:00,98211.0,107250.0,97714.0,103313.0,67.0
2024-12-24 23:00:00,101997.0,102974.0,99613.0,99613.0,17.0
2024-12-25 23:00:00,100318.0,101731.0,99243.0,100537.0,25.0
2024-12-26 23:00:00,102154.0,104515.0,101927.0,103988.0,14.0
2024-12-27 23:00:00,104612.0,104612.0,101980.0,102930.0,46.0
2024-12-28 23:00:00,101782.0,104185.0,95501.0,102960.0,33.0
2024-12-30 23:00:00,103289.0,107300.0,103289.0,105806.0,70.0
2025-01-03 23:00:00,106806.0,107400.0,103758.0,103908.0,34.0
2025-01-06 23:00:00,103908.0,103908.0,101981.0,102181.0,29.0
2025-01-08 23:00:00,104070.0,104080.0,103180.0,103180.0,68.0
2025-01-09 23:00:00,102501.0,103187.0,93026.0,100000.0,101.0
2025-01-10 23:00:00,99771.0,102445.0,98417.0,102308.0,71.0
2025-01-13 23:00:00,101048.0,105718.0,100869.0,105718.0,57.0
2025-01-14 23:00:00,104300.0,106716.0,104282.0,105800.0,19.0
2025-01-15 23:00:00,103001.0,103837.0,102150.0,103500.0,16.0
2025-01-16 23:00:00,103947.0,105293.0,103947.0,104000.0,25.0
2025-01-17 23:00:00,104247.0,106373.0,103458.0,105662.0,49.0
2025-01-20 23:00:00,105921.0,106393.0,104469.0,104500.0,49.0
2025-01-21 23:00:00,104400.0,105000.0,102161.0,105000.0,45.0
2025-01-22 23:00:00,104558.0,107899.0,104558.0,107899.0,56.0
2025-01-23 23:00:00,107900.0,107900.0,105277.0,106125.0,71.0
2025-01-24 23:00:00,105888.0,107479.0,105888.0,107479.0,30.0
2025-01-27 23:00:00,106318.0,107124.0,104964.0,105194.0,63.0
2025-01-28 23:00:00,105270.0,107300.0,104000.0,107290.0,72.0
2025-01-29 23:00:00,107000.0,109601.0,107000.0,108851.0,35.0
2025-01-30 23:00:00,108528.0,112545.0,106700.0,112500.0,87.0
2025-01-31 23:00:00,112450.0,114598.0,111453.0,111453.0,100.0
2025-02-03 23:00:00,112305.0,112655.0,110341.0,110799.0,27.0
2025-02-04 23:00:00,111852.0,111852.0,110999.0,110999.0,6.0
2025-02-05 23:00:00,110581.0,113500.0,110000.0,112961.0,45.0
2025-02-06 23:00:00,113400.0,115250.0,113400.0,114755.0,89.0
2025-02-07 23:00:00,114473.0,114550.0,113793.0,114050.0,24.0
2025-02-10 23:00:00,114240.0,120202.0,114000.0,119000.0,175.0
2025-02-11 23:00:00,119214.0,120815.0,117284.0,120280.0,123.0
2025-02-12 23:00:00,120502.0,123340.0,119034.0,120757.0,360.0
2025-02-13 23:00:00,121000.0,136419.0,120702.0,129225.0,722.0
2025-02-14 23:00:00,130000.0,133899.0,125146.0,125737.0,185.0
2025-02-17 23:00:00,127687.0,133017.0,127100.0,133016.0,182.0
2025-02-18 23:00:00,133200.0,134600.0,129552.0,130148.0,190.0
2025-02-19 23:00:00,130650.0,131642.0,126920.0,131000.0,164.0
2025-02-20 23:00:00,132000.0,138003.0,131528.0,135030.0,225.0
2025-02-21 23:00:00,136152.0,137925.0,135450.0,137200.0,195.0
2025-02-24 23:00:00,137100.0,138903.0,135000.0,138039.0,290.0
2025-02-25 23:00:00,138230.0,140378.0,137100.0,138516.0,236.0
2025-02-26 23:00:00,138000.0,139175.0,133219.0,136974.0,479.0
2025-02-27 23:00:00,134300.0,136139.0,130502.0,134630.0,230.0
2025-02-28 23:00:00,132752.0,134183.0,128234.0,131498.0,357.0
2025-03-03 23:00:00,131670.0,134550.0,126468.0,129600.0,231.0
2025-03-04 23:00:00,129000.0,134499.0,128537.0,134499.0,187.0
2025-03-05 23:00:00,135000.0,138300.0,134352.0,137029.0,225.0
2025-03-06 23:00:00,136550.0,136550.0,130931.0,131333.0,296.0
2025-03-07 23:00:00,131652.0,135737.0,131016.0,131016.0,265.0
2025-03-10 23:00:00,131802.0,135000.0,131802.0,133305.0,202.0
2025-03-11 23:00:00,133001.0,133215.0,131001.0,131001.0,177.0
2025-03-12 23:00:00,131300.0,132482.0,128049.0,129201.0,423.0
2025-03-13 23:00:00,129142.0,129872.0,123934.0,127300.0,704.0
2025-03-14 23:00:00,127500.0,134400.0,127500.0,129200.0,802.0
2025-03-17 23:00:00,129877.0,134800.0,129877.0,131500.0,1269.0
2025-03-18 23:00:00,132523.0,138000.0,132331.0,135599.0,1854.0
2025-03-19 23:00:00,135772.0,137092.0,132749.0,135000.0,2819.0
2025-03-20 23:00:00,135491.0,136876.0,133114.0,134800.0,1788.0
2025-03-21 23:00:00,134600.0,136228.0,133331.0,133897.0,2326.0
2025-03-24 23:00:00,133848.0,134357.0,131711.0,132999.0,1280.0
2025-03-25 23:00:00,133200.0,133783.0,129395.0,132231.0,2842.0
2025-03-26 23:00:00,132433.0,134960.0,131396.0,132372.0,1266.0
