<DATE>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
2024-06-19 23:00:00,1017.0,1017.0,1007.32,1007.32,2.0
2024-06-21 23:00:00,1038.1,1060.77,1038.0,1051.1,8.0
2024-06-24 23:00:00,1061.75,1085.12,1061.75,1085.12,5.0
2024-06-25 23:00:00,1090.44,1116.0,1066.2,1066.2,48.0
2024-06-26 23:00:00,1073.66,1074.0,1046.73,1062.32,8.0
2024-06-27 23:00:00,1059.65,1060.62,1059.65,1060.62,2.0
2024-06-28 23:00:00,1069.15,1069.15,1060.88,1060.98,33.0
2024-07-01 23:00:00,1077.25,1077.25,1075.99,1075.99,2.0
2024-07-02 23:00:00,1087.0,1087.0,1087.0,1087.0,1.0
2024-07-03 23:00:00,1073.75,1073.75,1073.75,1073.75,1.0
2024-07-05 23:00:00,1090.9,1115.12,1090.9,1115.12,5.0
2024-07-08 23:00:00,1115.21,1137.76,1112.24,1112.24,8.0
2024-07-09 23:00:00,1105.69,1150.36,1065.8,1100.87,13.0
2024-07-15 23:00:00,1069.07,1069.07,1069.06,1069.06,2.0
2024-07-17 23:00:00,1073.01,1073.01,1073.01,1073.01,1.0
2024-07-18 23:00:00,1051.39,1051.39,1050.57,1050.57,2.0
2024-07-19 23:00:00,1052.29,1052.29,1030.13,1030.13,3.0
2024-07-22 23:00:00,1116.96,1116.98,1013.19,1014.0,20.0
2024-07-23 23:00:00,998.99,1020.03,951.01,1008.0,17.0
2024-07-24 23:00:00,1017.41,1039.99,1017.41,1039.99,2.0
2024-07-25 23:00:00,1029.0,1029.0,1011.04,1019.0,4.0
2024-07-26 23:00:00,1017.41,1017.41,1017.41,1017.41,1.0
2024-07-31 23:00:00,1009.18,1025.44,1009.18,1025.44,2.0
2024-08-01 23:00:00,1026.0,1035.82,1026.0,1035.82,2.0
2024-08-05 23:00:00,1008.01,1008.01,962.37,975.0,14.0
2024-08-06 23:00:00,962.71,1004.89,955.87,965.76,11.0
2024-08-07 23:00:00,981.96,995.84,981.96,995.84,3.0
2024-08-08 23:00:00,993.35,999.0,993.35,999.0,3.0
2024-08-09 23:00:00,1018.22,1018.22,1001.13,1001.13,4.0
2024-08-12 23:00:00,998.15,1027.61,998.14,1015.29,6.0
2024-08-13 23:00:00,1058.84,1058.84,1016.46,1025.86,9.0
2024-08-14 23:00:00,1027.65,1097.61,1026.82,1026.82,18.0
2024-08-15 23:00:00,1024.94,1041.73,1024.47,1034.2,8.0
2024-08-16 23:00:00,1027.0,1027.0,1027.0,1027.0,1.0
2024-08-19 23:00:00,1036.2,1036.2,1017.67,1017.67,2.0
