<DATE>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
2025-03-20 23:00:00,1610.0,1610.0,1610.0,1610.0,1.0
2025-03-21 23:00:00,1657.0,1687.0,1657.0,1670.0,9.0
2025-03-24 23:00:00,1669.0,1669.0,1617.0,1617.0,7.0
2025-03-25 23:00:00,1602.0,1618.0,1537.0,1571.0,267.0
2025-03-26 23:00:00,1589.0,1592.0,1502.0,1529.0,114.0
2025-03-27 23:00:00,1501.0,1522.0,1450.0,1453.0,872.0
2025-03-28 23:00:00,1459.0,1474.0,1446.0,1454.0,266.0
2025-03-31 23:00:00,1446.0,1471.0,1361.0,1404.0,2135.0
2025-04-01 23:00:00,1403.0,1474.0,1401.0,1420.0,1086.0
2025-04-02 23:00:00,1420.0,1423.0,1361.0,1372.0,917.0
2025-04-03 23:00:00,1371.0,1413.0,1358.0,1404.0,623.0
2025-04-04 23:00:00,1406.0,1453.0,1374.0,1401.0,647.0
