<DATE>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
2024-09-10 23:00:00,3082.0,3083.0,2884.0,2884.0,1074.0
2024-09-11 23:00:00,2920.0,2947.0,2853.0,2879.0,2133.0
2024-09-12 23:00:00,2864.0,2895.0,2739.0,2860.0,3474.0
2024-09-13 23:00:00,2800.0,2901.0,2630.0,2901.0,5172.0
2024-09-16 23:00:00,2880.0,2909.0,2855.0,2890.0,1210.0
2024-09-17 23:00:00,2890.0,2966.0,2870.0,2870.0,1663.0
2024-09-18 23:00:00,2911.0,3148.0,2900.0,2923.0,1248.0
2024-09-19 23:00:00,2918.0,2941.0,2873.0,2891.0,523.0
2024-09-20 23:00:00,2922.0,2922.0,2850.0,2871.0,910.0
2024-09-23 23:00:00,2866.0,3093.0,2845.0,3070.0,1726.0
2024-09-24 23:00:00,3007.0,3058.0,2877.0,2900.0,1772.0
2024-09-25 23:00:00,2950.0,3128.0,2934.0,3001.0,6195.0
2024-09-26 23:00:00,3030.0,3098.0,2963.0,3061.0,6622.0
2024-09-27 23:00:00,3078.0,3121.0,3057.0,3100.0,1207.0
2024-09-30 23:00:00,3102.0,3200.0,3083.0,3131.0,2191.0
2024-10-01 23:00:00,3124.0,3124.0,3025.0,3058.0,2195.0
2024-10-02 23:00:00,3058.0,3080.0,2911.0,2950.0,1389.0
2024-10-03 23:00:00,2950.0,3018.0,2899.0,2938.0,1975.0
2024-10-04 23:00:00,2950.0,2968.0,2911.0,2932.0,939.0
2024-10-07 23:00:00,2942.0,2942.0,2839.0,2887.0,2297.0
2024-10-08 23:00:00,2860.0,2897.0,2846.0,2856.0,1733.0
2024-10-09 23:00:00,2856.0,2861.0,2719.0,2727.0,2971.0
2024-10-10 23:00:00,2720.0,2734.0,2642.0,2657.0,3849.0
2024-10-11 23:00:00,2670.0,2791.0,2651.0,2718.0,2212.0
2024-10-14 23:00:00,2699.0,2732.0,2638.0,2721.0,1954.0
2024-10-15 23:00:00,2724.0,2788.0,2713.0,2763.0,1665.0
2024-10-16 23:00:00,2758.0,2863.0,2706.0,2733.0,1021.0
2024-10-17 23:00:00,2725.0,2753.0,2700.0,2725.0,401.0
2024-10-18 23:00:00,2713.0,2713.0,2684.0,2699.0,1150.0
2024-10-21 23:00:00,2700.0,2700.0,2681.0,2691.0,766.0
2024-10-22 23:00:00,2685.0,2715.0,2680.0,2683.0,725.0
2024-10-23 23:00:00,2685.0,2703.0,2674.0,2696.0,815.0
2024-10-24 23:00:00,2692.0,2755.0,2662.0,2707.0,3389.0
2024-10-25 23:00:00,2730.0,2761.0,2673.0,2690.0,4204.0
2024-10-28 23:00:00,2689.0,2710.0,2587.0,2655.0,5803.0
2024-10-29 23:00:00,2659.0,2770.0,2643.0,2737.0,5165.0
2024-10-30 23:00:00,2737.0,2749.0,2680.0,2735.0,1438.0
2024-10-31 23:00:00,2735.0,2735.0,2620.0,2656.0,4538.0
2024-11-01 23:00:00,2654.0,2695.0,2631.0,2685.0,1888.0
2024-11-02 23:00:00,2682.0,2705.0,2650.0,2694.0,1384.0
2024-11-05 23:00:00,2670.0,2731.0,2667.0,2701.0,2046.0
2024-11-06 23:00:00,2702.0,2842.0,2700.0,2744.0,5105.0
2024-11-07 23:00:00,2742.0,2794.0,2728.0,2794.0,688.0
2024-11-08 23:00:00,2796.0,3016.0,2781.0,2889.0,4357.0
2024-11-11 23:00:00,2900.0,2945.0,2866.0,2932.0,2258.0
2024-11-12 23:00:00,2921.0,2930.0,2865.0,2871.0,345.0
2024-11-13 23:00:00,2872.0,2872.0,2786.0,2799.0,1022.0
2024-11-14 23:00:00,2786.0,2796.0,2762.0,2778.0,606.0
2024-11-15 23:00:00,2764.0,2789.0,2752.0,2785.0,527.0
