<DATE>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
2024-07-04 23:00:00,2000.0,2000.0,1988.0,1988.0,2.0
2024-07-05 23:00:00,1957.0,1957.0,1957.0,1957.0,1.0
2024-07-08 23:00:00,1847.0,1995.0,1829.0,1936.0,79.0
2024-07-09 23:00:00,1908.0,1908.0,1810.0,1810.0,67.0
2024-07-10 23:00:00,1809.0,1809.0,1656.0,1697.0,253.0
2024-07-11 23:00:00,1700.0,1896.0,1700.0,1842.0,378.0
2024-07-12 23:00:00,1867.0,1867.0,1790.0,1790.0,21.0
2024-07-16 23:00:00,1761.0,1845.0,1761.0,1845.0,11.0
2024-07-17 23:00:00,1834.0,1849.0,1827.0,1844.0,11.0
2024-07-18 23:00:00,1862.0,1874.0,1818.0,1818.0,35.0
2024-07-19 23:00:00,1875.0,1902.0,1875.0,1902.0,40.0
2024-07-22 23:00:00,1900.0,1941.0,1888.0,1941.0,96.0
2024-07-23 23:00:00,1977.0,2013.0,1887.0,1941.0,66.0
2024-07-24 23:00:00,1981.0,1981.0,1981.0,1981.0,5.0
2024-07-26 23:00:00,1960.0,1979.0,1839.0,1881.0,42.0
2024-07-29 23:00:00,1812.0,1813.0,1812.0,1813.0,11.0
2024-07-30 23:00:00,1790.0,1803.0,1774.0,1799.0,27.0
2024-07-31 23:00:00,1812.0,1817.0,1746.0,1787.0,71.0
2024-08-01 23:00:00,1825.0,1845.0,1811.0,1817.0,38.0
2024-08-02 23:00:00,1778.0,1778.0,1630.0,1711.0,1122.0
2024-08-05 23:00:00,1699.0,1699.0,1550.0,1636.0,1029.0
2024-08-06 23:00:00,1634.0,1687.0,1585.0,1613.0,278.0
2024-08-07 23:00:00,1582.0,1633.0,1582.0,1602.0,53.0
2024-08-08 23:00:00,1632.0,1735.0,1590.0,1611.0,426.0
2024-08-09 23:00:00,1606.0,1606.0,1561.0,1561.0,74.0
2024-08-12 23:00:00,1562.0,1788.0,1561.0,1696.0,820.0
2024-08-13 23:00:00,1673.0,1697.0,1665.0,1665.0,280.0
2024-08-14 23:00:00,1685.0,1686.0,1664.0,1664.0,52.0
2024-08-15 23:00:00,1655.0,1659.0,1636.0,1636.0,30.0
2024-08-16 23:00:00,1653.0,1659.0,1628.0,1639.0,104.0
2024-08-19 23:00:00,1628.0,1639.0,1619.0,1639.0,133.0
2024-08-20 23:00:00,1639.0,1639.0,1596.0,1635.0,356.0
2024-08-21 23:00:00,1595.0,1640.0,1593.0,1639.0,65.0
2024-08-22 23:00:00,1604.0,1632.0,1550.0,1550.0,81.0
2024-08-23 23:00:00,1550.0,1574.0,1462.0,1549.0,669.0
2024-08-26 23:00:00,1555.0,1733.0,1530.0,1700.0,1890.0
2024-08-27 23:00:00,1706.0,1725.0,1624.0,1624.0,528.0
2024-08-28 23:00:00,1619.0,1688.0,1597.0,1627.0,227.0
2024-08-29 23:00:00,1685.0,1725.0,1608.0,1723.0,226.0
2024-08-30 23:00:00,1725.0,1753.0,1609.0,1699.0,86.0
2024-09-02 23:00:00,1609.0,1667.0,1571.0,1600.0,794.0
2024-09-03 23:00:00,1584.0,1657.0,1580.0,1604.0,385.0
2024-09-04 23:00:00,1577.0,1640.0,1574.0,1640.0,146.0
2024-09-05 23:00:00,1640.0,1705.0,1625.0,1652.0,215.0
2024-09-06 23:00:00,1632.0,1646.0,1538.0,1625.0,318.0
2024-09-09 23:00:00,1630.0,1650.0,1626.0,1630.0,533.0
2024-09-10 23:00:00,1641.0,1678.0,1620.0,1622.0,961.0
2024-09-11 23:00:00,1622.0,1630.0,1594.0,1615.0,1556.0
2024-09-12 23:00:00,1608.0,1615.0,1529.0,1581.0,2106.0
2024-09-13 23:00:00,1579.0,1594.0,1521.0,1590.0,4413.0
2024-09-16 23:00:00,1595.0,1633.0,1571.0,1633.0,1188.0
2024-09-17 23:00:00,1619.0,1660.0,1546.0,1640.0,3740.0
