<DATE>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
2023-09-28 23:00:00,107000.0,107000.0,107000.0,107000.0,1.0
2023-10-03 23:00:00,106000.0,106000.0,105800.0,105800.0,2.0
2023-10-04 23:00:00,106000.0,106500.0,106000.0,106500.0,2.0
2023-10-05 23:00:00,106700.0,106700.0,106690.0,106690.0,2.0
2023-10-06 23:00:00,105800.0,105800.0,105300.0,105300.0,6.0
2023-10-16 23:00:00,109180.0,109210.0,109180.0,109210.0,2.0
2023-10-17 23:00:00,109180.0,109180.0,108520.0,108520.0,5.0
2023-10-24 23:00:00,110610.0,110980.0,110610.0,110980.0,4.0
2023-10-31 23:00:00,109710.0,109710.0,107340.0,107600.0,10.0
2023-11-02 23:00:00,107500.0,107500.0,107500.0,107500.0,1.0
2023-11-08 23:00:00,108660.0,110000.0,108660.0,110000.0,2.0
2023-11-09 23:00:00,109860.0,109860.0,109860.0,109860.0,1.0
2023-11-13 23:00:00,109920.0,109920.0,109920.0,109920.0,1.0
2023-11-14 23:00:00,109570.0,109580.0,109570.0,109580.0,2.0
2023-11-15 23:00:00,112000.0,112000.0,112000.0,112000.0,1.0
2023-11-22 23:00:00,111910.0,111910.0,111900.0,111910.0,3.0
2023-11-23 23:00:00,110350.0,110350.0,110350.0,110350.0,8.0
2023-11-28 23:00:00,109760.0,109760.0,109760.0,109760.0,2.0
2023-11-29 23:00:00,111480.0,114050.0,109700.0,109700.0,5.0
2023-11-30 23:00:00,112330.0,112330.0,112330.0,112330.0,1.0
2023-12-04 23:00:00,109260.0,109260.0,109260.0,109260.0,11.0
2023-12-08 23:00:00,109050.0,109050.0,103700.0,109040.0,3.0
2023-12-13 23:00:00,108290.0,108290.0,108290.0,108290.0,1.0
2023-12-15 23:00:00,105690.0,105690.0,105690.0,105690.0,1.0
2023-12-18 23:00:00,108500.0,108910.0,108300.0,108910.0,3.0
2023-12-21 23:00:00,109290.0,109290.0,109290.0,109290.0,2.0
2023-12-25 23:00:00,113580.0,113920.0,108730.0,108730.0,5.0
2023-12-28 23:00:00,111010.0,111010.0,111010.0,111010.0,1.0
2023-12-29 23:00:00,111140.0,111140.0,111140.0,111140.0,1.0
2024-01-03 23:00:00,110060.0,110060.0,110060.0,110060.0,1.0
2024-01-09 23:00:00,112210.0,112210.0,112000.0,112210.0,4.0
2024-01-11 23:00:00,112480.0,112480.0,112480.0,112480.0,1.0
2024-01-12 23:00:00,114460.0,114460.0,114460.0,114460.0,1.0
2024-01-15 23:00:00,116270.0,117500.0,116270.0,117500.0,11.0
2024-01-16 23:00:00,114490.0,114490.0,113450.0,114320.0,13.0
2024-01-17 23:00:00,114310.0,114310.0,114310.0,114310.0,1.0
2024-01-29 23:00:00,111790.0,111790.0,110840.0,110840.0,5.0
2024-01-31 23:00:00,112840.0,112840.0,112840.0,112840.0,2.0
2024-02-01 23:00:00,112880.0,112880.0,112510.0,112510.0,2.0
