<DATE>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
2024-03-25 23:00:00,3551.0,3551.0,3506.0,3546.0,162.0
2024-03-26 23:00:00,3547.0,3657.0,3435.0,3587.0,196.0
2024-03-27 23:00:00,3614.0,3620.0,3452.0,3555.0,69.0
2024-03-29 23:00:00,3587.0,3656.0,3501.0,3502.0,30.0
2024-04-01 23:00:00,3649.0,3656.0,3649.0,3656.0,4.0
2024-04-02 23:00:00,3501.0,3665.0,3501.0,3665.0,24.0
2024-04-03 23:00:00,3660.0,3910.0,3601.0,3821.0,254.0
2024-04-04 23:00:00,3900.0,4235.0,3822.0,4233.0,185.0
2024-04-05 23:00:00,4200.0,4200.0,3953.0,4010.0,215.0
2024-04-08 23:00:00,4069.0,4230.0,3945.0,4230.0,194.0
2024-04-09 23:00:00,4229.0,4275.0,4084.0,4161.0,215.0
2024-04-10 23:00:00,4161.0,4293.0,4161.0,4293.0,63.0
2024-04-11 23:00:00,4344.0,4501.0,4244.0,4440.0,100.0
2024-04-12 23:00:00,4359.0,4694.0,4305.0,4514.0,804.0
2024-04-15 23:00:00,4600.0,4600.0,4394.0,4557.0,503.0
2024-04-16 23:00:00,4557.0,4557.0,4285.0,4298.0,837.0
2024-04-17 23:00:00,4370.0,4384.0,4250.0,4302.0,172.0
2024-04-18 23:00:00,4336.0,4342.0,4238.0,4275.0,174.0
2024-04-19 23:00:00,4330.0,4366.0,4293.0,4366.0,67.0
2024-04-22 23:00:00,4326.0,4431.0,4315.0,4415.0,197.0
2024-04-23 23:00:00,4399.0,4481.0,4370.0,4480.0,70.0
2024-04-24 23:00:00,4375.0,4750.0,4200.0,4368.0,3553.0
2024-04-25 23:00:00,4412.0,4575.0,4360.0,4545.0,247.0
2024-04-26 23:00:00,4573.0,4642.0,4487.0,4580.0,139.0
2024-04-27 23:00:00,4566.0,4566.0,4451.0,4529.0,248.0
2024-04-29 23:00:00,4543.0,4549.0,4525.0,4534.0,29.0
2024-04-30 23:00:00,4599.0,4599.0,4500.0,4506.0,48.0
2024-05-02 23:00:00,4505.0,4595.0,4356.0,4381.0,565.0
