<DATE>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
2024-12-20 23:00:00,1646.8,1647.0,1152.6,1502.2,252.0
2024-12-23 23:00:00,1478.0,1572.8,1300.0,1557.0,448.0
2024-12-24 23:00:00,1435.0,1549.8,1415.8,1511.0,69.0
2024-12-25 23:00:00,1490.8,1515.0,1441.4,1514.6,249.0
2024-12-26 23:00:00,1522.0,1542.4,1410.4,1505.6,345.0
2024-12-27 23:00:00,1505.6,1563.8,1460.0,1460.0,281.0
2024-12-28 23:00:00,1470.0,1498.8,1470.0,1485.4,57.0
2024-12-30 23:00:00,1494.8,1557.2,1469.8,1514.4,21.0
2025-01-03 23:00:00,1515.0,1537.0,1486.6,1486.6,4.0
2025-01-06 23:00:00,1494.8,1529.4,1472.4,1485.8,92.0
2025-01-08 23:00:00,1480.0,1498.6,1480.0,1498.6,3.0
2025-01-09 23:00:00,1490.0,1490.0,1484.0,1490.0,4.0
2025-01-10 23:00:00,1478.0,1491.6,1477.0,1477.0,15.0
2025-01-13 23:00:00,1493.2,1501.0,1493.2,1501.0,56.0
2025-01-14 23:00:00,1489.4,1489.4,1489.4,1489.4,3.0
2025-01-15 23:00:00,1499.2,1499.2,1477.8,1478.0,59.0
2025-01-16 23:00:00,1489.0,1530.4,1489.0,1500.4,75.0
2025-01-17 23:00:00,1513.8,1513.8,1510.0,1510.0,37.0
2025-01-20 23:00:00,1514.0,1531.8,1440.0,1498.0,184.0
2025-01-21 23:00:00,1494.4,1494.4,1469.2,1491.2,47.0
2025-01-22 23:00:00,1498.4,1498.4,1478.4,1490.0,24.0
2025-01-23 23:00:00,1481.8,1481.8,1446.6,1462.8,21.0
2025-01-24 23:00:00,1460.2,1473.0,1456.6,1473.0,36.0
2025-01-27 23:00:00,1466.0,1479.4,1466.0,1467.0,33.0
2025-01-28 23:00:00,1445.0,1545.8,1445.0,1488.0,506.0
2025-01-29 23:00:00,1502.2,1518.4,1482.8,1497.6,43.0
2025-01-30 23:00:00,1499.8,1500.2,1484.0,1484.0,143.0
2025-01-31 23:00:00,1502.4,1508.2,1486.2,1487.0,559.0
2025-02-03 23:00:00,1494.4,1494.4,1431.8,1461.6,523.0
2025-02-04 23:00:00,1472.8,1475.0,1446.6,1463.0,257.0
2025-02-05 23:00:00,1452.2,1463.0,1431.2,1445.0,155.0
2025-02-06 23:00:00,1467.4,1479.8,1449.2,1474.4,174.0
2025-02-07 23:00:00,1458.2,1471.0,1456.2,1456.2,66.0
2025-02-10 23:00:00,1468.8,1490.6,1461.0,1480.6,27.0
2025-02-11 23:00:00,1479.0,1504.0,1448.0,1485.0,45.0
2025-02-12 23:00:00,1495.0,1525.2,1483.0,1496.8,50.0
2025-02-13 23:00:00,1482.2,1575.8,1482.0,1575.0,358.0
2025-02-14 23:00:00,1574.8,1744.8,1551.6,1620.4,2685.0
2025-02-17 23:00:00,1618.4,1665.0,1582.6,1665.0,416.0
2025-02-18 23:00:00,1665.0,1701.0,1610.0,1678.2,354.0
2025-02-19 23:00:00,1672.0,1718.4,1635.0,1696.4,934.0
2025-02-20 23:00:00,1710.8,1805.8,1708.8,1759.4,1120.0
2025-02-21 23:00:00,1750.8,1795.4,1733.4,1764.6,391.0
2025-02-24 23:00:00,1774.0,1776.8,1739.8,1766.4,691.0
2025-02-25 23:00:00,1758.8,1788.2,1758.8,1767.0,482.0
2025-02-26 23:00:00,1761.8,1766.6,1723.8,1765.0,284.0
2025-02-27 23:00:00,1750.0,1765.6,1668.4,1715.8,1264.0
2025-02-28 23:00:00,1715.8,1721.2,1682.0,1721.2,745.0
2025-03-03 23:00:00,1705.8,1725.0,1655.6,1676.0,688.0
2025-03-04 23:00:00,1675.0,1789.4,1666.0,1758.4,766.0
2025-03-05 23:00:00,1756.8,1763.2,1734.4,1755.2,206.0
2025-03-06 23:00:00,1742.8,1762.2,1729.8,1744.0,456.0
2025-03-07 23:00:00,1747.8,1750.8,1679.0,1702.0,1041.0
2025-03-10 23:00:00,1700.2,1717.2,1659.2,1698.8,761.0
2025-03-11 23:00:00,1688.2,1708.4,1680.4,1706.8,216.0
2025-03-12 23:00:00,1685.2,1700.0,1669.8,1695.8,252.0
2025-03-13 23:00:00,1689.8,1691.0,1639.0,1676.4,1475.0
2025-03-14 23:00:00,1680.0,1700.0,1644.6,1694.8,3437.0
2025-03-17 23:00:00,1694.8,1721.0,1615.2,1675.8,10446.0
2025-03-18 23:00:00,1673.0,1696.0,1670.0,1683.4,4251.0
