<DATE>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
2024-12-06 23:00:00,6000.0,6000.0,6000.0,6000.0,2.0
2024-12-10 23:00:00,6372.0,6372.0,6372.0,6372.0,3.0
2024-12-16 23:00:00,6000.0,6000.0,6000.0,6000.0,7.0
2024-12-18 23:00:00,6089.0,6089.0,6068.0,6068.0,3.0
2024-12-19 23:00:00,5354.0,6205.0,5354.0,6205.0,7.0
2024-12-20 23:00:00,6104.0,6473.0,5949.0,6145.0,228.0
2024-12-23 23:00:00,6276.0,6381.0,6248.0,6381.0,12.0
2024-12-24 23:00:00,6595.0,6692.0,6573.0,6605.0,16.0
2024-12-25 23:00:00,6680.0,6725.0,6565.0,6689.0,17.0
2024-12-26 23:00:00,6689.0,6739.0,6689.0,6720.0,18.0
2024-12-27 23:00:00,6713.0,6713.0,6659.0,6659.0,3.0
2024-12-28 23:00:00,6751.0,6793.0,6751.0,6793.0,5.0
2024-12-30 23:00:00,6816.0,7291.0,6816.0,7240.0,163.0
2025-01-03 23:00:00,7237.0,7237.0,6741.0,6969.0,181.0
2025-01-06 23:00:00,6939.0,6978.0,6748.0,6749.0,275.0
2025-01-08 23:00:00,6741.0,6837.0,6741.0,6780.0,68.0
2025-01-09 23:00:00,6760.0,6777.0,6497.0,6497.0,263.0
2025-01-10 23:00:00,6483.0,6630.0,6061.0,6543.0,536.0
2025-01-13 23:00:00,6496.0,6520.0,6349.0,6386.0,419.0
2025-01-14 23:00:00,6379.0,6433.0,6257.0,6408.0,238.0
2025-01-15 23:00:00,6395.0,6517.0,6395.0,6411.0,160.0
2025-01-16 23:00:00,6451.0,6656.0,6451.0,6626.0,296.0
2025-01-17 23:00:00,6656.0,6698.0,6593.0,6612.0,242.0
2025-01-20 23:00:00,6650.0,6703.0,6609.0,6653.0,207.0
2025-01-21 23:00:00,6622.0,6684.0,6514.0,6669.0,67.0
2025-01-22 23:00:00,6674.0,6820.0,6631.0,6820.0,147.0
2025-01-23 23:00:00,6759.0,6770.0,6653.0,6681.0,35.0
2025-01-24 23:00:00,6729.0,6736.0,6641.0,6673.0,75.0
2025-01-27 23:00:00,6674.0,6674.0,6561.0,6600.0,120.0
2025-01-28 23:00:00,6557.0,6559.0,6557.0,6559.0,2.0
2025-01-29 23:00:00,6748.0,6760.0,6680.0,6680.0,94.0
2025-01-30 23:00:00,6726.0,6726.0,6726.0,6726.0,1.0
2025-01-31 23:00:00,6760.0,6879.0,6665.0,6665.0,59.0
2025-02-03 23:00:00,6680.0,6736.0,6644.0,6655.0,169.0
2025-02-04 23:00:00,6664.0,6740.0,6660.0,6667.0,47.0
2025-02-05 23:00:00,6632.0,6645.0,6563.0,6640.0,132.0
2025-02-06 23:00:00,6711.0,6756.0,6657.0,6676.0,262.0
2025-02-07 23:00:00,6680.0,6683.0,6556.0,6562.0,108.0
2025-02-10 23:00:00,6592.0,6635.0,6572.0,6589.0,411.0
2025-02-11 23:00:00,6610.0,6615.0,6477.0,6599.0,1009.0
2025-02-12 23:00:00,6615.0,6699.0,6615.0,6656.0,132.0
2025-02-13 23:00:00,6683.0,7239.0,6620.0,6823.0,1611.0
2025-02-14 23:00:00,6780.0,6981.0,6608.0,6683.0,750.0
2025-02-17 23:00:00,6679.0,6968.0,6600.0,6900.0,1303.0
2025-02-18 23:00:00,6906.0,7025.0,6527.0,6903.0,2203.0
2025-02-19 23:00:00,6896.0,6995.0,6810.0,6934.0,360.0
2025-02-20 23:00:00,6916.0,7089.0,6888.0,7030.0,293.0
2025-02-21 23:00:00,7034.0,7173.0,6934.0,6977.0,326.0
2025-02-24 23:00:00,6991.0,7097.0,6924.0,6992.0,673.0
2025-02-25 23:00:00,6988.0,7142.0,6971.0,7071.0,408.0
2025-02-26 23:00:00,7105.0,7163.0,6924.0,7055.0,366.0
2025-02-27 23:00:00,6957.0,6991.0,6764.0,6909.0,1064.0
2025-02-28 23:00:00,6831.0,6835.0,6650.0,6687.0,414.0
2025-03-03 23:00:00,6749.0,6863.0,6587.0,6672.0,759.0
2025-03-04 23:00:00,6630.0,6830.0,6623.0,6630.0,1293.0
2025-03-05 23:00:00,6696.0,6723.0,6620.0,6690.0,337.0
2025-03-06 23:00:00,6655.0,6680.0,6540.0,6556.0,681.0
2025-03-07 23:00:00,6552.0,6612.0,6489.0,6489.0,848.0
2025-03-10 23:00:00,6517.0,6578.0,6456.0,6476.0,326.0
2025-03-11 23:00:00,6484.0,6559.0,6388.0,6513.0,989.0
2025-03-12 23:00:00,6511.0,6540.0,6411.0,6456.0,555.0
2025-03-13 23:00:00,6460.0,6489.0,6364.0,6425.0,664.0
2025-03-14 23:00:00,6460.0,6522.0,6393.0,6469.0,1644.0
2025-03-17 23:00:00,6441.0,6661.0,6441.0,6610.0,2232.0
2025-03-18 23:00:00,6624.0,6748.0,6605.0,6676.0,11644.0
