<DATE>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
2024-03-20 23:00:00,1784.0,1784.0,1784.0,1784.0,1.0
2024-03-21 23:00:00,1828.0,1828.0,1828.0,1828.0,1.0
2024-03-22 23:00:00,1825.0,1825.0,1755.0,1791.0,75.0
2024-03-26 23:00:00,1790.0,1791.0,1758.0,1791.0,6.0
2024-03-27 23:00:00,1793.0,1838.0,1793.0,1820.0,74.0
2024-03-28 23:00:00,1820.0,1820.0,1820.0,1820.0,3.0
2024-03-29 23:00:00,1790.0,1801.0,1763.0,1771.0,5.0
2024-04-01 23:00:00,1800.0,1820.0,1795.0,1795.0,48.0
2024-04-02 23:00:00,1831.0,1831.0,1790.0,1790.0,3.0
2024-04-03 23:00:00,1791.0,1791.0,1765.0,1765.0,41.0
2024-04-04 23:00:00,1824.0,1824.0,1824.0,1824.0,2.0
2024-04-08 23:00:00,1809.0,1810.0,1809.0,1810.0,800.0
2024-04-09 23:00:00,1830.0,1830.0,1758.0,1796.0,304.0
2024-04-10 23:00:00,1766.0,1770.0,1731.0,1770.0,104.0
2024-04-11 23:00:00,1799.0,1799.0,1799.0,1799.0,2.0
2024-04-12 23:00:00,1708.0,1799.0,1708.0,1742.0,19.0
2024-04-15 23:00:00,1799.0,1800.0,1653.0,1770.0,1247.0
2024-04-16 23:00:00,1823.0,1823.0,1814.0,1814.0,3.0
2024-04-17 23:00:00,1721.0,1799.0,1721.0,1766.0,23.0
2024-04-18 23:00:00,1755.0,1755.0,1665.0,1731.0,15.0
2024-04-19 23:00:00,1779.0,1779.0,1773.0,1773.0,3.0
2024-04-22 23:00:00,1336.0,1769.0,1335.0,1769.0,6.0
2024-04-24 23:00:00,1744.0,1769.0,1744.0,1769.0,100.0
2024-04-25 23:00:00,1720.0,1735.0,1720.0,1735.0,14.0
2024-04-26 23:00:00,1751.0,1755.0,1751.0,1754.0,12.0
2024-04-27 23:00:00,1780.0,1859.0,1757.0,1810.0,15.0
2024-04-29 23:00:00,1809.0,1894.0,1809.0,1894.0,8.0
2024-04-30 23:00:00,1978.0,1979.0,1903.0,1911.0,33.0
2024-05-02 23:00:00,1911.0,1959.0,1850.0,1900.0,216.0
2024-05-03 23:00:00,1910.0,1910.0,1860.0,1909.0,22.0
2024-05-06 23:00:00,1877.0,2209.0,1814.0,1951.0,89.0
2024-05-07 23:00:00,1955.0,1970.0,1901.0,1970.0,6.0
2024-05-08 23:00:00,1953.0,1976.0,1941.0,1975.0,63.0
2024-05-10 23:00:00,1934.0,2014.0,1761.0,1965.0,61.0
2024-05-13 23:00:00,1979.0,2108.0,1914.0,2036.0,138.0
2024-05-14 23:00:00,2054.0,2054.0,2008.0,2008.0,62.0
2024-05-15 23:00:00,2008.0,2008.0,1946.0,1948.0,200.0
2024-05-16 23:00:00,2009.0,2122.0,1962.0,2000.0,164.0
2024-05-17 23:00:00,1980.0,2075.0,1861.0,1908.0,1188.0
2024-05-20 23:00:00,1940.0,1968.0,1883.0,1950.0,163.0
2024-05-21 23:00:00,1949.0,1974.0,1947.0,1947.0,108.0
2024-05-22 23:00:00,1968.0,1968.0,1920.0,1920.0,174.0
2024-05-23 23:00:00,1920.0,1920.0,1840.0,1854.0,8.0
2024-05-24 23:00:00,1908.0,1908.0,1819.0,1850.0,66.0
2024-05-27 23:00:00,1850.0,1850.0,1737.0,1842.0,60.0
2024-05-28 23:00:00,1802.0,1960.0,1802.0,1816.0,73.0
2024-05-29 23:00:00,1827.0,1871.0,1807.0,1833.0,273.0
2024-05-30 23:00:00,1844.0,1958.0,1813.0,1813.0,456.0
2024-05-31 23:00:00,1824.0,1833.0,1772.0,1772.0,344.0
2024-06-03 23:00:00,1746.0,1780.0,1713.0,1751.0,403.0
2024-06-04 23:00:00,1759.0,1843.0,1755.0,1819.0,335.0
2024-06-05 23:00:00,1834.0,1844.0,1811.0,1829.0,76.0
2024-06-06 23:00:00,1799.0,1799.0,1792.0,1797.0,206.0
2024-06-07 23:00:00,1821.0,1851.0,1761.0,1821.0,135.0
2024-06-10 23:00:00,1822.0,1853.0,1822.0,1824.0,571.0
2024-06-11 23:00:00,1814.0,1820.0,1781.0,1787.0,58.0
2024-06-13 23:00:00,1790.0,1830.0,1689.0,1817.0,258.0
2024-06-14 23:00:00,1783.0,1826.0,1783.0,1793.0,57.0
2024-06-17 23:00:00,1793.0,1812.0,1760.0,1761.0,2366.0
2024-06-18 23:00:00,1762.0,1762.0,1706.0,1706.0,549.0
2024-06-19 23:00:00,1705.0,1731.0,1659.0,1663.0,2155.0
2024-06-20 23:00:00,1653.0,1715.0,1651.0,1703.0,2183.0
2024-06-21 23:00:00,1724.0,1761.0,1674.0,1674.0,1688.0
2024-06-24 23:00:00,1684.0,1704.0,1625.0,1629.0,1374.0
2024-06-25 23:00:00,1614.0,1649.0,1575.0,1588.0,1580.0
