<DATE>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
2024-12-23 23:00:00,5435.0,5439.0,5387.0,5387.0,20.0
2024-12-25 23:00:00,5375.5,5375.5,4940.2,4940.2,2.0
2024-12-28 23:00:00,4970.2,4970.2,4970.2,4970.2,1.0
2025-01-03 23:00:00,5256.9,5256.9,5256.9,5256.9,2.0
2025-01-06 23:00:00,5067.0,5150.0,5067.0,5150.0,3.0
2025-01-08 23:00:00,5070.8,5070.8,5070.8,5070.8,1.0
2025-01-09 23:00:00,5296.5,5296.5,5010.9,5010.9,3.0
2025-01-10 23:00:00,5001.0,5001.0,5001.0,5001.0,1.0
2025-01-13 23:00:00,4901.0,4901.0,4736.9,4736.9,19.0
2025-01-14 23:00:00,4901.0,5199.7,4901.0,5100.0,5.0
2025-01-16 23:00:00,5071.0,5071.0,5071.0,5071.0,1.0
2025-01-17 23:00:00,5299.0,5299.0,5299.0,5299.0,2.0
2025-01-20 23:00:00,5201.0,5201.0,5201.0,5201.0,1.0
2025-01-21 23:00:00,5250.0,5250.0,5151.0,5151.0,6.0
2025-01-22 23:00:00,5201.0,5201.0,5201.0,5201.0,1.0
2025-01-23 23:00:00,5201.0,5201.0,5201.0,5201.0,1.0
2025-01-24 23:00:00,5299.0,5390.0,5151.0,5201.0,42.0
2025-01-27 23:00:00,5201.0,5201.0,5072.0,5072.0,7.0
2025-01-28 23:00:00,5151.0,5299.9,5151.0,5299.9,4.0
2025-01-29 23:00:00,5259.8,5260.0,5259.8,5260.0,6.0
2025-01-31 23:00:00,5260.0,5260.0,5260.0,5260.0,1.0
2025-02-03 23:00:00,5220.1,5238.9,5210.0,5238.9,9.0
2025-02-04 23:00:00,5201.1,5201.1,5201.0,5201.0,2.0
2025-02-05 23:00:00,5200.0,5200.0,5200.0,5200.0,1.0
2025-02-07 23:00:00,5300.0,5300.0,5300.0,5300.0,1.0
2025-02-12 23:00:00,5300.0,5380.0,5300.0,5380.0,10.0
2025-02-13 23:00:00,5410.0,5646.9,5320.3,5320.3,8.0
2025-02-14 23:00:00,5450.0,5550.0,5390.0,5390.0,18.0
2025-02-17 23:00:00,5380.1,5550.0,5380.1,5450.1,10.0
2025-02-18 23:00:00,5599.9,5599.9,5599.9,5599.9,1.0
2025-02-19 23:00:00,5550.0,5599.9,5470.0,5599.9,15.0
2025-02-20 23:00:00,5549.9,5598.9,5549.9,5598.9,7.0
2025-02-21 23:00:00,5598.9,5599.9,5590.0,5590.0,4.0
2025-02-24 23:00:00,5470.1,5578.9,5450.0,5578.9,12.0
2025-02-25 23:00:00,5598.9,5598.9,5598.9,5598.9,1.0
2025-02-28 23:00:00,5470.1,5589.9,5350.1,5400.0,15.0
2025-03-03 23:00:00,5529.8,5529.8,5400.0,5400.1,10.0
2025-03-04 23:00:00,5549.9,5549.9,5400.1,5400.1,3.0
2025-03-05 23:00:00,5539.9,5539.9,5539.9,5539.9,2.0
2025-03-06 23:00:00,5401.1,5401.1,5401.0,5401.0,3.0
2025-03-07 23:00:00,5400.0,5429.9,5156.1,5399.9,55.0
2025-03-10 23:00:00,5300.0,5350.0,5300.0,5325.0,13.0
2025-03-11 23:00:00,5399.3,5399.3,5205.0,5205.0,9.0
2025-03-13 23:00:00,5320.0,5320.0,5320.0,5320.0,1.0
2025-03-14 23:00:00,5379.7,5380.0,5250.1,5250.1,9.0
2025-03-17 23:00:00,5320.0,5389.9,5260.0,5389.9,7.0
2025-03-18 23:00:00,5399.9,5400.0,5300.0,5300.0,14.0
2025-03-20 23:00:00,5299.0,5580.3,5267.1,5267.1,76.0
2025-03-21 23:00:00,5270.4,5533.6,5270.4,5307.7,17.0
2025-03-24 23:00:00,5504.7,5891.3,5327.7,5374.9,219.0
2025-03-27 23:00:00,5410.1,5410.6,5410.1,5410.6,4.0
2025-03-28 23:00:00,5499.9,5499.9,5449.9,5450.0,7.0
2025-03-31 23:00:00,5410.7,5410.7,5217.1,5217.1,48.0
2025-04-01 23:00:00,5152.6,5489.9,5152.6,5187.0,14.0
2025-04-02 23:00:00,5187.1,5390.0,5177.0,5177.0,18.0
2025-04-03 23:00:00,5177.0,5177.0,5067.8,5117.0,24.0
2025-04-04 23:00:00,5111.1,5189.9,4700.0,4707.1,181.0
