<DATE>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
2023-09-18 23:00:00,97243.0,98907.0,96120.0,96131.0,105.0
2023-09-19 23:00:00,96757.0,97994.0,96050.0,97500.0,136.0
2023-09-20 23:00:00,96973.0,98500.0,96293.0,96320.0,138.0
2023-09-21 23:00:00,96300.0,96450.0,95655.0,96100.0,176.0
2023-09-22 23:00:00,96100.0,96431.0,95510.0,96211.0,84.0
2023-09-25 23:00:00,96398.0,96740.0,96300.0,96543.0,47.0
2023-09-26 23:00:00,96622.0,96791.0,96300.0,96589.0,13.0
2023-09-27 23:00:00,96700.0,97006.0,96596.0,96701.0,98.0
2023-09-28 23:00:00,96998.0,97714.0,96773.0,97481.0,79.0
2023-09-29 23:00:00,97448.0,99000.0,97401.0,98713.0,103.0
2023-10-02 23:00:00,98920.0,100995.0,98402.0,100347.0,208.0
2023-10-03 23:00:00,100994.0,100995.0,99565.0,99875.0,237.0
2023-10-04 23:00:00,100196.0,100698.0,99874.0,100496.0,79.0
2023-10-05 23:00:00,100749.0,101700.0,100431.0,101121.0,65.0
2023-10-06 23:00:00,101736.0,102910.0,101261.0,102064.0,124.0
2023-10-09 23:00:00,101531.0,103973.0,101327.0,101750.0,148.0
2023-10-10 23:00:00,101575.0,102949.0,101050.0,102431.0,101.0
2023-10-11 23:00:00,103096.0,103244.0,102200.0,102578.0,43.0
2023-10-12 23:00:00,102547.0,102547.0,99000.0,101200.0,288.0
2023-10-13 23:00:00,101199.0,101299.0,100324.0,100324.0,64.0
2023-10-16 23:00:00,100317.0,100900.0,100305.0,100342.0,64.0
2023-10-17 23:00:00,100341.0,100804.0,100150.0,100582.0,30.0
2023-10-18 23:00:00,100999.0,100999.0,100221.0,100221.0,16.0
2023-10-19 23:00:00,100999.0,101969.0,100220.0,100230.0,60.0
2023-10-20 23:00:00,100219.0,100299.0,99066.0,99066.0,104.0
2023-10-23 23:00:00,99066.0,99170.0,98488.0,98610.0,51.0
2023-10-24 23:00:00,98425.0,99349.0,97860.0,97860.0,105.0
2023-10-25 23:00:00,97585.0,98200.0,97040.0,97435.0,73.0
2023-10-26 23:00:00,97538.0,98150.0,97150.0,97939.0,72.0
2023-10-27 23:00:00,98000.0,98657.0,97173.0,98600.0,147.0
2023-10-30 23:00:00,98657.0,98657.0,98002.0,98071.0,41.0
