<DATE>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
2024-01-18 23:00:00,143.49,143.5,143.49,143.5,3.0
2024-01-30 23:00:00,137.59,137.59,137.58,137.58,2.0
2024-02-05 23:00:00,143.37,145.64,143.0,143.0,11.0
2024-02-09 23:00:00,143.62,143.62,143.62,143.62,1.0
2024-02-12 23:00:00,142.02,142.02,142.02,142.02,2.0
2024-02-13 23:00:00,144.99,145.0,144.99,145.0,2.0
2024-02-15 23:00:00,143.91,146.95,143.91,144.62,3.0
2024-02-16 23:00:00,145.65,146.95,145.65,146.95,3.0
2024-02-20 23:00:00,148.97,148.99,145.57,148.99,5.0
2024-03-04 23:00:00,146.51,146.51,146.16,146.16,2.0
2024-03-06 23:00:00,146.99,146.99,146.99,146.99,1.0
2024-03-07 23:00:00,144.5,144.5,144.21,144.21,3.0
2024-03-11 23:00:00,144.1,144.2,144.1,144.2,2.0
2024-03-12 23:00:00,144.2,144.2,143.86,143.86,3.0
2024-03-13 23:00:00,144.7,144.7,144.7,144.7,1.0
2024-03-14 23:00:00,144.16,144.16,144.16,144.16,3.0
2024-03-15 23:00:00,145.5,146.0,145.0,145.7,21.0
2024-03-18 23:00:00,145.33,145.63,144.35,145.3,31.0
2024-03-19 23:00:00,145.3,148.99,144.71,147.37,127.0
2024-03-20 23:00:00,146.9,148.55,146.9,148.16,96.0
2024-03-21 23:00:00,148.2,149.39,147.59,149.08,162.0
2024-03-22 23:00:00,148.6,149.48,147.6,148.0,316.0
2024-03-25 23:00:00,147.71,148.23,147.45,148.23,22.0
2024-03-26 23:00:00,148.4,148.49,148.19,148.19,6.0
2024-03-27 23:00:00,148.42,149.12,147.58,147.8,23.0
2024-03-28 23:00:00,148.01,148.19,148.0,148.19,46.0
2024-03-29 23:00:00,148.02,148.19,148.0,148.07,30.0
2024-04-01 23:00:00,148.06,148.41,146.64,148.41,56.0
2024-04-02 23:00:00,148.5,148.57,148.13,148.13,24.0
2024-04-03 23:00:00,148.44,148.9,148.02,148.9,28.0
2024-04-04 23:00:00,148.5,149.0,148.5,148.52,30.0
2024-04-05 23:00:00,148.3,148.79,148.11,148.76,32.0
2024-04-08 23:00:00,148.8,148.94,148.74,148.74,20.0
2024-04-09 23:00:00,148.95,149.96,148.37,148.86,37.0
2024-04-10 23:00:00,149.01,150.0,149.01,150.0,53.0
2024-04-11 23:00:00,149.81,150.89,149.8,150.31,80.0
2024-04-12 23:00:00,150.39,151.11,150.14,150.4,63.0
2024-04-15 23:00:00,150.51,151.9,150.33,151.85,162.0
2024-04-16 23:00:00,151.53,151.94,151.35,151.69,23.0
2024-04-17 23:00:00,151.79,152.42,150.02,151.7,86.0
2024-04-18 23:00:00,151.68,151.68,150.31,151.5,70.0
2024-04-19 23:00:00,151.54,151.97,151.51,151.97,9.0
2024-04-22 23:00:00,151.93,152.9,151.8,152.9,34.0
2024-04-23 23:00:00,151.79,152.31,151.53,151.53,19.0
2024-04-24 23:00:00,151.74,152.14,151.6,151.99,18.0
2024-04-25 23:00:00,152.23,152.96,150.0,152.71,400.0
2024-04-26 23:00:00,152.6,154.96,152.6,154.4,577.0
2024-04-27 23:00:00,154.87,155.25,153.95,154.35,2698.0
2024-04-29 23:00:00,154.49,155.8,152.85,153.69,300.0
2024-04-30 23:00:00,153.71,154.7,153.37,154.38,93.0
2024-05-02 23:00:00,154.65,154.9,152.34,152.34,636.0
2024-05-03 23:00:00,152.3,152.3,150.21,151.19,875.0
2024-05-06 23:00:00,151.5,152.41,151.38,152.25,142.0
2024-05-07 23:00:00,152.28,152.98,152.28,152.71,49.0
2024-05-08 23:00:00,153.07,153.99,153.0,153.99,41.0
2024-05-10 23:00:00,153.89,154.5,153.8,154.49,118.0
2024-05-13 23:00:00,154.27,154.45,151.66,154.35,227.0
2024-05-14 23:00:00,154.37,155.24,154.36,154.85,85.0
2024-05-15 23:00:00,154.5,154.86,153.32,153.97,179.0
2024-05-16 23:00:00,153.77,154.4,152.97,154.3,808.0
2024-05-17 23:00:00,154.02,154.61,153.91,153.91,166.0
2024-05-20 23:00:00,154.61,154.94,154.24,154.5,43.0
2024-05-21 23:00:00,154.55,155.22,154.55,154.85,178.0
2024-05-22 23:00:00,154.6,155.97,154.6,155.41,59.0
2024-05-23 23:00:00,155.44,156.0,155.44,156.0,81.0
2024-05-24 23:00:00,156.0,156.1,153.14,155.8,118.0
2024-05-27 23:00:00,155.71,155.84,155.71,155.84,4.0
2024-05-28 23:00:00,156.1,156.53,155.8,155.97,107.0
2024-05-29 23:00:00,156.02,156.5,156.02,156.5,74.0
2024-05-30 23:00:00,156.41,156.95,155.63,156.0,20.0
2024-05-31 23:00:00,155.99,156.87,155.31,156.2,62.0
2024-06-03 23:00:00,155.89,156.79,155.43,156.0,115.0
2024-06-04 23:00:00,155.65,155.96,154.02,154.54,2629.0
2024-06-05 23:00:00,154.4,156.78,152.04,155.73,475.0
2024-06-06 23:00:00,155.4,155.92,155.4,155.92,27.0
2024-06-07 23:00:00,155.55,156.78,154.5,156.78,66.0
2024-06-10 23:00:00,155.92,156.9,154.0,156.4,79.0
2024-06-11 23:00:00,155.9,156.96,155.9,156.62,23.0
2024-06-13 23:00:00,156.8,157.3,155.59,156.28,107.0
2024-06-14 23:00:00,156.89,157.89,156.73,157.48,38.0
2024-06-17 23:00:00,157.44,157.85,157.2,157.79,13.0
2024-06-18 23:00:00,157.78,158.66,156.43,157.95,38.0
2024-06-19 23:00:00,157.11,158.87,156.5,157.99,102.0
2024-06-20 23:00:00,157.8,158.48,157.8,158.46,521.0
