<DATE>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
2024-07-17 23:00:00,10591.0,10591.0,10397.0,10397.0,25.0
2024-07-18 23:00:00,10403.0,10586.0,10380.0,10517.0,7.0
2024-07-19 23:00:00,10528.0,10838.0,10507.0,10507.0,122.0
2024-07-22 23:00:00,10688.0,10846.0,10658.0,10846.0,66.0
2024-07-23 23:00:00,10844.0,11414.0,10844.0,11166.0,85.0
2024-07-24 23:00:00,11237.0,11299.0,11180.0,11249.0,50.0
2024-07-25 23:00:00,11266.0,11266.0,10958.0,11030.0,78.0
2024-07-26 23:00:00,11105.0,11159.0,10727.0,10812.0,69.0
2024-07-29 23:00:00,10832.0,10905.0,10365.0,10438.0,139.0
2024-07-30 23:00:00,10429.0,11025.0,10365.0,11016.0,871.0
2024-07-31 23:00:00,11030.0,11095.0,10802.0,10863.0,461.0
2024-08-01 23:00:00,10884.0,11025.0,10884.0,11020.0,103.0
2024-08-02 23:00:00,10951.0,10989.0,10800.0,10929.0,164.0
2024-08-05 23:00:00,10822.0,10822.0,10559.0,10652.0,175.0
2024-08-06 23:00:00,10676.0,10834.0,10604.0,10699.0,136.0
2024-08-07 23:00:00,10719.0,10950.0,10609.0,10905.0,129.0
2024-08-08 23:00:00,10959.0,11008.0,10800.0,10800.0,91.0
2024-08-09 23:00:00,10788.0,10825.0,10758.0,10767.0,139.0
2024-08-12 23:00:00,10753.0,10922.0,10736.0,10853.0,170.0
2024-08-13 23:00:00,10878.0,11159.0,10864.0,11130.0,165.0
2024-08-14 23:00:00,11150.0,11442.0,10901.0,10901.0,642.0
2024-08-15 23:00:00,11058.0,11200.0,10168.0,10991.0,839.0
2024-08-16 23:00:00,10983.0,11000.0,10924.0,10925.0,85.0
2024-08-19 23:00:00,10828.0,10944.0,10800.0,10940.0,137.0
2024-08-20 23:00:00,10830.0,11208.0,10805.0,10973.0,343.0
2024-08-21 23:00:00,10951.0,11029.0,10929.0,11000.0,156.0
2024-08-22 23:00:00,10990.0,11111.0,10773.0,10800.0,790.0
2024-08-23 23:00:00,10775.0,10821.0,10463.0,10500.0,965.0
2024-08-26 23:00:00,10429.0,10970.0,10429.0,10883.0,251.0
2024-08-27 23:00:00,10924.0,10979.0,10752.0,10772.0,106.0
2024-08-28 23:00:00,10745.0,10745.0,10504.0,10699.0,289.0
2024-08-29 23:00:00,10699.0,10777.0,10516.0,10580.0,374.0
2024-08-30 23:00:00,10619.0,10654.0,10154.0,10194.0,549.0
2024-09-02 23:00:00,10229.0,10251.0,9617.0,9617.0,666.0
2024-09-03 23:00:00,9568.0,9843.0,9390.0,9413.0,399.0
2024-09-04 23:00:00,9417.0,9807.0,9417.0,9789.0,290.0
2024-09-05 23:00:00,9791.0,9958.0,9700.0,9706.0,455.0
2024-09-06 23:00:00,9683.0,9712.0,9551.0,9610.0,548.0
2024-09-09 23:00:00,9627.0,9878.0,9627.0,9878.0,216.0
2024-09-10 23:00:00,9881.0,10000.0,9800.0,9805.0,238.0
2024-09-11 23:00:00,9748.0,9807.0,9663.0,9788.0,97.0
2024-09-12 23:00:00,9634.0,9634.0,9330.0,9397.0,449.0
2024-09-13 23:00:00,9393.0,9536.0,9200.0,9504.0,413.0
2024-09-16 23:00:00,9501.0,9786.0,9499.0,9650.0,371.0
2024-09-17 23:00:00,9660.0,9762.0,9600.0,9756.0,123.0
2024-09-18 23:00:00,9741.0,9900.0,9699.0,9725.0,182.0
2024-09-19 23:00:00,9708.0,9750.0,9540.0,9601.0,192.0
2024-09-20 23:00:00,9646.0,9755.0,9646.0,9680.0,32.0
2024-09-23 23:00:00,9650.0,10024.0,9637.0,9950.0,273.0
2024-09-24 23:00:00,9960.0,10017.0,9797.0,9922.0,291.0
2024-09-25 23:00:00,9921.0,10180.0,9854.0,9886.0,266.0
2024-09-26 23:00:00,9812.0,9900.0,9706.0,9770.0,641.0
2024-09-27 23:00:00,9753.0,9877.0,9750.0,9824.0,194.0
2024-09-30 23:00:00,9833.0,9889.0,9701.0,9758.0,388.0
2024-10-01 23:00:00,9700.0,9736.0,9394.0,9470.0,557.0
2024-10-02 23:00:00,9437.0,9535.0,9307.0,9329.0,411.0
2024-10-03 23:00:00,9300.0,9467.0,9201.0,9371.0,886.0
2024-10-04 23:00:00,9391.0,9467.0,9357.0,9374.0,248.0
2024-10-07 23:00:00,9374.0,9386.0,9272.0,9320.0,137.0
2024-10-08 23:00:00,9320.0,9345.0,9236.0,9286.0,444.0
2024-10-09 23:00:00,9260.0,9326.0,9211.0,9230.0,898.0
2024-10-10 23:00:00,9270.0,9641.0,9260.0,9321.0,1886.0
2024-10-11 23:00:00,9336.0,9348.0,9209.0,9275.0,218.0
2024-10-14 23:00:00,9262.0,9357.0,9132.0,9301.0,1087.0
2024-10-15 23:00:00,9303.0,9385.0,9285.0,9351.0,498.0
