<DATE>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
2024-04-01 23:00:00,19890.0,19890.0,19880.0,19880.0,6.0
2024-04-03 23:00:00,18970.0,18970.0,18970.0,18970.0,1.0
2024-04-04 23:00:00,18970.0,18980.0,18970.0,18970.0,3.0
2024-04-05 23:00:00,18960.0,18960.0,18680.0,18680.0,235.0
2024-04-08 23:00:00,18650.0,18650.0,18650.0,18650.0,2.0
2024-04-10 23:00:00,16770.0,16790.0,16330.0,16790.0,12.0
2024-04-11 23:00:00,16890.0,16890.0,16300.0,16300.0,2.0
2024-04-12 23:00:00,16880.0,17250.0,16880.0,17250.0,2.0
2024-04-15 23:00:00,17260.0,17260.0,17260.0,17260.0,1.0
2024-04-16 23:00:00,16870.0,16900.0,16870.0,16900.0,6.0
2024-04-19 23:00:00,16550.0,16550.0,16520.0,16520.0,5.0
2024-04-22 23:00:00,16900.0,16900.0,16900.0,16900.0,34.0
2024-04-23 23:00:00,16980.0,16980.0,16980.0,16980.0,1.0
2024-04-25 23:00:00,17460.0,17460.0,17380.0,17380.0,201.0
2024-04-26 23:00:00,17800.0,17800.0,17450.0,17450.0,2.0
2024-05-07 23:00:00,17860.0,17880.0,17860.0,17880.0,5.0
2024-05-08 23:00:00,17880.0,17880.0,17880.0,17880.0,2.0
2024-05-13 23:00:00,18880.0,19630.0,17810.0,18360.0,9.0
2024-05-14 23:00:00,18900.0,19140.0,18440.0,19140.0,18.0
2024-05-15 23:00:00,19000.0,20220.0,18720.0,20220.0,19.0
2024-05-16 23:00:00,19160.0,19620.0,19160.0,19620.0,5.0
2024-05-17 23:00:00,19750.0,19750.0,19750.0,19750.0,1.0
2024-05-20 23:00:00,19790.0,19790.0,19790.0,19790.0,1.0
2024-05-21 23:00:00,20380.0,20380.0,18720.0,18720.0,210.0
2024-05-22 23:00:00,19660.0,19660.0,18720.0,18720.0,4.0
2024-05-23 23:00:00,18720.0,18720.0,18710.0,18710.0,3.0
2024-05-24 23:00:00,19630.0,19670.0,19240.0,19260.0,10.0
2024-05-27 23:00:00,18880.0,18880.0,18880.0,18880.0,1.0
2024-05-28 23:00:00,19590.0,19590.0,19310.0,19410.0,247.0
2024-05-29 23:00:00,19590.0,19990.0,19560.0,19990.0,70.0
2024-05-30 23:00:00,19850.0,19900.0,19810.0,19880.0,209.0
2024-05-31 23:00:00,19880.0,19890.0,18880.0,18990.0,12.0
2024-06-03 23:00:00,18050.0,18490.0,17800.0,18000.0,175.0
2024-06-04 23:00:00,17400.0,17400.0,17050.0,17340.0,121.0
2024-06-05 23:00:00,17350.0,17400.0,17350.0,17400.0,54.0
2024-06-06 23:00:00,16900.0,16900.0,16880.0,16880.0,56.0
2024-06-07 23:00:00,17090.0,17110.0,16610.0,16610.0,8.0
2024-06-10 23:00:00,16750.0,16750.0,16750.0,16750.0,2.0
2024-06-11 23:00:00,16760.0,16760.0,16210.0,16210.0,3.0
2024-06-13 23:00:00,16750.0,17650.0,16520.0,17650.0,209.0
2024-06-14 23:00:00,18230.0,18580.0,16590.0,17570.0,42.0
2024-06-17 23:00:00,17430.0,17430.0,17390.0,17390.0,36.0
2024-06-18 23:00:00,17350.0,17350.0,17340.0,17340.0,201.0
2024-06-19 23:00:00,16870.0,16870.0,16840.0,16840.0,3.0
2024-06-20 23:00:00,17140.0,17140.0,17140.0,17140.0,1.0
2024-06-21 23:00:00,17040.0,17270.0,16760.0,16790.0,44.0
2024-06-24 23:00:00,17280.0,17280.0,16820.0,17280.0,3.0
2024-06-25 23:00:00,17000.0,17000.0,17000.0,17000.0,1.0
2024-06-27 23:00:00,16720.0,16720.0,16720.0,16720.0,1.0
2024-06-28 23:00:00,16580.0,16580.0,16580.0,16580.0,1.0
2024-07-01 23:00:00,16800.0,17410.0,16800.0,17410.0,3.0
2024-07-02 23:00:00,16760.0,17130.0,16760.0,17130.0,3.0
2024-07-04 23:00:00,17810.0,17810.0,17510.0,17510.0,3.0
2024-07-08 23:00:00,16770.0,16770.0,16760.0,16760.0,2.0
2024-07-09 23:00:00,16780.0,16780.0,16750.0,16750.0,4.0
2024-07-11 23:00:00,16310.0,16490.0,16250.0,16490.0,10.0
2024-07-12 23:00:00,16480.0,16930.0,16480.0,16560.0,403.0
2024-07-16 23:00:00,17560.0,17560.0,17560.0,17560.0,3.0
2024-07-19 23:00:00,16990.0,17760.0,16510.0,17760.0,12.0
2024-07-24 23:00:00,17650.0,17650.0,17650.0,17650.0,1.0
2024-07-29 23:00:00,17300.0,17300.0,17300.0,17300.0,2.0
2024-07-30 23:00:00,17640.0,17650.0,17630.0,17630.0,3.0
2024-08-01 23:00:00,17190.0,17580.0,17130.0,17130.0,24.0
2024-08-02 23:00:00,17600.0,17890.0,17400.0,17400.0,23.0
2024-08-05 23:00:00,17410.0,17420.0,17410.0,17420.0,2.0
2024-08-07 23:00:00,17540.0,17540.0,17540.0,17540.0,2.0
2024-08-08 23:00:00,17530.0,17530.0,17530.0,17530.0,1.0
2024-08-15 23:00:00,17670.0,17670.0,17540.0,17540.0,2.0
2024-08-16 23:00:00,17030.0,17030.0,17030.0,17030.0,1.0
2024-08-19 23:00:00,17380.0,17520.0,17270.0,17270.0,3.0
2024-08-22 23:00:00,17260.0,17260.0,17260.0,17260.0,1.0
2024-08-23 23:00:00,17260.0,17470.0,17260.0,17310.0,4.0
2024-08-27 23:00:00,17610.0,18470.0,17180.0,17460.0,11.0
2024-08-30 23:00:00,17280.0,17600.0,17130.0,17600.0,22.0
2024-09-05 23:00:00,17330.0,17900.0,17330.0,17900.0,19.0
2024-09-06 23:00:00,17350.0,17350.0,17350.0,17350.0,1.0
2024-09-16 23:00:00,17790.0,17790.0,17790.0,17790.0,4.0
2024-09-17 23:00:00,17800.0,17800.0,17800.0,17800.0,2.0
2024-09-19 23:00:00,17790.0,17800.0,17790.0,17800.0,13.0
2024-09-20 23:00:00,17800.0,17800.0,17400.0,17400.0,4.0
2024-09-24 23:00:00,17560.0,17560.0,17560.0,17560.0,1.0
2024-09-25 23:00:00,17850.0,17850.0,17850.0,17850.0,1.0
2024-09-27 23:00:00,17860.0,17860.0,17850.0,17850.0,7.0
2024-09-30 23:00:00,17860.0,17900.0,17800.0,17900.0,31.0
2024-10-01 23:00:00,17880.0,18250.0,17880.0,18250.0,60.0
2024-10-02 23:00:00,17800.0,19020.0,17760.0,18670.0,46.0
2024-10-03 23:00:00,18270.0,18270.0,18130.0,18170.0,30.0
2024-10-04 23:00:00,18190.0,18410.0,18150.0,18410.0,7.0
2024-10-07 23:00:00,18500.0,18640.0,18500.0,18640.0,8.0
2024-10-08 23:00:00,18650.0,18970.0,18650.0,18970.0,8.0
2024-10-09 23:00:00,18920.0,18950.0,18870.0,18870.0,3.0
2024-10-10 23:00:00,18800.0,18970.0,18760.0,18970.0,4.0
2024-10-11 23:00:00,18600.0,18960.0,18600.0,18960.0,13.0
2024-10-14 23:00:00,18860.0,18860.0,18860.0,18860.0,1.0
2024-10-15 23:00:00,18810.0,18810.0,18540.0,18740.0,4.0
2024-10-16 23:00:00,18660.0,18790.0,18660.0,18780.0,4.0
2024-10-17 23:00:00,18790.0,18800.0,18440.0,18440.0,12.0
2024-10-18 23:00:00,18360.0,18440.0,18250.0,18390.0,22.0
2024-10-21 23:00:00,18250.0,18250.0,18250.0,18250.0,3.0
2024-10-22 23:00:00,18000.0,18240.0,18000.0,18240.0,4.0
2024-10-23 23:00:00,18000.0,18000.0,17820.0,17820.0,5.0
2024-10-24 23:00:00,17900.0,17900.0,17650.0,17800.0,4.0
2024-10-25 23:00:00,17810.0,17890.0,17810.0,17890.0,3.0
2024-10-28 23:00:00,17800.0,18370.0,17800.0,18000.0,14.0
2024-10-29 23:00:00,18240.0,18550.0,18230.0,18270.0,25.0
2024-10-30 23:00:00,18440.0,18440.0,18040.0,18060.0,18.0
2024-10-31 23:00:00,18050.0,18530.0,18050.0,18500.0,6.0
2024-11-01 23:00:00,18470.0,18470.0,18110.0,18110.0,3.0
2024-11-02 23:00:00,18390.0,18410.0,18390.0,18390.0,4.0
2024-11-05 23:00:00,19030.0,19140.0,18180.0,18320.0,22.0
2024-11-06 23:00:00,18590.0,18590.0,18060.0,18080.0,24.0
2024-11-07 23:00:00,18170.0,18470.0,18170.0,18470.0,2.0
2024-11-08 23:00:00,18170.0,18170.0,18170.0,18170.0,1.0
2024-11-18 23:00:00,18090.0,18090.0,18090.0,18090.0,26.0
2024-11-22 23:00:00,18090.0,18110.0,17940.0,17980.0,9.0
2024-11-25 23:00:00,18350.0,18360.0,18240.0,18240.0,9.0
2024-11-26 23:00:00,18380.0,18430.0,18320.0,18430.0,4.0
2024-11-27 23:00:00,18430.0,18450.0,18430.0,18450.0,52.0
2024-11-28 23:00:00,18350.0,18400.0,18340.0,18400.0,3.0
2024-11-29 23:00:00,18440.0,18520.0,18400.0,18480.0,16.0
2024-12-02 23:00:00,18420.0,18530.0,18420.0,18530.0,5.0
2024-12-03 23:00:00,18520.0,18520.0,18270.0,18300.0,23.0
2024-12-04 23:00:00,18110.0,18150.0,17640.0,17750.0,56.0
2024-12-05 23:00:00,17980.0,18000.0,17800.0,17960.0,13.0
2024-12-06 23:00:00,17970.0,17970.0,17960.0,17960.0,21.0
2024-12-09 23:00:00,17960.0,17960.0,17840.0,17840.0,3.0
2024-12-10 23:00:00,18150.0,18380.0,18060.0,18170.0,35.0
2024-12-11 23:00:00,18350.0,18490.0,18250.0,18290.0,15.0
2024-12-12 23:00:00,18480.0,18580.0,18060.0,18520.0,147.0
2024-12-13 23:00:00,18570.0,18570.0,18370.0,18370.0,2.0
