<DATE>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
2023-09-18 23:00:00,2297.0,2400.0,2294.0,2294.0,62.0
2023-09-19 23:00:00,2229.0,2230.0,1480.0,2057.0,955.0
2023-09-20 23:00:00,2055.0,2300.0,2002.0,2091.0,813.0
2023-09-21 23:00:00,2100.0,2184.0,2061.0,2063.0,348.0
2023-09-22 23:00:00,2119.0,2153.0,2034.0,2126.0,234.0
2023-09-25 23:00:00,2148.0,2196.0,2096.0,2114.0,237.0
2023-09-26 23:00:00,2120.0,2263.0,2093.0,2153.0,823.0
2023-09-27 23:00:00,2155.0,2186.0,2112.0,2137.0,317.0
2023-09-28 23:00:00,2164.0,2219.0,2141.0,2192.0,734.0
2023-09-29 23:00:00,2191.0,2200.0,2166.0,2174.0,473.0
2023-10-02 23:00:00,2193.0,2267.0,2143.0,2173.0,953.0
2023-10-03 23:00:00,2179.0,2183.0,2144.0,2144.0,178.0
2023-10-04 23:00:00,2150.0,2178.0,2136.0,2138.0,272.0
2023-10-05 23:00:00,2155.0,2155.0,2046.0,2080.0,271.0
2023-10-06 23:00:00,2070.0,2070.0,2033.0,2057.0,270.0
2023-10-09 23:00:00,2059.0,2157.0,2050.0,2135.0,557.0
2023-10-10 23:00:00,2136.0,2170.0,2136.0,2161.0,133.0
2023-10-11 23:00:00,2160.0,2205.0,2139.0,2172.0,667.0
2023-10-12 23:00:00,2179.0,2200.0,2088.0,2166.0,398.0
2023-10-13 23:00:00,2168.0,2173.0,2108.0,2152.0,322.0
2023-10-16 23:00:00,2113.0,2183.0,2064.0,2150.0,1209.0
2023-10-17 23:00:00,2159.0,2233.0,2140.0,2208.0,1562.0
2023-10-18 23:00:00,2216.0,2282.0,2156.0,2172.0,4563.0
2023-10-19 23:00:00,2176.0,2199.0,2154.0,2174.0,897.0
2023-10-20 23:00:00,2166.0,2190.0,2133.0,2133.0,916.0
2023-10-23 23:00:00,2138.0,2177.0,2099.0,2177.0,385.0
2023-10-24 23:00:00,2177.0,2177.0,2127.0,2127.0,203.0
2023-10-25 23:00:00,2141.0,2153.0,2130.0,2131.0,43.0
2023-10-26 23:00:00,2132.0,2136.0,2101.0,2104.0,187.0
2023-10-27 23:00:00,2102.0,2142.0,2080.0,2096.0,574.0
2023-10-30 23:00:00,2102.0,2138.0,2077.0,2081.0,642.0
2023-10-31 23:00:00,2136.0,2143.0,2061.0,2108.0,2249.0
2023-11-01 23:00:00,2109.0,2137.0,2080.0,2118.0,216.0
2023-11-02 23:00:00,2143.0,2143.0,2122.0,2122.0,37.0
2023-11-03 23:00:00,2139.0,2164.0,2075.0,2102.0,935.0
2023-11-06 23:00:00,2113.0,2149.0,2084.0,2149.0,199.0
2023-11-07 23:00:00,2144.0,2248.0,2119.0,2180.0,2794.0
2023-11-08 23:00:00,2183.0,2229.0,2180.0,2197.0,548.0
2023-11-09 23:00:00,2183.0,2224.0,2143.0,2143.0,428.0
2023-11-10 23:00:00,2152.0,2199.0,2150.0,2172.0,486.0
2023-11-13 23:00:00,2181.0,2235.0,2150.0,2228.0,978.0
2023-11-14 23:00:00,2230.0,2285.0,2183.0,2196.0,1958.0
2023-11-15 23:00:00,2194.0,2247.0,2183.0,2205.0,957.0
2023-11-16 23:00:00,2192.0,2352.0,2167.0,2206.0,1741.0
2023-11-17 23:00:00,2210.0,2275.0,2123.0,2234.0,1297.0
2023-11-20 23:00:00,2223.0,2270.0,2223.0,2228.0,253.0
2023-11-21 23:00:00,2249.0,2260.0,2228.0,2238.0,121.0
2023-11-22 23:00:00,2237.0,2332.0,2226.0,2303.0,2628.0
2023-11-23 23:00:00,2329.0,2355.0,2281.0,2322.0,2859.0
2023-11-24 23:00:00,2340.0,2440.0,2275.0,2342.0,3174.0
2023-11-27 23:00:00,2357.0,2430.0,2216.0,2245.0,3182.0
2023-11-28 23:00:00,2244.0,2285.0,2198.0,2248.0,1302.0
2023-11-29 23:00:00,2217.0,2271.0,2204.0,2235.0,1154.0
2023-11-30 23:00:00,2242.0,2242.0,2159.0,2170.0,848.0
2023-12-01 23:00:00,2162.0,2228.0,2071.0,2144.0,3407.0
2023-12-04 23:00:00,2135.0,2211.0,2065.0,2163.0,5725.0
2023-12-05 23:00:00,2182.0,2190.0,2060.0,2157.0,4196.0
2023-12-06 23:00:00,2146.0,2157.0,2079.0,2092.0,931.0
2023-12-07 23:00:00,2088.0,2115.0,2060.0,2111.0,769.0
2023-12-08 23:00:00,2121.0,2139.0,2102.0,2121.0,412.0
2023-12-11 23:00:00,2111.0,2115.0,2024.0,2072.0,1249.0
2023-12-12 23:00:00,2061.0,2090.0,2038.0,2066.0,291.0
2023-12-13 23:00:00,2065.0,2065.0,2028.0,2032.0,391.0
2023-12-14 23:00:00,2039.0,2039.0,1976.0,1976.0,1230.0
2023-12-15 23:00:00,1977.0,2035.0,1942.0,2012.0,1419.0
2023-12-18 23:00:00,2026.0,2090.0,2011.0,2090.0,746.0
2023-12-19 23:00:00,2100.0,2105.0,2069.0,2071.0,162.0
2023-12-20 23:00:00,2039.0,2150.0,2037.0,2112.0,1102.0
2023-12-21 23:00:00,2121.0,2134.0,2046.0,2067.0,651.0
