DATETIME,OPEN,HIGH,LOW,FINAL,VOLUME
2023-12-28 23:00:00,89.45,89.45,82.1,82.1,4.0
2024-01-03 23:00:00,83.53,83.53,83.53,83.53,3.0
2024-01-09 23:00:00,83.37,83.37,83.37,83.37,1.0
2024-01-10 23:00:00,83.71,84.31,83.71,84.31,6.0
2024-01-12 23:00:00,85.29,85.67,85.29,85.67,4.0
2024-01-15 23:00:00,84.43,85.3,81.03,82.35,19.0
2024-01-17 23:00:00,82.5,83.5,82.5,83.5,7.0
2024-01-18 23:00:00,84.25,84.25,84.25,84.25,1.0
2024-01-19 23:00:00,84.24,84.24,84.24,84.24,1.0
2024-01-24 23:00:00,84.5,84.5,84.5,84.5,1.0
2024-01-26 23:00:00,86.4,87.48,85.52,85.52,18.0
2024-01-29 23:00:00,86.92,86.93,86.92,86.93,2.0
2024-02-01 23:00:00,85.2,88.4,84.88,87.52,22.0
2024-02-02 23:00:00,84.02,84.02,83.51,83.51,2.0
2024-02-05 23:00:00,84.0,84.38,83.51,83.51,5.0
2024-02-06 23:00:00,85.02,85.02,85.02,85.02,1.0
2024-02-09 23:00:00,86.0,86.0,86.0,86.0,1.0
2024-02-12 23:00:00,85.6,85.6,85.6,85.6,2.0
2024-02-13 23:00:00,85.88,87.22,85.88,87.22,2.0
2024-02-22 23:00:00,87.0,87.0,87.0,87.0,1.0
2024-02-28 23:00:00,86.19,86.19,86.19,86.19,1.0
2024-03-01 23:00:00,87.61,87.61,87.61,87.61,1.0
2024-03-04 23:00:00,87.23,87.23,87.23,87.23,2.0
2024-03-11 23:00:00,85.84,85.84,85.84,85.84,1.0
2024-03-21 23:00:00,86.06,86.06,86.06,86.06,1.0
2024-03-27 23:00:00,86.55,86.55,86.55,86.55,1.0
2024-03-29 23:00:00,87.45,87.58,87.45,87.58,5.0
2024-04-01 23:00:00,87.57,87.57,87.57,87.57,1.0
2024-04-02 23:00:00,88.9,89.42,88.9,89.42,24.0
2024-04-03 23:00:00,88.78,90.01,88.78,90.01,2.0
2024-04-04 23:00:00,90.91,90.91,88.98,88.98,2.0
2024-04-05 23:00:00,92.75,92.75,89.03,91.25,7.0
2024-04-08 23:00:00,90.69,90.69,90.69,90.69,1.0
2024-04-09 23:00:00,90.07,90.07,90.07,90.07,1.0
2024-04-10 23:00:00,90.06,90.06,90.06,90.06,1.0
2024-04-11 23:00:00,91.67,92.44,91.33,91.33,12.0
2024-04-12 23:00:00,92.05,92.06,91.37,91.4,9.0
2024-04-15 23:00:00,91.4,91.4,91.4,91.4,1.0
2024-04-16 23:00:00,89.8,90.0,89.8,90.0,2.0
2024-04-17 23:00:00,91.24,92.28,91.24,92.28,3.0
2024-04-18 23:00:00,88.6,89.31,88.36,88.36,3.0
2024-04-19 23:00:00,87.72,88.7,87.72,87.92,3.0
2024-04-22 23:00:00,88.13,88.14,87.42,87.42,4.0
2024-04-23 23:00:00,87.5,87.5,85.92,85.92,3.0
2024-04-24 23:00:00,86.45,88.95,86.45,87.28,4.0
2024-04-25 23:00:00,87.87,87.87,87.86,87.86,2.0
2024-04-30 23:00:00,87.81,87.81,85.99,86.0,8.0
2024-05-02 23:00:00,84.08,84.41,84.08,84.41,2.0
2024-05-03 23:00:00,84.82,84.89,83.03,84.37,6.0
2024-05-08 23:00:00,83.94,83.94,83.29,83.29,4.0
2024-05-10 23:00:00,85.0,85.0,85.0,85.0,1.0
2024-05-15 23:00:00,82.85,82.85,82.85,82.85,1.0
2024-05-16 23:00:00,83.68,83.73,83.58,83.73,3.0
2024-05-17 23:00:00,83.99,83.99,83.99,83.99,1.0
2024-05-20 23:00:00,84.96,84.96,83.85,83.85,4.0
2024-05-21 23:00:00,84.0,84.55,83.48,84.55,4.0
2024-05-22 23:00:00,84.05,84.05,84.05,84.05,1.0
2024-05-24 23:00:00,83.2,83.2,83.2,83.2,1.0
2024-05-27 23:00:00,83.6,83.88,83.3,83.88,4.0
2024-05-29 23:00:00,85.1,85.1,85.05,85.05,2.0
2024-05-31 23:00:00,83.0,83.6,83.0,83.6,3.0
2024-06-03 23:00:00,82.5,82.5,81.34,82.04,8.0
2024-06-04 23:00:00,80.74,80.74,79.15,79.9,4.0
2024-06-05 23:00:00,79.22,79.82,79.03,79.82,6.0
2024-06-10 23:00:00,82.38,82.38,81.9,81.9,5.0
2024-06-11 23:00:00,81.46,81.46,81.46,81.46,1.0
2024-06-13 23:00:00,82.08,82.08,82.08,82.08,1.0
2024-06-14 23:00:00,84.22,84.22,83.11,83.11,2.0
2024-06-17 23:00:00,82.65,82.65,82.65,82.65,1.0
2024-06-18 23:00:00,83.47,83.47,83.47,83.47,2.0
2024-06-19 23:00:00,85.0,85.0,85.0,85.0,2.0
2024-06-20 23:00:00,84.48,84.48,84.45,84.45,2.0
2024-06-21 23:00:00,85.91,85.91,85.91,85.91,1.0
2024-06-26 23:00:00,84.2,84.38,84.2,84.38,2.0
2024-06-28 23:00:00,85.0,85.49,85.0,85.49,5.0
