DATETIME,OPEN,HIGH,LOW,FINAL,VOLUME
2023-04-05 23:00:00,1.1264,1.1264,1.1264,1.1264,1.0
2023-04-24 23:00:00,0.921,0.921,0.921,0.921,1.0
2023-05-02 23:00:00,1.0798,1.0798,1.0798,1.0798,1.0
2023-07-18 23:00:00,1.1081,1.1081,1.0418,1.0434,5.0
2023-07-26 23:00:00,1.1484,1.1484,1.1484,1.1484,2.0
2023-08-07 23:00:00,1.0599,1.0599,1.0599,1.0599,1.0
2023-08-14 23:00:00,1.2985,1.31,1.0502,1.1536,92.0
2023-08-15 23:00:00,1.1999,1.25,1.1678,1.1678,6.0
2023-08-16 23:00:00,1.1804,1.1804,1.1782,1.1782,12.0
2023-08-17 23:00:00,1.1559,1.1559,1.0339,1.0748,10.0
2023-08-18 23:00:00,1.1556,1.1556,1.1556,1.1556,2.0
2023-08-21 23:00:00,1.1557,1.1685,1.1555,1.1685,9.0
2023-08-22 23:00:00,1.1616,1.1616,1.1605,1.1605,3.0
2023-08-23 23:00:00,1.1252,1.1522,1.0449,1.1072,51.0
2023-08-24 23:00:00,1.1299,1.2395,1.0617,1.094,45.0
2023-08-25 23:00:00,1.1296,1.1349,1.1296,1.1333,7.0
2023-08-28 23:00:00,1.1399,1.1419,1.1276,1.1419,13.0
2023-08-31 23:00:00,1.1557,1.1557,1.1554,1.1554,2.0
2023-09-01 23:00:00,1.1495,1.16,1.149,1.16,7.0
2023-09-04 23:00:00,1.1286,1.1286,1.0639,1.0639,4.0
2023-09-06 23:00:00,1.164,1.1653,1.164,1.1653,4.0
2023-09-14 23:00:00,1.1896,1.1896,1.1896,1.1896,1.0
2023-09-15 23:00:00,1.1796,1.1833,1.1796,1.1833,2.0
2023-09-20 23:00:00,1.1321,1.1321,1.0892,1.0892,5.0
2023-09-25 23:00:00,1.1294,1.175,1.105,1.105,5.0
2023-09-28 23:00:00,1.1666,1.1666,1.1666,1.1666,1.0
2023-10-05 23:00:00,1.2137,1.2137,1.1564,1.1564,3.0
2023-10-06 23:00:00,1.1904,1.2244,1.1432,1.1432,4.0
2023-10-09 23:00:00,1.2236,1.2448,1.1713,1.1713,3.0
2023-10-10 23:00:00,1.204,1.204,1.1707,1.1707,2.0
2023-10-11 23:00:00,1.1913,1.1915,1.1913,1.1915,2.0
2023-10-18 23:00:00,1.1914,1.1914,1.1914,1.1914,1.0
2023-10-20 23:00:00,1.1884,1.1884,1.1884,1.1884,1.0
2023-10-23 23:00:00,1.1795,1.1795,1.1795,1.1795,1.0
2023-11-14 23:00:00,1.1344,1.1344,1.1249,1.1249,2.0
2023-11-15 23:00:00,1.1308,1.1308,1.1308,1.1308,1.0
2023-11-17 23:00:00,1.1633,1.1633,1.0977,1.0977,7.0
2023-11-22 23:00:00,1.0977,1.0977,1.0977,1.0977,1.0
2023-11-24 23:00:00,1.167,1.1754,1.1336,1.1382,82.0
2023-11-30 23:00:00,1.0994,1.0994,1.0994,1.0994,1.0
2023-12-01 23:00:00,1.1263,1.1263,1.1263,1.1263,1.0
2023-12-04 23:00:00,1.1429,1.1429,1.1429,1.1429,1.0
2023-12-06 23:00:00,1.1388,1.1388,1.1388,1.1388,1.0
2023-12-18 23:00:00,1.1383,1.1383,1.1383,1.1383,1.0
2023-12-19 23:00:00,1.1211,1.1211,1.0853,1.0853,155.0
2023-12-20 23:00:00,1.0952,1.1036,1.0952,1.1036,13.0
2023-12-21 23:00:00,1.0646,1.1147,1.0642,1.1147,7.0
2023-12-25 23:00:00,1.0656,1.0656,1.0655,1.0655,2.0
2023-12-26 23:00:00,1.1021,1.1021,1.1021,1.1021,1.0
2023-12-28 23:00:00,1.0954,1.0954,1.0954,1.0954,1.0
2024-01-04 23:00:00,1.201,1.201,1.0671,1.1036,9.0
2024-01-08 23:00:00,1.104,1.104,1.104,1.104,1.0
2024-01-16 23:00:00,1.067,1.067,1.067,1.067,1.0
2024-01-17 23:00:00,1.1792,1.1792,1.078,1.082,212.0
2024-01-18 23:00:00,1.085,1.085,1.0847,1.085,101.0
2024-01-19 23:00:00,1.087,1.087,1.078,1.079,202.0
2024-01-22 23:00:00,1.0794,1.0794,1.0704,1.0704,103.0
2024-01-23 23:00:00,1.0756,1.0762,1.0756,1.0762,2.0
2024-01-24 23:00:00,1.0791,1.0791,1.0791,1.0791,1.0
2024-01-25 23:00:00,1.0857,1.0857,1.0846,1.0846,2.0
2024-01-29 23:00:00,1.0912,1.0912,1.0912,1.0912,1.0
2024-02-05 23:00:00,1.1098,1.1098,1.1098,1.1098,10.0
2024-02-12 23:00:00,1.1021,1.1021,1.1021,1.1021,1.0
2024-02-22 23:00:00,1.12,1.1229,1.12,1.1229,26.0
2024-02-28 23:00:00,1.108,1.108,1.1078,1.1078,101.0
2024-02-29 23:00:00,1.108,1.108,1.108,1.108,1.0
2024-03-05 23:00:00,1.105,1.105,1.105,1.105,1.0
2024-03-14 23:00:00,1.109,1.109,1.109,1.109,100.0
2024-03-18 23:00:00,1.1076,1.1076,1.1076,1.1076,3.0
2024-03-19 23:00:00,1.1106,1.1165,1.1106,1.1165,72.0
2024-03-21 23:00:00,1.1379,1.1379,1.0254,1.0254,2.0
