DATETIME,OPEN,HIGH,LOW,FINAL,VOLUME
2023-08-23 23:00:00,2774.0,2900.0,2320.0,2320.0,46.0
2023-08-24 23:00:00,2599.0,2599.0,2292.0,2397.0,57.0
2023-08-25 23:00:00,2510.0,2510.0,2210.0,2356.0,38.0
2023-08-28 23:00:00,2356.0,2356.0,1900.0,2190.0,163.0
2023-08-29 23:00:00,1861.0,2240.0,1808.0,2237.0,395.0
2023-08-30 23:00:00,2028.0,2312.0,1844.0,1990.0,1270.0
2023-08-31 23:00:00,1988.0,1988.0,1777.0,1864.0,699.0
2023-09-01 23:00:00,1940.0,1950.0,1822.0,1950.0,488.0
2023-09-04 23:00:00,1949.0,2142.0,1949.0,2142.0,540.0
2023-09-05 23:00:00,2047.0,2140.0,1990.0,2131.0,330.0
2023-09-06 23:00:00,2045.0,2104.0,1970.0,2086.0,123.0
2023-09-07 23:00:00,1992.0,2283.0,1955.0,2075.0,211.0
2023-09-08 23:00:00,2000.0,2049.0,1930.0,2044.0,33.0
2023-09-11 23:00:00,1951.0,2150.0,1905.0,2090.0,486.0
2023-09-12 23:00:00,2006.0,2084.0,1999.0,2084.0,138.0
2023-09-13 23:00:00,2042.0,2115.0,2000.0,2093.0,235.0
2023-09-14 23:00:00,2092.0,2388.0,1966.0,2000.0,217.0
2023-09-15 23:00:00,1980.0,2147.0,1966.0,2076.0,110.0
2023-09-18 23:00:00,2078.0,2164.0,2010.0,2049.0,125.0
2023-09-19 23:00:00,2071.0,2071.0,1967.0,1995.0,132.0
2023-09-20 23:00:00,2000.0,2000.0,1936.0,1999.0,46.0
2023-09-21 23:00:00,1987.0,2002.0,1923.0,1996.0,44.0
2023-09-22 23:00:00,1992.0,2017.0,1885.0,2001.0,427.0
2023-09-25 23:00:00,1971.0,2007.0,1963.0,2001.0,108.0
2023-09-26 23:00:00,1981.0,2001.0,1970.0,1989.0,293.0
2023-09-27 23:00:00,1989.0,2016.0,1972.0,1991.0,157.0
2023-09-28 23:00:00,1976.0,2005.0,1937.0,1964.0,382.0
2023-09-29 23:00:00,1965.0,1983.0,1941.0,1983.0,45.0
2023-10-02 23:00:00,1960.0,1994.0,1941.0,1971.0,20.0
2023-10-03 23:00:00,1954.0,1955.0,1952.0,1955.0,8.0
2023-10-04 23:00:00,1960.0,1960.0,1916.0,1916.0,73.0
2023-10-05 23:00:00,1935.0,1935.0,1935.0,1935.0,1.0
2023-10-06 23:00:00,1929.0,1969.0,1929.0,1968.0,69.0
