DATETIME,OPEN,HIGH,LOW,FINAL,VOLUME
2023-06-23 23:00:00,3.848,3.848,3.538,3.833,5.0
2023-06-26 23:00:00,3.799,3.812,3.799,3.8,3.0
2023-06-27 23:00:00,3.799,3.799,3.731,3.79,45.0
2023-06-28 23:00:00,3.754,3.796,3.734,3.734,18.0
2023-06-29 23:00:00,3.721,3.771,3.662,3.771,18.0
2023-06-30 23:00:00,3.697,3.756,3.686,3.745,57.0
2023-07-03 23:00:00,3.751,3.785,3.7,3.7,22.0
2023-07-04 23:00:00,3.701,3.766,3.701,3.751,90.0
2023-07-05 23:00:00,3.763,3.795,3.735,3.736,19.0
2023-07-06 23:00:00,3.736,3.736,3.666,3.666,6.0
2023-07-07 23:00:00,3.74,3.74,3.734,3.734,2.0
2023-07-10 23:00:00,3.611,3.81,3.611,3.733,59.0
2023-07-11 23:00:00,3.738,3.75,3.7,3.743,155.0
2023-07-12 23:00:00,3.744,3.769,3.706,3.721,42.0
2023-07-13 23:00:00,3.707,3.798,3.671,3.781,77.0
2023-07-14 23:00:00,3.714,3.81,3.553,3.691,70.0
2023-07-17 23:00:00,3.68,3.728,3.68,3.696,74.0
2023-07-18 23:00:00,3.7,3.772,3.689,3.747,132.0
2023-07-19 23:00:00,3.747,3.747,3.69,3.738,50.0
2023-07-20 23:00:00,3.726,3.75,3.719,3.75,68.0
2023-07-21 23:00:00,3.753,3.76,3.731,3.758,170.0
2023-07-24 23:00:00,3.746,3.757,3.7,3.7,46.0
2023-07-25 23:00:00,3.728,3.734,3.7,3.734,30.0
2023-07-26 23:00:00,3.73,3.74,3.684,3.684,66.0
2023-07-27 23:00:00,3.7,3.719,3.666,3.67,127.0
2023-07-28 23:00:00,3.664,3.737,3.654,3.713,163.0
2023-07-31 23:00:00,3.709,3.73,3.642,3.696,197.0
2023-08-01 23:00:00,3.682,3.7,3.61,3.61,279.0
2023-08-02 23:00:00,3.62,3.647,3.555,3.566,178.0
2023-08-03 23:00:00,3.577,3.621,3.555,3.617,117.0
2023-08-04 23:00:00,3.625,3.643,3.6,3.622,159.0
2023-08-07 23:00:00,3.618,3.7,3.603,3.684,259.0
2023-08-08 23:00:00,3.7,3.744,3.653,3.711,381.0
