DATETIME,OPEN,HIGH,LOW,FINAL,VOLUME
2023-03-20 23:00:00,1086.7,1086.7,1086.7,1086.7,1.0
2023-04-10 23:00:00,1061.2,1061.2,1061.2,1061.2,1.0
2023-04-19 23:00:00,1111.1,1111.1,1111.1,1111.1,3.0
2023-04-20 23:00:00,1181.6,1181.6,1111.6,1111.6,2.0
2023-04-21 23:00:00,1130.0,1170.4,1120.0,1160.0,8.0
2023-04-24 23:00:00,1140.0,1162.9,1140.0,1162.9,3.0
2023-04-25 23:00:00,1121.0,1121.0,1121.0,1121.0,1.0
2023-04-26 23:00:00,1163.0,1184.0,1150.0,1150.0,12.0
2023-04-27 23:00:00,1160.0,1165.2,1150.0,1150.0,4.0
2023-04-28 23:00:00,1160.0,1174.6,1140.0,1155.0,20.0
2023-05-02 23:00:00,1155.0,1160.0,1131.4,1159.9,14.0
2023-05-03 23:00:00,1163.9,1163.9,1150.0,1150.0,7.0
2023-05-04 23:00:00,1136.1,1160.0,1136.1,1154.4,21.0
2023-05-05 23:00:00,1160.2,1217.0,1096.1,1124.1,24.0
2023-05-08 23:00:00,1129.4,1143.1,1129.4,1143.1,4.0
2023-05-10 23:00:00,1164.3,1180.0,1164.3,1174.0,27.0
2023-05-11 23:00:00,1188.3,1188.3,1160.2,1177.2,4.0
2023-05-12 23:00:00,1172.0,1172.0,1150.0,1150.0,2.0
2023-05-15 23:00:00,1123.1,1147.6,1123.1,1140.0,4.0
2023-05-16 23:00:00,1166.4,1166.9,1136.2,1136.2,4.0
2023-05-17 23:00:00,1145.0,1165.1,1145.0,1146.0,4.0
2023-05-18 23:00:00,1168.4,1168.4,1164.8,1164.8,2.0
2023-05-22 23:00:00,1134.2,1134.2,1129.7,1131.3,6.0
2023-05-23 23:00:00,1153.3,1153.3,1153.3,1153.3,1.0
2023-05-24 23:00:00,1120.4,1150.0,1093.6,1093.6,5.0
2023-05-25 23:00:00,1092.2,1092.2,1084.7,1084.9,6.0
2023-05-26 23:00:00,1126.2,1126.2,1126.2,1126.2,1.0
2023-05-29 23:00:00,1122.1,1122.1,1092.9,1092.9,4.0
2023-05-30 23:00:00,1093.0,1093.0,1093.0,1093.0,1.0
2023-05-31 23:00:00,1093.0,1093.0,1090.0,1092.0,5.0
2023-06-01 23:00:00,1100.0,1107.0,1100.0,1100.0,13.0
2023-06-02 23:00:00,1126.4,1126.4,1126.4,1126.4,1.0
2023-06-05 23:00:00,1099.9,1115.4,1099.0,1100.0,7.0
2023-06-06 23:00:00,1135.7,1137.9,1135.7,1137.9,2.0
2023-06-09 23:00:00,1117.5,1117.5,1088.5,1100.0,5.0
2023-06-13 23:00:00,1100.1,1100.1,1075.0,1082.8,21.0
2023-06-14 23:00:00,1083.0,1083.0,1069.9,1069.9,21.0
2023-06-15 23:00:00,1068.5,1073.0,1054.7,1065.9,39.0
2023-06-16 23:00:00,1066.9,1078.4,1064.0,1070.1,49.0
2023-06-19 23:00:00,1071.5,1073.0,1052.6,1059.9,117.0
2023-06-20 23:00:00,1056.3,1060.0,1041.0,1042.1,101.0
2023-06-21 23:00:00,1041.3,1044.7,1030.0,1033.0,63.0
2023-06-22 23:00:00,1033.0,1034.6,1011.8,1014.5,119.0
2023-06-23 23:00:00,1009.6,1012.9,1000.8,1005.6,112.0
2023-06-26 23:00:00,1000.9,1021.6,1000.8,1017.5,57.0
2023-06-27 23:00:00,1016.0,1018.6,1001.0,1004.5,100.0
2023-06-28 23:00:00,1007.4,1007.4,976.8,990.3,158.0
2023-06-29 23:00:00,993.6,996.8,967.0,971.9,157.0
2023-06-30 23:00:00,979.5,983.8,963.8,978.5,239.0
2023-07-03 23:00:00,977.3,980.1,965.6,977.1,90.0
2023-07-04 23:00:00,978.1,988.6,975.6,983.0,92.0
2023-07-05 23:00:00,983.1,987.8,979.3,987.0,20.0
2023-07-06 23:00:00,987.0,987.0,968.0,972.8,134.0
2023-07-07 23:00:00,973.2,981.5,970.4,977.3,72.0
2023-07-10 23:00:00,980.0,983.2,955.2,983.2,112.0
2023-07-11 23:00:00,985.5,998.0,985.5,990.9,401.0
2023-07-12 23:00:00,992.9,1015.3,992.9,1007.8,201.0
2023-07-13 23:00:00,1006.7,1031.2,1006.7,1027.9,71.0
2023-07-14 23:00:00,1028.0,1031.2,1015.0,1025.4,165.0
2023-07-17 23:00:00,1025.0,1026.6,1013.1,1026.6,101.0
2023-07-18 23:00:00,1028.1,1045.0,1025.0,1042.0,89.0
2023-07-19 23:00:00,1042.3,1043.5,1034.5,1036.2,52.0
2023-07-20 23:00:00,1036.1,1036.6,1019.8,1020.0,98.0
2023-07-21 23:00:00,1019.9,1026.4,1019.9,1020.3,38.0
2023-07-24 23:00:00,1026.5,1029.3,1020.4,1027.7,38.0
2023-07-25 23:00:00,1029.9,1034.1,1028.1,1028.1,28.0
2023-07-26 23:00:00,1028.5,1033.4,1018.4,1022.5,86.0
2023-07-27 23:00:00,1021.4,1030.0,998.4,1004.9,159.0
2023-07-28 23:00:00,1000.7,1005.0,994.6,996.9,176.0
2023-07-31 23:00:00,998.1,1012.9,989.7,1010.0,174.0
2023-08-01 23:00:00,1010.6,1010.6,988.3,988.4,110.0
2023-08-02 23:00:00,992.0,996.3,980.8,985.4,60.0
2023-08-03 23:00:00,984.6,987.5,977.7,981.4,56.0
2023-08-04 23:00:00,981.4,982.3,973.0,980.6,59.0
2023-08-07 23:00:00,979.3,986.8,978.2,982.4,55.0
2023-08-08 23:00:00,984.5,984.5,959.0,961.7,188.0
2023-08-09 23:00:00,962.1,967.4,951.0,953.1,135.0
2023-08-10 23:00:00,956.0,965.9,952.1,965.7,180.0
2023-08-11 23:00:00,968.4,970.3,954.5,960.5,118.0
2023-08-14 23:00:00,963.7,966.0,953.0,958.9,187.0
2023-08-15 23:00:00,959.7,960.5,946.0,950.9,182.0
2023-08-16 23:00:00,952.9,953.9,942.2,949.6,126.0
2023-08-17 23:00:00,947.6,962.0,943.6,952.0,109.0
2023-08-18 23:00:00,952.3,961.3,949.9,960.9,54.0
2023-08-21 23:00:00,960.5,967.0,957.5,964.1,146.0
2023-08-22 23:00:00,960.2,979.8,960.1,975.0,115.0
2023-08-23 23:00:00,972.7,990.0,972.0,987.2,149.0
2023-08-24 23:00:00,986.6,995.0,980.1,988.3,175.0
2023-08-25 23:00:00,991.9,996.8,982.5,987.6,164.0
2023-08-28 23:00:00,987.9,1009.8,985.1,1007.3,258.0
2023-08-29 23:00:00,1009.4,1021.0,1004.5,1018.9,192.0
2023-08-30 23:00:00,1019.6,1025.0,1014.7,1017.8,255.0
2023-08-31 23:00:00,1018.0,1018.4,1003.0,1003.1,290.0
2023-09-01 23:00:00,1002.3,1019.5,1000.2,1006.3,296.0
2023-09-04 23:00:00,1002.5,1003.8,991.3,993.1,194.0
2023-09-05 23:00:00,992.2,995.4,974.6,974.6,7397.0
2023-09-06 23:00:00,976.0,976.0,955.0,957.1,581.0
2023-09-07 23:00:00,955.9,960.9,950.1,954.7,402.0
2023-09-08 23:00:00,956.7,972.5,947.0,947.2,1401.0
2023-09-11 23:00:00,947.1,957.9,944.1,952.0,562.0
2023-09-12 23:00:00,952.9,960.0,946.2,958.0,888.0
2023-09-13 23:00:00,958.5,959.0,947.5,950.2,449.0
2023-09-14 23:00:00,950.9,958.7,946.2,951.4,993.0
2023-09-15 23:00:00,954.6,971.0,952.1,968.4,653.0
2023-09-18 23:00:00,969.3,981.6,967.6,977.4,949.0
2023-09-19 23:00:00,977.4,989.8,975.0,984.0,511.0
2023-09-20 23:00:00,986.0,990.5,979.0,985.0,1377.0
2023-09-21 23:00:00,986.8,988.0,951.0,964.9,3531.0
2023-09-22 23:00:00,964.1,978.1,963.6,972.9,1997.0
2023-09-25 23:00:00,972.5,972.5,945.0,950.1,2784.0
2023-09-26 23:00:00,949.6,950.1,931.0,936.9,2997.0
2023-09-27 23:00:00,937.2,940.0,921.1,923.2,4096.0
2023-09-28 23:00:00,922.2,933.8,914.0,932.0,4081.0
2023-09-29 23:00:00,932.4,949.6,931.4,934.0,3364.0
2023-10-02 23:00:00,932.5,935.0,908.2,909.6,2994.0
2023-10-03 23:00:00,909.1,911.6,896.0,900.8,3903.0
2023-10-04 23:00:00,904.2,906.0,889.0,894.7,3324.0
2023-10-05 23:00:00,894.8,897.0,880.0,881.3,1827.0
2023-10-06 23:00:00,880.3,903.6,880.0,903.6,2639.0
