DATETIME,OPEN,HIGH,LOW,FINAL,VOLUME
2024-01-15 23:00:00,7750.0,7845.0,7750.0,7845.0,9.0
2024-01-17 23:00:00,8045.0,8138.0,8045.0,8138.0,3.0
2024-01-18 23:00:00,8110.0,8110.0,8100.0,8100.0,2.0
2024-01-19 23:00:00,8100.0,8100.0,8000.0,8000.0,12.0
2024-01-24 23:00:00,8018.0,8063.0,7980.0,8000.0,29.0
2024-01-25 23:00:00,8008.0,8041.0,8008.0,8041.0,3.0
2024-01-26 23:00:00,8000.0,8010.0,8000.0,8010.0,2.0
2024-01-29 23:00:00,8149.0,8250.0,8069.0,8069.0,12.0
2024-01-30 23:00:00,8112.0,8112.0,8055.0,8055.0,4.0
2024-01-31 23:00:00,8055.0,8065.0,8055.0,8065.0,3.0
2024-02-01 23:00:00,8017.0,8017.0,8017.0,8017.0,5.0
2024-02-02 23:00:00,8031.0,8031.0,8031.0,8031.0,4.0
2024-02-05 23:00:00,8014.0,8014.0,7927.0,7935.0,9.0
2024-02-06 23:00:00,8007.0,8007.0,8007.0,8007.0,1.0
2024-02-07 23:00:00,8071.0,8104.0,8049.0,8074.0,9.0
2024-02-08 23:00:00,8048.0,8048.0,7988.0,7993.0,10.0
2024-02-09 23:00:00,7965.0,7965.0,7906.0,7950.0,5.0
2024-02-12 23:00:00,7894.0,7894.0,7816.0,7839.0,12.0
2024-02-13 23:00:00,7893.0,8228.0,7863.0,8224.0,29.0
2024-02-14 23:00:00,8224.0,8475.0,8174.0,8351.0,183.0
2024-02-15 23:00:00,8405.0,8650.0,8301.0,8570.0,67.0
2024-02-16 23:00:00,8594.0,8750.0,8594.0,8621.0,45.0
2024-02-19 23:00:00,8700.0,9041.0,8610.0,8853.0,106.0
2024-02-20 23:00:00,8899.0,9099.0,8740.0,8989.0,145.0
2024-02-21 23:00:00,8900.0,8970.0,8695.0,8720.0,138.0
2024-02-22 23:00:00,8720.0,8909.0,8671.0,8714.0,95.0
2024-02-26 23:00:00,8778.0,9150.0,8703.0,9072.0,143.0
2024-02-27 23:00:00,9070.0,9200.0,8845.0,9200.0,130.0
2024-02-28 23:00:00,9199.0,9592.0,9199.0,9350.0,399.0
2024-02-29 23:00:00,9401.0,9401.0,9221.0,9360.0,221.0
2024-03-01 23:00:00,9323.0,9389.0,9219.0,9389.0,125.0
2024-03-04 23:00:00,9392.0,9480.0,9169.0,9311.0,266.0
2024-03-05 23:00:00,9261.0,9580.0,9211.0,9485.0,545.0
2024-03-06 23:00:00,9448.0,9507.0,9340.0,9407.0,493.0
2024-03-07 23:00:00,9408.0,9472.0,9390.0,9472.0,83.0
2024-03-11 23:00:00,9475.0,9691.0,9450.0,9587.0,268.0
2024-03-12 23:00:00,9582.0,9589.0,9453.0,9527.0,299.0
2024-03-13 23:00:00,9452.0,9525.0,9275.0,9285.0,1636.0
2024-03-14 23:00:00,9281.0,9382.0,9064.0,9080.0,3480.0
