DATETIME,OPEN,HIGH,LOW,FINAL,VOLUME
2023-03-17 23:00:00,2601.0,2601.0,2600.0,2600.0,11.0
2023-03-24 23:00:00,2680.0,2683.0,2680.0,2683.0,5.0
2023-03-27 23:00:00,2477.0,2550.0,2412.0,2550.0,25.0
2023-03-29 23:00:00,2680.0,2690.0,2680.0,2690.0,2.0
2023-04-07 23:00:00,2710.0,2850.0,2710.0,2850.0,2.0
2023-04-25 23:00:00,2740.0,2798.0,2740.0,2798.0,6.0
2023-04-26 23:00:00,2823.0,2984.0,2823.0,2826.0,90.0
2023-04-27 23:00:00,2882.0,2882.0,2843.0,2843.0,11.0
2023-04-28 23:00:00,2724.0,3055.0,2661.0,2765.0,380.0
2023-05-02 23:00:00,2727.0,2807.0,2624.0,2628.0,61.0
2023-05-03 23:00:00,2629.0,2673.0,2506.0,2620.0,50.0
2023-05-04 23:00:00,2663.0,2683.0,2663.0,2683.0,9.0
2023-05-05 23:00:00,2572.0,2572.0,2568.0,2568.0,55.0
2023-05-08 23:00:00,2556.0,2556.0,2556.0,2556.0,1.0
2023-05-10 23:00:00,2560.0,2655.0,2468.0,2573.0,51.0
2023-05-11 23:00:00,2785.0,2785.0,2641.0,2664.0,81.0
2023-05-12 23:00:00,2632.0,2633.0,2552.0,2614.0,74.0
2023-05-15 23:00:00,2684.0,2684.0,2569.0,2606.0,44.0
2023-05-16 23:00:00,2611.0,2694.0,2611.0,2645.0,57.0
2023-05-17 23:00:00,2678.0,2678.0,2678.0,2678.0,1.0
2023-05-18 23:00:00,2692.0,2693.0,2692.0,2693.0,19.0
2023-05-19 23:00:00,2690.0,2743.0,2690.0,2700.0,149.0
2023-05-22 23:00:00,2700.0,2705.0,2562.0,2665.0,74.0
2023-05-23 23:00:00,2721.0,2721.0,2608.0,2675.0,51.0
2023-05-24 23:00:00,2675.0,2768.0,2675.0,2731.0,97.0
2023-05-25 23:00:00,2720.0,2850.0,2651.0,2709.0,479.0
2023-05-26 23:00:00,2718.0,2796.0,2701.0,2740.0,86.0
2023-05-29 23:00:00,2750.0,3274.0,2750.0,3063.0,6073.0
2023-05-30 23:00:00,3063.0,3320.0,3050.0,3116.0,2229.0
2023-05-31 23:00:00,3119.0,3275.0,3100.0,3198.0,870.0
2023-06-01 23:00:00,3172.0,3172.0,3100.0,3106.0,212.0
2023-06-02 23:00:00,3108.0,3179.0,3101.0,3156.0,509.0
2023-06-05 23:00:00,3159.0,3179.0,3005.0,3064.0,1500.0
2023-06-06 23:00:00,3053.0,3079.0,2932.0,3040.0,2895.0
2023-06-07 23:00:00,3021.0,3176.0,3009.0,3160.0,1455.0
2023-06-08 23:00:00,3108.0,3206.0,3005.0,3100.0,2419.0
2023-06-09 23:00:00,3109.0,3120.0,3066.0,3066.0,429.0
2023-06-13 23:00:00,3074.0,3155.0,3060.0,3130.0,1904.0
2023-06-14 23:00:00,3143.0,3250.0,3093.0,3160.0,2671.0
2023-06-15 23:00:00,3165.0,3305.0,3149.0,3180.0,1510.0
2023-06-16 23:00:00,3180.0,3256.0,3152.0,3166.0,4274.0
2023-06-19 23:00:00,3169.0,3249.0,3103.0,3162.0,2581.0
2023-06-20 23:00:00,3166.0,3400.0,3159.0,3360.0,41709.0
2023-06-21 23:00:00,3360.0,3418.0,3319.0,3360.0,13455.0
2023-06-22 23:00:00,3370.0,3398.0,3290.0,3302.0,9302.0
2023-06-23 23:00:00,3305.0,3339.0,3216.0,3272.0,6538.0
2023-06-26 23:00:00,3260.0,3292.0,3150.0,3180.0,16590.0
2023-06-27 23:00:00,3185.0,3233.0,3056.0,3139.0,8868.0
2023-06-28 23:00:00,3151.0,3218.0,3111.0,3150.0,5797.0
2023-06-29 23:00:00,3152.0,3200.0,3150.0,3160.0,3034.0
2023-06-30 23:00:00,3168.0,3217.0,3126.0,3138.0,2708.0
2023-07-03 23:00:00,3148.0,3180.0,3125.0,3133.0,2005.0
2023-07-04 23:00:00,3126.0,3140.0,3076.0,3086.0,4358.0
2023-07-05 23:00:00,3096.0,3144.0,3072.0,3097.0,3981.0
2023-07-06 23:00:00,3100.0,3154.0,3096.0,3113.0,3036.0
2023-07-07 23:00:00,3112.0,3129.0,3089.0,3127.0,2101.0
2023-07-10 23:00:00,3122.0,3180.0,3110.0,3158.0,5026.0
2023-07-11 23:00:00,3159.0,3299.0,3155.0,3266.0,9383.0
2023-07-12 23:00:00,3289.0,3397.0,3289.0,3338.0,14981.0
2023-07-13 23:00:00,3357.0,3387.0,3311.0,3350.0,5402.0
2023-07-14 23:00:00,3351.0,3375.0,3298.0,3353.0,6084.0
2023-07-17 23:00:00,3353.0,4000.0,3303.0,3496.0,19190.0
2023-07-18 23:00:00,3503.0,3714.0,3501.0,3652.0,39862.0
2023-07-19 23:00:00,3636.0,3744.0,3586.0,3625.0,18604.0
2023-07-20 23:00:00,3623.0,3646.0,3494.0,3509.0,12848.0
2023-07-21 23:00:00,3511.0,3600.0,3454.0,3587.0,13186.0
2023-07-24 23:00:00,3585.0,3740.0,3585.0,3717.0,19751.0
2023-07-25 23:00:00,3716.0,3839.0,3710.0,3766.0,27322.0
2023-07-26 23:00:00,3762.0,3766.0,3665.0,3700.0,20442.0
2023-07-27 23:00:00,3703.0,3754.0,3662.0,3735.0,9613.0
2023-07-28 23:00:00,3734.0,3818.0,3702.0,3757.0,21998.0
2023-07-31 23:00:00,3755.0,3810.0,3702.0,3750.0,11561.0
2023-08-01 23:00:00,3752.0,3905.0,3727.0,3889.0,28956.0
