DATETIME,OPEN,HIGH,LOW,FINAL,VOLUME
2022-09-14 23:00:00,390.0,390.0,386.0,386.0,2.0
2022-09-26 23:00:00,365.02,377.44,365.02,374.81,5.0
2022-09-27 23:00:00,378.82,379.0,378.82,379.0,2.0
2022-09-29 23:00:00,384.02,384.02,384.02,384.02,1.0
2022-09-30 23:00:00,390.14,390.14,390.14,390.14,1.0
2022-10-03 23:00:00,390.9,390.9,372.92,385.5,5.0
2022-10-07 23:00:00,378.0,378.0,363.6,372.0,9.0
2022-10-10 23:00:00,373.59,373.6,373.5,373.5,4.0
2022-10-11 23:00:00,373.5,373.5,373.5,373.5,2.0
2022-10-13 23:00:00,370.0,378.46,357.71,357.71,10.0
2022-10-18 23:00:00,396.23,398.86,372.54,375.53,13.0
2022-10-19 23:00:00,375.6,375.6,374.01,374.1,12.0
2022-10-20 23:00:00,374.1,374.1,372.0,372.0,2.0
2022-10-21 23:00:00,372.0,372.0,369.0,369.0,2.0
2022-10-24 23:00:00,382.0,398.72,382.0,398.72,6.0
2022-10-25 23:00:00,389.96,389.96,389.96,389.96,1.0
2022-10-26 23:00:00,385.71,390.0,381.2,390.0,12.0
2022-10-27 23:00:00,382.0,384.31,382.0,384.31,4.0
2022-10-28 23:00:00,393.16,393.16,382.31,382.31,2.0
2022-11-02 23:00:00,380.4,395.39,380.4,382.6,3.0
2022-11-03 23:00:00,382.5,392.59,382.02,392.59,7.0
2022-11-07 23:00:00,387.45,387.45,387.4,387.4,2.0
2022-11-09 23:00:00,390.0,390.0,376.36,380.0,3.0
2022-11-10 23:00:00,385.0,385.0,385.0,385.0,1.0
2022-11-11 23:00:00,397.05,410.77,396.05,396.05,13.0
2022-11-14 23:00:00,394.38,400.0,393.58,393.58,4.0
2022-11-15 23:00:00,393.5,402.78,393.5,402.68,3.0
2022-11-16 23:00:00,397.01,409.0,397.01,409.0,5.0
2022-11-22 23:00:00,399.99,399.99,399.99,399.99,1.0
2022-11-23 23:00:00,399.0,407.91,397.18,397.18,8.0
2022-11-24 23:00:00,397.03,397.03,397.03,397.03,1.0
2022-11-25 23:00:00,403.0,403.0,393.45,393.45,2.0
2022-11-28 23:00:00,393.0,393.0,393.0,393.0,2.0
2022-11-29 23:00:00,393.0,395.0,390.83,395.0,9.0
2022-11-30 23:00:00,396.0,399.0,392.1,398.0,11.0
2022-12-01 23:00:00,400.93,405.39,390.6,399.74,20.0
2022-12-02 23:00:00,394.03,399.0,394.03,398.0,29.0
2022-12-05 23:00:00,395.0,401.0,395.0,397.01,7.0
2022-12-06 23:00:00,399.73,400.0,392.02,392.02,7.0
2022-12-07 23:00:00,392.1,396.0,384.77,388.0,11.0
2022-12-08 23:00:00,393.0,393.0,393.0,393.0,1.0
2022-12-09 23:00:00,380.26,398.81,380.26,393.0,7.0
2022-12-12 23:00:00,394.0,396.54,394.0,396.0,32.0
2022-12-13 23:00:00,396.0,404.6,391.97,401.1,28.0
2022-12-14 23:00:00,399.93,399.93,395.2,397.73,27.0
2022-12-15 23:00:00,396.06,396.06,388.5,390.08,15.0
2022-12-16 23:00:00,389.18,390.61,384.34,385.14,12.0
2022-12-19 23:00:00,385.13,387.61,368.0,386.04,36.0
2022-12-20 23:00:00,386.7,388.64,385.61,386.3,33.0
2022-12-21 23:00:00,389.0,391.37,376.77,388.29,49.0
2022-12-22 23:00:00,389.97,389.97,387.81,387.81,5.0
2022-12-23 23:00:00,385.98,389.0,385.98,389.0,9.0
2022-12-26 23:00:00,390.01,393.0,389.0,389.0,20.0
2022-12-27 23:00:00,389.97,389.97,387.4,387.4,3.0
2022-12-28 23:00:00,387.99,388.02,387.99,388.01,15.0
2022-12-29 23:00:00,387.75,387.75,387.29,387.29,6.0
2022-12-30 23:00:00,387.29,387.42,372.04,383.0,24.0
2023-01-03 23:00:00,384.82,385.98,384.82,385.58,10.0
2023-01-04 23:00:00,385.57,398.0,375.26,386.96,50.0
2023-01-05 23:00:00,387.0,388.99,385.0,385.0,30.0
2023-01-06 23:00:00,385.99,388.98,384.01,387.73,24.0
2023-01-09 23:00:00,387.54,390.0,385.47,388.38,43.0
2023-01-10 23:00:00,387.69,387.69,385.0,386.78,35.0
2023-01-11 23:00:00,387.49,391.44,386.57,390.0,21.0
2023-01-12 23:00:00,388.39,390.2,388.39,389.93,34.0
2023-01-13 23:00:00,387.76,390.46,387.01,387.03,18.0
2023-01-16 23:00:00,387.96,389.98,387.42,388.32,15.0
2023-01-17 23:00:00,389.99,389.99,387.99,387.99,7.0
2023-01-18 23:00:00,387.16,389.41,387.1,388.0,32.0
2023-01-19 23:00:00,388.61,388.61,380.0,380.91,71.0
2023-01-20 23:00:00,383.72,383.73,382.21,383.72,7.0
2023-01-23 23:00:00,383.72,384.9,383.72,384.01,47.0
2023-01-24 23:00:00,385.19,386.58,383.8,386.58,22.0
2023-01-25 23:00:00,387.11,388.0,381.88,384.22,23.0
2023-01-26 23:00:00,381.73,387.0,381.72,384.3,18.0
2023-01-27 23:00:00,383.1,387.9,383.1,387.9,14.0
2023-01-30 23:00:00,385.19,388.0,385.04,386.04,16.0
2023-01-31 23:00:00,379.19,388.99,379.19,386.82,24.0
2023-02-01 23:00:00,388.99,390.15,388.03,389.85,32.0
2023-02-02 23:00:00,389.76,397.73,389.64,393.5,56.0
2023-02-03 23:00:00,393.5,400.0,392.0,392.06,66.0
2023-02-06 23:00:00,393.01,393.01,383.08,392.02,31.0
2023-02-07 23:00:00,391.05,392.32,389.47,392.32,15.0
2023-02-08 23:00:00,392.99,397.01,390.6,394.6,49.0
2023-02-09 23:00:00,394.05,396.98,392.38,396.98,22.0
2023-02-10 23:00:00,394.08,396.76,394.08,395.01,36.0
2023-02-13 23:00:00,396.0,399.3,394.81,398.1,55.0
2023-02-14 23:00:00,398.84,400.94,397.82,400.2,60.0
2023-02-15 23:00:00,397.04,400.78,394.47,398.96,34.0
2023-02-16 23:00:00,397.62,400.99,395.41,398.3,59.0
2023-02-17 23:00:00,398.57,398.57,395.5,396.8,51.0
2023-02-20 23:00:00,396.77,397.07,387.79,396.13,79.0
2023-02-21 23:00:00,396.88,396.88,394.4,394.4,50.0
2023-02-22 23:00:00,392.72,394.68,391.69,392.5,28.0
2023-02-24 23:00:00,394.21,394.21,392.52,392.52,31.0
2023-02-27 23:00:00,392.13,399.69,392.12,396.0,68.0
2023-02-28 23:00:00,394.79,395.42,392.01,392.41,113.0
2023-03-01 23:00:00,392.58,394.2,392.02,392.44,93.0
2023-03-02 23:00:00,392.02,392.43,391.49,391.51,89.0
2023-03-03 23:00:00,390.73,394.07,390.73,394.06,90.0
2023-03-06 23:00:00,394.06,396.3,394.06,395.1,149.0
2023-03-07 23:00:00,396.4,396.5,392.22,394.23,87.0
2023-03-09 23:00:00,394.23,395.98,393.54,395.59,177.0
2023-03-10 23:00:00,394.0,395.86,388.0,390.05,434.0
2023-03-13 23:00:00,391.0,393.98,383.2,387.56,1332.0
2023-03-14 23:00:00,388.0,391.98,385.01,390.58,826.0
2023-03-15 23:00:00,390.25,391.74,385.45,388.29,622.0
2023-03-16 23:00:00,388.0,392.0,386.0,392.0,981.0
2023-03-17 23:00:00,391.55,394.83,389.46,389.68,1300.0
2023-03-20 23:00:00,391.5,393.14,386.0,392.41,1925.0
2023-03-21 23:00:00,391.96,395.59,390.14,393.8,1222.0
2023-03-22 23:00:00,394.03,396.73,394.03,395.85,496.0
2023-03-23 23:00:00,395.5,397.88,389.38,395.19,2757.0
2023-03-24 23:00:00,394.71,394.76,387.45,390.55,1814.0
2023-03-27 23:00:00,390.28,395.0,389.94,392.9,1369.0
2023-03-28 23:00:00,392.55,394.24,391.8,392.87,532.0
2023-03-29 23:00:00,392.6,396.22,390.82,395.38,1156.0
2023-03-30 23:00:00,395.67,399.29,395.23,398.34,1880.0
2023-03-31 23:00:00,398.05,401.0,396.78,400.68,2084.0
2023-04-03 23:00:00,400.8,404.77,400.36,402.31,1216.0
2023-04-04 23:00:00,402.59,407.0,402.08,403.65,1651.0
2023-04-05 23:00:00,403.0,403.89,400.87,401.87,627.0
2023-04-06 23:00:00,401.48,403.72,400.81,403.3,627.0
2023-04-07 23:00:00,403.31,405.35,403.31,405.01,800.0
2023-04-10 23:00:00,405.08,405.1,401.83,403.48,796.0
2023-04-11 23:00:00,402.31,406.28,402.31,405.28,974.0
2023-04-12 23:00:00,405.8,409.2,403.29,405.18,1969.0
2023-04-13 23:00:00,405.39,408.8,402.87,408.8,3904.0
2023-04-14 23:00:00,408.8,414.08,407.84,412.52,5568.0
2023-04-17 23:00:00,411.57,414.5,411.06,413.01,3410.0
2023-04-18 23:00:00,413.01,417.35,412.79,417.04,4763.0
2023-04-19 23:00:00,417.19,417.4,415.29,416.6,3350.0
2023-04-20 23:00:00,416.5,417.4,415.02,416.0,2373.0
2023-04-21 23:00:00,415.98,416.88,414.31,415.72,2320.0
2023-04-24 23:00:00,416.45,416.45,413.59,414.78,2752.0
2023-04-25 23:00:00,414.93,415.75,413.5,414.78,3259.0
2023-04-26 23:00:00,414.7,415.5,413.1,414.6,5437.0
2023-04-27 23:00:00,415.26,415.69,413.21,415.25,3045.0
2023-04-28 23:00:00,415.69,419.0,415.0,417.81,3092.0
2023-05-02 23:00:00,417.96,419.15,415.33,416.15,4858.0
2023-05-03 23:00:00,416.57,417.39,415.0,415.72,2240.0
2023-05-04 23:00:00,415.8,416.9,410.14,412.15,5039.0
2023-05-05 23:00:00,411.91,415.95,411.54,415.37,2599.0
2023-05-08 23:00:00,415.63,416.32,414.5,415.13,1688.0
2023-05-10 23:00:00,414.88,418.29,413.97,417.42,5591.0
2023-05-11 23:00:00,416.46,419.04,414.72,417.75,5865.0
2023-05-12 23:00:00,417.58,418.49,416.0,416.24,2006.0
2023-05-15 23:00:00,416.0,418.22,415.0,417.75,3257.0
2023-05-16 23:00:00,417.61,418.63,416.2,416.72,1844.0
2023-05-17 23:00:00,417.17,418.01,415.92,417.62,1509.0
2023-05-18 23:00:00,417.79,419.48,417.79,419.21,5070.0
2023-05-19 23:00:00,418.5,420.46,417.7,418.9,5884.0
2023-05-22 23:00:00,418.31,419.2,416.86,417.11,2356.0
2023-05-23 23:00:00,417.5,418.09,416.81,418.0,4809.0
2023-05-24 23:00:00,417.82,417.82,412.13,413.33,4888.0
2023-05-25 23:00:00,413.85,415.75,412.54,414.0,6311.0
2023-05-26 23:00:00,414.95,418.57,412.73,418.05,6624.0
2023-05-29 23:00:00,418.12,423.0,417.0,422.0,17092.0
2023-05-30 23:00:00,421.87,429.0,421.1,425.21,31641.0
2023-05-31 23:00:00,425.35,427.3,422.81,423.54,16326.0
2023-06-01 23:00:00,424.0,427.05,423.57,425.99,9031.0
2023-06-02 23:00:00,426.33,431.8,425.01,430.16,16448.0
2023-06-05 23:00:00,430.5,432.3,429.67,432.0,17479.0
2023-06-06 23:00:00,431.5,433.42,428.16,433.27,33078.0
2023-06-07 23:00:00,433.42,435.5,431.3,434.74,30114.0
2023-06-08 23:00:00,434.17,435.49,432.22,435.04,26467.0
2023-06-09 23:00:00,435.15,438.5,434.5,437.0,34719.0
2023-06-13 23:00:00,436.36,444.0,435.66,443.16,62872.0
2023-06-14 23:00:00,442.83,444.9,441.49,444.2,48735.0
2023-06-15 23:00:00,444.14,449.0,440.37,447.41,108758.0
2023-06-16 23:00:00,447.98,450.51,445.0,448.64,94537.0
2023-06-19 23:00:00,449.0,450.0,445.52,445.9,34736.0
2023-06-20 23:00:00,445.89,446.48,443.2,443.63,36925.0
2023-06-21 23:00:00,443.61,445.67,442.5,444.19,41358.0
2023-06-22 23:00:00,443.46,445.7,442.52,444.2,40483.0
2023-06-23 23:00:00,444.21,445.5,442.0,443.1,42651.0
2023-06-26 23:00:00,443.19,444.05,441.26,442.06,49733.0
2023-06-27 23:00:00,442.07,443.5,440.85,443.32,41511.0
2023-06-28 23:00:00,443.45,445.3,443.1,444.81,62042.0
2023-06-29 23:00:00,444.18,447.0,442.85,446.57,57132.0
2023-06-30 23:00:00,446.39,451.64,445.52,450.8,63925.0
2023-07-03 23:00:00,450.82,454.45,450.74,452.65,44217.0
2023-07-04 23:00:00,452.51,453.35,452.44,452.88,13427.0
2023-07-05 23:00:00,452.93,454.32,451.34,453.68,26278.0
2023-07-06 23:00:00,453.17,454.1,447.67,448.86,63942.0
2023-07-07 23:00:00,448.9,450.65,447.3,448.97,51189.0
2023-07-10 23:00:00,449.0,451.8,445.48,447.06,40591.0
2023-07-11 23:00:00,447.06,450.1,446.69,449.84,31293.0
2023-07-12 23:00:00,450.07,456.07,449.49,454.33,53732.0
2023-07-13 23:00:00,454.18,457.21,453.37,456.45,29429.0
2023-07-14 23:00:00,456.8,458.5,456.51,457.29,37330.0
2023-07-17 23:00:00,457.31,457.72,455.6,457.67,26038.0
2023-07-18 23:00:00,457.69,459.93,456.81,459.89,40855.0
2023-07-19 23:00:00,459.79,462.8,459.06,462.45,42764.0
2023-07-20 23:00:00,462.45,462.95,460.28,461.4,31500.0
2023-07-21 23:00:00,461.67,461.99,459.7,461.31,31408.0
2023-07-24 23:00:00,461.05,463.89,459.72,463.15,56829.0
2023-07-25 23:00:00,463.15,464.22,462.21,463.89,26483.0
2023-07-26 23:00:00,464.16,464.97,462.2,462.95,27779.0
2023-07-27 23:00:00,463.3,467.11,461.0,464.74,56106.0
2023-07-28 23:00:00,465.2,466.0,460.28,465.2,60139.0
2023-07-31 23:00:00,465.22,467.07,463.22,466.22,53492.0
2023-08-01 23:00:00,466.05,466.72,464.11,464.54,39951.0
2023-08-02 23:00:00,464.58,465.23,458.88,459.07,81262.0
2023-08-03 23:00:00,458.88,459.5,455.78,457.84,76036.0
2023-08-04 23:00:00,457.53,459.83,456.5,459.29,61215.0
2023-08-07 23:00:00,459.35,460.63,454.55,456.77,57081.0
2023-08-08 23:00:00,456.79,458.73,453.41,453.91,54719.0
2023-08-09 23:00:00,453.76,458.89,453.7,454.22,65454.0
2023-08-10 23:00:00,454.2,459.1,454.15,455.37,69434.0
2023-08-11 23:00:00,455.92,455.92,450.9,452.01,62821.0
2023-08-14 23:00:00,452.77,454.74,451.46,454.36,43078.0
2023-08-15 23:00:00,454.44,455.99,451.6,453.25,62357.0
2023-08-16 23:00:00,453.31,453.73,449.94,451.07,61148.0
2023-08-17 23:00:00,451.01,451.46,447.18,447.2,63276.0
2023-08-18 23:00:00,447.33,449.38,442.25,444.3,87921.0
2023-08-21 23:00:00,444.3,446.72,442.31,442.8,61328.0
2023-08-22 23:00:00,443.02,448.58,442.72,446.05,64790.0
2023-08-23 23:00:00,445.97,448.28,444.91,447.8,46501.0
2023-08-24 23:00:00,448.03,452.88,445.95,446.19,87437.0
2023-08-25 23:00:00,446.1,447.33,440.93,443.39,100814.0
2023-08-28 23:00:00,443.5,447.62,442.82,445.26,71402.0
2023-08-29 23:00:00,445.4,451.06,445.02,450.72,54580.0
2023-08-30 23:00:00,450.89,454.48,450.59,453.96,57575.0
2023-08-31 23:00:00,454.03,455.75,453.21,454.25,45900.0
2023-09-01 23:00:00,454.1,456.42,452.57,453.46,69835.0
2023-09-04 23:00:00,453.65,455.42,453.02,453.44,44635.0
2023-09-05 23:00:00,453.44,454.2,451.53,452.47,53743.0
2023-09-06 23:00:00,452.54,453.16,448.1,448.71,66329.0
2023-09-07 23:00:00,448.72,449.4,445.12,446.33,79926.0
2023-09-08 23:00:00,446.36,448.65,445.5,447.89,67299.0
2023-09-11 23:00:00,447.88,450.18,446.14,448.07,72957.0
2023-09-12 23:00:00,448.54,449.88,447.26,448.09,58997.0
2023-09-13 23:00:00,448.09,449.5,445.74,448.03,84842.0
2023-09-14 23:00:00,447.87,450.34,446.31,450.06,103225.0
2023-09-15 23:00:00,450.24,451.4,449.8,450.39,71571.0
