DATETIME,OPEN,HIGH,LOW,FINAL,VOLUME
2024-03-15 23:00:00,6.985,6.985,6.979,6.979,3.0
2024-03-21 23:00:00,7.15,7.201,7.1,7.1,7.0
2024-03-29 23:00:00,7.289,7.29,7.289,7.29,2.0
2024-04-18 23:00:00,7.269,7.269,7.269,7.269,1.0
2024-04-22 23:00:00,7.418,7.499,7.418,7.499,3.0
2024-05-17 23:00:00,7.7,7.7,7.4,7.4,2.0
2024-05-23 23:00:00,7.49,7.49,7.49,7.49,1.0
2024-05-24 23:00:00,7.397,7.397,7.397,7.397,1.0
2024-05-29 23:00:00,7.43,7.43,7.43,7.43,1.0
2024-06-03 23:00:00,6.977,6.977,6.977,6.977,5.0
2024-06-17 23:00:00,7.278,7.278,7.206,7.206,3.0
2024-06-19 23:00:00,7.469,7.729,7.469,7.729,6.0
2024-06-20 23:00:00,7.6,7.6,7.208,7.47,8.0
2024-06-24 23:00:00,7.45,7.45,7.45,7.45,1.0
2024-06-25 23:00:00,7.289,7.29,7.288,7.289,7.0
2024-06-26 23:00:00,7.253,7.253,7.253,7.253,1.0
2024-06-27 23:00:00,7.3,7.3,7.273,7.273,2.0
2024-06-28 23:00:00,7.238,7.29,7.238,7.28,7.0
