DATETIME,OPEN,HIGH,LOW,FINAL,VOLUME
2024-01-18 23:00:00,143.49,143.5,143.49,143.5,3.0
2024-01-30 23:00:00,137.59,137.59,137.58,137.58,2.0
2024-02-05 23:00:00,143.37,145.64,143.0,143.0,11.0
2024-02-09 23:00:00,143.62,143.62,143.62,143.62,1.0
2024-02-12 23:00:00,142.02,142.02,142.02,142.02,2.0
2024-02-13 23:00:00,144.99,145.0,144.99,145.0,2.0
2024-02-15 23:00:00,143.91,146.95,143.91,144.62,3.0
2024-02-16 23:00:00,145.65,146.95,145.65,146.95,3.0
2024-02-20 23:00:00,148.97,148.99,145.57,148.99,5.0
2024-03-04 23:00:00,146.51,146.51,146.16,146.16,2.0
2024-03-06 23:00:00,146.99,146.99,146.99,146.99,1.0
2024-03-07 23:00:00,144.5,144.5,144.21,144.21,3.0
2024-03-11 23:00:00,144.1,144.2,144.1,144.2,2.0
2024-03-12 23:00:00,144.2,144.2,143.86,143.86,3.0
2024-03-13 23:00:00,144.7,144.7,144.7,144.7,1.0
2024-03-14 23:00:00,144.16,144.16,144.16,144.16,3.0
