DATETIME,PRICE,FORWARD,CARRY,PRICE_CONTRACT,FORWARD_CONTRACT,CARRY_CONTRACT
2023-06-16 23:00:00,10.75,,,20230900,20231200,20231200
2023-06-19 23:00:00,10.757,,,20230900,20231200,20231200
2023-06-20 23:00:00,10.88,10.904,10.904,20230900,20231200,20231200
2023-06-21 23:00:00,10.7,11.147,11.147,20230900,20231200,20231200
2023-06-22 23:00:00,10.647,,,20230900,20231200,20231200
2023-06-23 23:00:00,10.781,10.72,10.72,20230900,20231200,20231200
2023-06-26 23:00:00,10.804,10.83,10.83,20230900,20231200,20231200
2023-06-27 23:00:00,10.876,10.806,10.806,20230900,20231200,20231200
2023-06-28 23:00:00,10.991,10.97,10.97,20230900,20231200,20231200
2023-06-29 23:00:00,11.118,11.06,11.06,20230900,20231200,20231200
2023-06-30 23:00:00,11.35,11.219,11.219,20230900,20231200,20231200
2023-07-03 23:00:00,11.211,11.253,11.253,20230900,20231200,20231200
2023-07-04 23:00:00,11.196,11.266,11.266,20230900,20231200,20231200
2023-07-05 23:00:00,11.433,,,20230900,20231200,20231200
2023-07-06 23:00:00,11.5,11.48,11.48,20230900,20231200,20231200
2023-07-07 23:00:00,11.554,11.683,11.683,20230900,20231200,20231200
2023-07-10 23:00:00,11.42,11.4,11.4,20230900,20231200,20231200
2023-07-11 23:00:00,11.352,11.43,11.43,20230900,20231200,20231200
2023-07-12 23:00:00,11.47,11.68,11.68,20230900,20231200,20231200
2023-07-13 23:00:00,11.346,11.401,11.401,20230900,20231200,20231200
2023-07-14 23:00:00,11.413,,,20230900,20231200,20231200
2023-07-17 23:00:00,11.52,11.56,11.56,20230900,20231200,20231200
2023-07-18 23:00:00,11.528,11.577,11.577,20230900,20231200,20231200
2023-07-19 23:00:00,11.529,11.736,11.736,20230900,20231200,20231200
2023-07-20 23:00:00,11.431,11.378,11.378,20230900,20231200,20231200
2023-07-21 23:00:00,11.548,11.499,11.499,20230900,20231200,20231200
2023-07-24 23:00:00,11.458,11.402,11.402,20230900,20231200,20231200
2023-07-25 23:00:00,11.425,11.41,11.41,20230900,20231200,20231200
2023-07-26 23:00:00,11.459,11.351,11.351,20230900,20231200,20231200
2023-07-27 23:00:00,11.536,11.402,11.402,20230900,20231200,20231200
2023-07-28 23:00:00,11.615,11.5,11.5,20230900,20231200,20231200
2023-07-31 23:00:00,11.62,11.62,11.62,20230900,20231200,20231200
2023-08-01 23:00:00,11.74,11.506,11.506,20230900,20231200,20231200
2023-08-02 23:00:00,11.985,11.95,11.95,20230900,20231200,20231200
2023-08-03 23:00:00,12.005,11.94,11.94,20230900,20231200,20231200
2023-08-04 23:00:00,12.13,12.128,12.128,20230900,20231200,20231200
2023-08-07 23:00:00,12.149,12.19,12.19,20230900,20231200,20231200
2023-08-08 23:00:00,12.3,12.2,12.2,20230900,20231200,20231200
2023-08-09 23:00:00,12.268,12.52,12.52,20230900,20231200,20231200
2023-08-10 23:00:00,12.386,12.68,12.68,20230900,20231200,20231200
2023-08-11 23:00:00,12.56,12.6,12.6,20230900,20231200,20231200
2023-08-14 23:00:00,12.37,12.2,12.2,20230900,20231200,20231200
2023-08-15 23:00:00,12.2,12.699,12.699,20230900,20231200,20231200
2023-08-16 23:00:00,11.902,11.623,11.623,20230900,20231200,20231200
2023-08-17 23:00:00,11.806,11.751,11.751,20230900,20231200,20231200
2023-08-18 23:00:00,11.803,11.731,11.731,20230900,20231200,20231200
2023-08-21 23:00:00,11.8,11.901,11.901,20230900,20231200,20231200
2023-08-22 23:00:00,11.975,11.99,11.99,20230900,20231200,20231200
2023-08-23 23:00:00,11.897,12.038,12.038,20230900,20231200,20231200
2023-08-24 23:00:00,12.003,12.0,12.0,20230900,20231200,20231200
2023-08-25 23:00:00,12.2,12.084,12.084,20230900,20231200,20231200
2023-08-28 23:00:00,12.25,12.269,12.269,20230900,20231200,20231200
2023-08-29 23:00:00,12.286,12.268,12.268,20230900,20231200,20231200
2023-08-30 23:00:00,12.343,12.5,12.5,20230900,20231200,20231200
2023-08-31 23:00:00,12.3,12.253,12.253,20230900,20231200,20231200
2023-09-01 23:00:00,12.337,12.289,12.289,20230900,20231200,20231200
2023-09-04 23:00:00,12.397,12.394,12.394,20230900,20231200,20231200
2023-09-05 23:00:00,12.525,12.5,12.5,20230900,20231200,20231200
2023-09-06 23:00:00,12.586,12.564,12.564,20230900,20231200,20231200
2023-09-07 23:00:00,12.568,12.7,12.7,20230900,20231200,20231200
2023-09-08 23:00:00,12.5,,,20230900,20231200,20231200
2023-09-11 23:00:00,12.15,12.448,12.448,20230900,20231200,20231200
2023-09-12 23:00:00,12.177,12.2,12.2,20230900,20231200,20231200
2023-09-13 23:00:00,12.342,12.299,12.299,20230900,20231200,20231200
2023-09-14 23:00:00,12.363,12.277,12.277,20230900,20231200,20231200
2023-09-15 23:00:00,12.26,12.449,12.449,20230900,20231200,20231200
2023-09-18 23:00:00,12.165,12.699,12.699,20231200,20240300,20240300
2023-09-19 23:00:00,12.22,12.499,12.499,20231200,20240300,20240300
2023-09-20 23:00:00,12.487,12.5,12.5,20231200,20240300,20240300
2023-09-21 23:00:00,12.249,12.373,12.373,20231200,20240300,20240300
2023-09-22 23:00:00,12.238,12.405,12.405,20231200,20240300,20240300
2023-09-25 23:00:00,12.29,12.536,12.536,20231200,20240300,20240300
2023-09-26 23:00:00,12.35,12.432,12.432,20231200,20240300,20240300
2023-09-27 23:00:00,12.35,12.43,12.43,20231200,20240300,20240300
2023-09-28 23:00:00,12.422,12.425,12.425,20231200,20240300,20240300
2023-09-29 23:00:00,12.554,12.5,12.5,20231200,20240300,20240300
2023-10-02 23:00:00,12.72,12.527,12.527,20231200,20240300,20240300
2023-10-03 23:00:00,12.69,12.616,12.616,20231200,20240300,20240300
2023-10-04 23:00:00,12.78,,,20231200,20240300,20240300
2023-10-05 23:00:00,12.938,12.818,12.818,20231200,20240300,20240300
2023-10-06 23:00:00,12.846,12.751,12.751,20231200,20240300,20240300
2023-10-09 23:00:00,12.788,12.838,12.838,20231200,20240300,20240300
2023-10-10 23:00:00,12.86,12.793,12.793,20231200,20240300,20240300
2023-10-11 23:00:00,12.843,12.815,12.815,20231200,20240300,20240300
2023-10-12 23:00:00,12.598,12.527,12.527,20231200,20240300,20240300
2023-10-13 23:00:00,12.485,12.481,12.481,20231200,20240300,20240300
2023-10-16 23:00:00,12.535,12.506,12.506,20231200,20240300,20240300
2023-10-17 23:00:00,12.62,12.6,12.6,20231200,20240300,20240300
2023-10-18 23:00:00,12.632,12.57,12.57,20231200,20240300,20240300
2023-10-19 23:00:00,12.504,,,20231200,20240300,20240300
2023-10-20 23:00:00,12.379,12.49,12.49,20231200,20240300,20240300
2023-10-23 23:00:00,12.197,12.498,12.498,20231200,20240300,20240300
2023-10-24 23:00:00,12.114,12.249,12.249,20231200,20240300,20240300
2023-10-25 23:00:00,12.095,12.2,12.2,20231200,20240300,20240300
2023-10-26 23:00:00,12.168,12.3,12.3,20231200,20240300,20240300
2023-10-27 23:00:00,12.261,12.4,12.4,20231200,20240300,20240300
2023-10-30 23:00:00,12.149,12.3,12.3,20231200,20240300,20240300
2023-10-31 23:00:00,12.281,,,20231200,20240300,20240300
2023-11-01 23:00:00,12.161,12.357,12.357,20231200,20240300,20240300
2023-11-02 23:00:00,12.185,,,20231200,20240300,20240300
2023-11-03 23:00:00,12.087,12.463,12.463,20231200,20240300,20240300
2023-11-06 23:00:00,12.089,,,20231200,20240300,20240300
2023-11-07 23:00:00,12.077,,,20231200,20240300,20240300
2023-11-08 23:00:00,12.038,,,20231200,20240300,20240300
2023-11-09 23:00:00,12.04,,,20231200,20240300,20240300
2023-11-10 23:00:00,12.096,,,20231200,20240300,20240300
2023-11-13 23:00:00,11.941,12.3,12.3,20231200,20240300,20240300
2023-11-14 23:00:00,11.811,12.176,12.176,20231200,20240300,20240300
2023-11-15 23:00:00,11.698,12.058,12.058,20231200,20240300,20240300
2023-11-16 23:00:00,11.619,12.0,12.0,20231200,20240300,20240300
2023-11-17 23:00:00,11.719,11.9,11.9,20231200,20240300,20240300
2023-11-20 23:00:00,11.487,11.889,11.889,20231200,20240300,20240300
2023-11-21 23:00:00,11.412,11.702,11.702,20231200,20240300,20240300
2023-11-22 23:00:00,11.5,11.804,11.804,20231200,20240300,20240300
2023-11-23 23:00:00,11.449,11.523,11.523,20231200,20240300,20240300
2023-11-24 23:00:00,11.523,11.967,11.967,20231200,20240300,20240300
2023-11-27 23:00:00,11.525,,,20231200,20240300,20240300
2023-11-28 23:00:00,11.569,11.764,11.764,20231200,20240300,20240300
2023-11-29 23:00:00,11.45,11.8,11.8,20231200,20240300,20240300
2023-11-30 23:00:00,11.539,,,20231200,20240300,20240300
2023-12-01 23:00:00,11.577,,,20231200,20240300,20240300
2023-12-04 23:00:00,11.615,,,20231200,20240300,20240300
2023-12-05 23:00:00,11.775,11.999,11.999,20231200,20240300,20240300
2023-12-06 23:00:00,11.807,12.252,12.252,20231200,20240300,20240300
2023-12-07 23:00:00,11.767,,,20231200,20240300,20240300
2023-12-08 23:00:00,11.625,,,20231200,20240300,20240300
2023-12-11 23:00:00,11.577,11.87,11.87,20231200,20240300,20240300
2023-12-12 23:00:00,11.438,12.0,12.0,20231200,20240300,20240300
2023-12-13 23:00:00,11.436,11.885,11.885,20231200,20240300,20240300
2023-12-14 23:00:00,11.475,11.8,11.8,20231200,20240300,20240300
2023-12-15 23:00:00,11.451,11.8,11.8,20231200,20240300,20240300
2023-12-18 23:00:00,11.822,,,20240300,20240600,20240600
2023-12-19 23:00:00,11.73,11.743,11.743,20240300,20240600,20240600
2023-12-20 23:00:00,11.796,,,20240300,20240600,20240600
2023-12-21 23:00:00,11.847,,,20240300,20240600,20240600
2023-12-22 23:00:00,11.784,,,20240300,20240600,20240600
2023-12-25 23:00:00,11.803,,,20240300,20240600,20240600
2023-12-26 23:00:00,11.821,,,20240300,20240600,20240600
2023-12-27 23:00:00,11.89,,,20240300,20240600,20240600
2023-12-28 23:00:00,11.647,,,20240300,20240600,20240600
2023-12-29 23:00:00,11.597,12.384,12.384,20240300,20240600,20240600
2024-01-03 23:00:00,11.567,11.705,11.705,20240300,20240600,20240600
2024-01-04 23:00:00,11.462,,,20240300,20240600,20240600
2024-01-05 23:00:00,11.39,,,20240300,20240600,20240600
2024-01-08 23:00:00,11.393,,,20240300,20240600,20240600
2024-01-09 23:00:00,10.988,11.061,11.061,20240300,20240600,20240600
2024-01-10 23:00:00,10.694,11.58,11.58,20240300,20240600,20240600
2024-01-11 23:00:00,10.65,11.558,11.558,20240300,20240600,20240600
2024-01-12 23:00:00,10.431,11.529,11.529,20240300,20240600,20240600
2024-01-15 23:00:00,10.36,11.0,11.0,20240300,20240600,20240600
2024-01-16 23:00:00,10.733,11.2,11.2,20240300,20240600,20240600
2024-01-17 23:00:00,10.901,11.639,11.639,20240300,20240600,20240600
2024-01-18 23:00:00,10.907,11.48,11.48,20240300,20240600,20240600
2024-01-19 23:00:00,10.82,11.151,11.151,20240300,20240600,20240600
2024-01-22 23:00:00,10.736,11.35,11.35,20240300,20240600,20240600
2024-01-23 23:00:00,10.762,,,20240300,20240600,20240600
2024-01-24 23:00:00,10.436,11.106,11.106,20240300,20240600,20240600
2024-01-25 23:00:00,10.431,,,20240300,20240600,20240600
2024-01-26 23:00:00,10.483,11.15,11.15,20240300,20240600,20240600
2024-01-29 23:00:00,10.597,11.189,11.189,20240300,20240600,20240600
2024-01-30 23:00:00,10.564,11.139,11.139,20240300,20240600,20240600
2024-01-31 23:00:00,10.608,,,20240300,20240600,20240600
2024-02-01 23:00:00,10.579,,,20240300,20240600,20240600
2024-02-02 23:00:00,10.654,11.139,11.139,20240300,20240600,20240600
2024-02-05 23:00:00,10.665,,,20240300,20240600,20240600
2024-02-06 23:00:00,10.83,,,20240300,20240600,20240600
2024-02-07 23:00:00,10.801,,,20240300,20240600,20240600
2024-02-08 23:00:00,10.786,11.216,11.216,20240300,20240600,20240600
2024-02-09 23:00:00,10.738,11.215,11.215,20240300,20240600,20240600
2024-02-12 23:00:00,10.698,11.249,11.249,20240300,20240600,20240600
