index,PRICE
2023-09-19,2756.0
2023-09-20,2684.0
2023-09-21,2639.0
2023-09-22,2707.0
2023-09-25,2778.0
2023-09-26,2727.0
2023-09-27,2752.0
2023-09-28,2734.0
2023-09-29,2752.0
2023-10-02,2808.0
2023-10-03,2763.0
2023-10-04,2728.0
2023-10-05,2626.0
2023-10-06,2660.0
2023-10-09,2695.0
2023-10-10,2768.0
2023-10-11,2721.0
2023-10-12,2765.0
2023-10-13,2754.0
2023-10-16,2760.0
2023-10-17,2775.0
2023-10-18,2766.0
2023-10-19,2744.0
2023-10-20,2712.0
2023-10-23,2675.0
2023-10-24,2679.0
2023-10-25,2631.0
2023-10-26,2600.0
2023-10-27,2552.0
2023-10-30,2575.0
2023-10-31,2575.0
2023-11-01,2579.0
2023-11-02,2525.0
2023-11-03,2460.0
2023-11-06,2517.0
2023-11-07,2674.0
2023-11-08,2695.0
2023-11-09,2649.0
2023-11-10,2576.0
2023-11-13,2596.0
2023-11-14,2522.0
2023-11-15,2555.0
2023-11-16,2519.0
2023-11-17,2534.0
2023-11-20,2498.0
2023-11-21,2483.0
2023-11-22,2505.0
2023-11-23,2473.0
2023-11-24,2472.0
2023-11-27,2345.0
2023-11-28,2383.0
2023-11-29,2341.0
2023-11-30,2264.0
2023-12-01,2221.0
2023-12-04,2025.0
2023-12-05,2200.0
2023-12-06,2136.0
2023-12-07,2154.0
2023-12-08,2140.0
2023-12-11,2070.0
2023-12-12,2035.0
2023-12-13,2035.0
2023-12-14,2010.0
2023-12-15,2097.0
2023-12-18,2271.0
2023-12-19,2281.0
2023-12-20,2278.0
2023-12-21,2282.0
2023-12-22,2336.0
2023-12-25,2363.0
2023-12-26,2328.0
2023-12-27,2240.0
2023-12-28,2244.0
2023-12-29,2254.0
2024-01-01,
2024-01-02,
2024-01-03,2298.0
2024-01-04,2301.0
2024-01-05,2301.0
2024-01-08,2479.0
2024-01-09,2538.0
2024-01-10,2517.0
2024-01-11,2570.0
2024-01-12,2667.0
2024-01-15,2776.0
2024-01-16,2741.0
2024-01-17,2759.0
2024-01-18,2757.0
2024-01-19,2780.0
2024-01-22,2828.0
2024-01-23,2796.0
2024-01-24,2790.0
2024-01-25,2766.0
2024-01-26,2761.0
2024-01-29,2786.0
2024-01-30,2805.0
2024-01-31,2835.0
2024-02-01,2837.0
2024-02-02,2856.0
2024-02-05,2963.0
2024-02-06,2987.0
2024-02-07,2940.0
2024-02-08,2915.0
2024-02-09,2882.0
2024-02-12,2870.0
2024-02-13,2923.0
2024-02-14,2920.0
2024-02-15,2919.0
2024-02-16,2906.0
2024-02-19,2922.0
2024-02-20,2899.0
2024-02-21,2820.0
2024-02-22,2811.0
2024-02-23,
2024-02-26,2900.0
2024-02-27,2888.0
2024-02-28,2874.0
2024-02-29,3015.0
2024-03-01,3002.0
2024-03-04,2970.0
2024-03-05,2976.0
2024-03-06,2948.0
2024-03-07,2903.0
2024-03-08,
2024-03-11,2946.0
2024-03-12,2958.0
2024-03-13,2957.0
2024-03-14,2916.0
2024-03-15,2898.0
2024-03-18,2916.0
2024-03-19,2890.0
2024-03-20,2905.0
2024-03-21,2960.0
2024-03-22,2974.0
2024-03-25,2972.0
2024-03-26,2987.0
2024-03-27,3001.0
2024-03-28,3024.0
2024-03-29,3025.0
2024-04-01,3030.0
2024-04-02,3074.0
2024-04-03,3105.0
2024-04-04,3047.0
2024-04-05,3028.0
2024-04-08,3024.0
2024-04-09,3002.0
2024-04-10,3012.0
2024-04-11,3074.0
2024-04-12,3074.0
2024-04-15,3192.0
2024-04-16,3165.0
2024-04-17,3166.0
2024-04-18,3141.0
2024-04-19,3162.0
2024-04-22,3143.0
2024-04-23,3124.0
2024-04-24,3213.0
2024-04-25,3236.0
2024-04-26,3211.0
2024-04-29,3254.0
2024-04-30,3244.0
2024-05-01,
2024-05-02,3235.0
2024-05-03,3195.0
2024-05-06,3198.0
2024-05-07,3277.0
2024-05-08,3320.0
2024-05-09,
2024-05-10,3354.0
2024-05-13,3367.0
2024-05-14,3378.0
2024-05-15,3428.0
2024-05-16,3450.0
2024-05-17,3535.0
2024-05-20,3662.0
2024-05-21,3737.0
2024-05-22,3700.0
2024-05-23,3762.0
2024-05-24,3760.0
2024-05-27,3641.0
2024-05-28,3674.0
2024-05-29,3642.0
2024-05-30,3565.0
2024-05-31,3505.0
2024-06-03,3470.0
2024-06-04,3664.0
2024-06-05,3626.0
2024-06-06,3541.0
2024-06-07,3750.0
2024-06-10,3656.0
2024-06-11,3656.0
2024-06-12,
2024-06-13,3683.0
2024-06-14,3682.0
2024-06-17,3919.0
2024-06-18,3780.0
2024-06-19,3749.0
2024-06-20,3865.0
2024-06-21,3833.0
2024-06-24,3897.0
2024-06-25,3926.0
2024-06-26,4013.0
2024-06-27,4048.0
2024-06-28,4010.0
2024-07-01,4003.0
2024-07-02,3974.0
2024-07-03,3954.0
2024-07-04,3833.0
2024-07-05,3914.0
2024-07-08,3811.0
2024-07-09,3783.0
2024-07-10,3688.0
2024-07-11,3761.0
2024-07-12,3666.0
2024-07-15,3576.0
2024-07-16,3665.0
2024-07-17,3599.0
2024-07-18,3650.0
2024-07-19,3767.0
2024-07-22,3780.0
2024-07-23,3731.0
2024-07-24,3812.0
2024-07-25,3947.0
2024-07-26,3922.0
2024-07-29,3705.0
2024-07-30,3821.0
2024-07-31,3846.0
2024-08-01,3895.0
2024-08-02,3780.0
2024-08-05,3717.0
2024-08-06,3707.0
2024-08-07,3764.0
2024-08-08,3715.0
2024-08-09,3714.0
2024-08-12,3690.0
2024-08-13,3700.0
2024-08-14,3685.0
2024-08-15,3677.0
2024-08-16,3676.0
2024-08-19,3597.0
2024-08-20,3688.0
2024-08-21,3750.0
2024-08-22,3708.0
2024-08-23,3615.0
2024-08-26,3731.0
2024-08-27,3667.0
2024-08-28,3615.0
2024-08-29,3605.0
2024-08-30,3594.0
2024-09-02,3363.0
2024-09-03,3338.0
2024-09-04,3439.0
2024-09-05,3480.0
2024-09-06,3503.0
2024-09-09,3629.0
2024-09-10,3620.0
2024-09-11,3585.0
2024-09-12,3615.0
2024-09-13,3620.0
2024-09-16,3706.0
2024-09-17,3762.0
2024-09-18,3751.0
2024-09-19,3695.0
2024-09-20,3714.0
2024-09-23,3784.0
2024-09-24,3850.0
2024-09-25,3780.0
2024-09-26,3809.0
2024-09-27,3829.0
2024-09-30,3939.0
2024-10-01,3857.0
2024-10-02,3795.0
2024-10-03,3738.0
2024-10-04,3768.0
2024-10-07,3674.0
2024-10-08,3749.0
2024-10-09,3670.0
2024-10-10,3683.0
2024-10-11,3698.0
2024-10-14,3760.0
2024-10-15,3822.0
2024-10-16,3789.0
2024-10-17,3765.0
2024-10-18,3765.0
2024-10-21,3756.0
2024-10-22,3649.0
2024-10-23,3641.0
2024-10-24,3670.0
2024-10-25,3600.0
2024-10-28,3546.0
2024-10-29,3540.0
2024-10-30,3519.0
2024-10-31,3426.0
2024-11-01,3431.0
2024-11-04,
2024-11-05,3443.0
2024-11-06,3488.0
2024-11-07,3480.0
2024-11-08,3504.0
2024-11-11,3637.0
2024-11-12,3550.0
2024-11-13,3616.0
2024-11-14,3572.0
2024-11-15,3588.0
2024-11-18,3584.0
2024-11-19,3439.0
2024-11-20,3387.0
2024-11-21,3344.0
2024-11-22,3344.0
2024-11-25,3248.0
2024-11-26,3101.0
2024-11-27,3084.0
2024-11-28,3259.0
2024-11-29,3263.0
2024-12-02,3293.0
2024-12-03,3171.0
2024-12-04,3065.0
2024-12-05,3176.0
2024-12-06,3233.0
2024-12-09,3217.0
2024-12-10,3165.0
2024-12-11,3137.0
2024-12-12,3090.0
2024-12-13,3117.0
2024-12-16,2986.0
2024-12-17,3013.0
2024-12-18,3036.0
2024-12-19,3113.0
2024-12-20,3572.0
2024-12-23,3509.0
2024-12-24,3507.0
2024-12-25,3603.0
2024-12-26,3600.0
2024-12-27,3720.0
2024-12-30,3800.0
2024-12-31,
2025-01-01,
2025-01-02,
2025-01-03,3754.0
2025-01-06,3775.0
2025-01-07,
2025-01-08,3869.0
2025-01-09,3739.0
2025-01-10,3836.0
2025-01-13,3841.0
2025-01-14,3829.0
2025-01-15,3781.0
2025-01-16,3795.0
2025-01-17,3785.0
2025-01-20,3835.0
2025-01-21,3869.0
2025-01-22,3970.0
2025-01-23,3898.0
2025-01-24,3932.0
2025-01-27,3842.0
2025-01-28,3905.0
2025-01-29,3884.0
2025-01-30,3860.0
2025-01-31,3848.0
2025-02-03,3827.0
2025-02-04,3831.0
2025-02-05,3882.0
2025-02-06,3863.0
2025-02-07,3856.0
2025-02-10,3926.0
2025-02-11,3949.0
2025-02-12,3943.0
