index,PRICE
2023-09-19,12296.0
2023-09-20,12322.0
2023-09-21,11828.0
2023-09-22,12041.0
2023-09-25,12281.0
2023-09-26,12200.0
2023-09-27,12895.0
2023-09-28,13212.0
2023-09-29,13069.0
2023-10-02,12662.0
2023-10-03,12341.0
2023-10-04,12293.0
2023-10-05,12072.0
2023-10-06,11860.0
2023-10-09,12166.0
2023-10-10,12193.0
2023-10-11,12115.0
2023-10-12,11977.0
2023-10-13,11908.0
2023-10-16,12215.0
2023-10-17,12259.0
2023-10-18,12166.0
2023-10-19,12257.0
2023-10-20,12606.0
2023-10-23,12646.0
2023-10-24,12795.0
2023-10-25,13049.0
2023-10-26,12678.0
2023-10-27,13480.0
2023-10-30,13347.0
2023-10-31,13493.0
2023-11-01,13283.0
2023-11-02,13170.0
2023-11-03,13312.0
2023-11-06,12904.0
2023-11-07,12706.0
2023-11-08,12921.0
2023-11-09,12798.0
2023-11-10,12595.0
2023-11-13,12682.0
2023-11-14,12443.0
2023-11-15,12518.0
2023-11-16,12510.0
2023-11-17,12268.0
2023-11-20,12300.0
2023-11-21,12201.0
2023-11-22,12279.0
2023-11-23,12088.0
2023-11-24,12067.0
2023-11-27,11552.0
2023-11-28,11916.0
2023-11-29,11805.0
2023-11-30,12223.0
2023-12-01,12135.0
2023-12-04,11875.0
2023-12-05,11622.0
2023-12-06,11275.0
2023-12-07,11280.0
2023-12-08,11180.0
2023-12-11,11025.0
2023-12-12,10720.0
2023-12-13,10654.0
2023-12-14,10627.0
2023-12-15,10732.0
2023-12-18,11414.0
2023-12-19,11448.0
2023-12-20,11635.0
2023-12-21,11674.0
2023-12-22,11548.0
2023-12-25,11370.0
2023-12-26,11266.0
2023-12-27,11383.0
2023-12-28,11459.0
2023-12-29,11321.0
2024-01-01,
2024-01-02,
2024-01-03,11507.0
2024-01-04,11755.0
2024-01-05,11656.0
2024-01-08,11827.0
2024-01-09,11924.0
2024-01-10,12111.0
2024-01-11,12034.0
2024-01-12,12103.0
2024-01-15,12120.0
2024-01-16,12085.0
2024-01-17,12061.0
2024-01-18,12036.0
2024-01-19,11854.0
2024-01-22,12030.0
2024-01-23,12415.0
2024-01-24,12455.0
2024-01-25,12423.0
2024-01-26,12535.0
2024-01-29,12797.0
2024-01-30,13005.0
2024-01-31,12937.0
2024-02-01,12959.0
2024-02-02,12816.0
2024-02-05,12913.0
2024-02-06,13024.0
2024-02-07,13031.0
2024-02-08,12855.0
2024-02-09,12797.0
2024-02-12,12626.0
2024-02-13,12629.0
2024-02-14,12734.0
2024-02-15,12746.0
2024-02-16,12518.0
2024-02-19,12362.0
2024-02-20,12277.0
2024-02-21,12006.0
2024-02-22,11873.0
2024-02-23,
2024-02-26,12189.0
2024-02-27,12408.0
2024-02-28,12196.0
2024-02-29,12134.0
2024-03-01,12311.0
2024-03-04,12434.0
2024-03-05,12336.0
2024-03-06,12294.0
2024-03-07,12202.0
2024-03-08,
2024-03-11,12059.0
2024-03-12,12061.0
2024-03-13,12122.0
2024-03-14,11955.0
2024-03-15,12530.0
2024-03-18,12737.0
2024-03-19,12372.0
2024-03-20,12531.0
2024-03-21,12198.0
2024-03-22,11966.0
2024-03-25,11760.0
2024-03-26,11940.0
2024-03-27,11955.0
2024-03-28,12106.0
2024-03-29,12365.0
2024-04-01,12349.0
2024-04-02,12529.0
2024-04-03,12511.0
2024-04-04,12939.0
2024-04-05,12786.0
2024-04-08,12924.0
2024-04-09,12715.0
2024-04-10,12663.0
2024-04-11,12564.0
2024-04-12,12556.0
2024-04-15,12639.0
2024-04-16,12650.0
2024-04-17,12673.0
2024-04-18,12565.0
2024-04-19,12592.0
2024-04-22,12669.0
2024-04-23,12514.0
2024-04-24,12396.0
2024-04-25,12386.0
2024-04-26,12696.0
2024-04-29,13162.0
2024-04-30,13306.0
2024-05-01,
2024-05-02,13211.0
2024-05-03,13247.0
2024-05-06,13330.0
2024-05-07,13237.0
2024-05-08,13036.0
2024-05-09,
2024-05-10,13065.0
2024-05-13,12988.0
2024-05-14,12716.0
2024-05-15,12747.0
2024-05-16,12764.0
2024-05-17,12704.0
2024-05-20,12334.0
2024-05-21,11881.0
2024-05-22,12259.0
2024-05-23,12160.0
2024-05-24,11701.0
2024-05-27,10986.0
2024-05-28,10936.0
2024-05-29,10699.0
2024-05-30,10779.0
2024-05-31,10329.0
2024-06-03,10333.0
2024-06-04,10587.0
2024-06-05,10566.0
2024-06-06,10428.0
2024-06-07,10862.0
2024-06-10,10512.0
2024-06-11,10260.0
2024-06-12,
2024-06-13,10349.0
2024-06-14,10767.0
2024-06-17,11147.0
2024-06-18,11000.0
2024-06-19,10620.0
2024-06-20,11218.0
2024-06-21,11014.0
2024-06-24,10932.0
2024-06-25,11057.0
2024-06-26,11008.0
2024-06-27,10996.0
2024-06-28,10999.0
2024-07-01,11031.0
2024-07-02,11145.0
2024-07-03,11021.0
2024-07-04,10711.0
2024-07-05,10630.0
2024-07-08,10519.0
2024-07-09,10088.0
2024-07-10,9896.0
2024-07-11,10147.0
2024-07-12,9837.0
2024-07-15,9689.0
2024-07-16,9824.0
2024-07-17,9921.0
2024-07-18,10111.0
2024-07-19,10012.0
2024-07-22,10043.0
2024-07-23,10161.0
2024-07-24,10319.0
2024-07-25,10387.0
2024-07-26,10075.0
2024-07-29,9816.0
2024-07-30,10067.0
2024-07-31,10235.0
2024-08-01,10246.0
2024-08-02,10100.0
2024-08-05,9745.0
2024-08-06,9729.0
2024-08-07,9973.0
2024-08-08,9842.0
2024-08-09,9812.0
2024-08-12,9973.0
2024-08-13,10207.0
2024-08-14,10333.0
2024-08-15,10168.0
2024-08-16,10247.0
2024-08-19,10065.0
2024-08-20,10051.0
2024-08-21,10164.0
2024-08-22,9850.0
2024-08-23,9304.0
2024-08-26,9674.0
2024-08-27,9419.0
2024-08-28,9356.0
2024-08-29,9242.0
2024-08-30,8981.0
2024-09-02,8100.0
2024-09-03,7713.0
2024-09-04,8142.0
2024-09-05,8269.0
2024-09-06,8053.0
2024-09-09,8495.0
2024-09-10,8199.0
2024-09-11,8201.0
2024-09-12,7998.0
2024-09-13,8196.0
2024-09-16,8437.0
2024-09-17,8539.0
2024-09-18,8420.0
2024-09-19,8824.0
2024-09-20,8982.0
2024-09-23,9091.0
2024-09-24,9109.0
2024-09-25,9000.0
2024-09-26,8924.0
2024-09-27,8994.0
2024-09-30,9035.0
2024-10-01,8677.0
2024-10-02,8481.0
2024-10-03,8615.0
2024-10-04,8655.0
2024-10-07,8492.0
2024-10-08,8732.0
2024-10-09,8580.0
2024-10-10,8571.0
2024-10-11,8554.0
2024-10-14,8615.0
2024-10-15,8726.0
2024-10-16,8557.0
2024-10-17,8544.0
2024-10-18,8489.0
2024-10-21,8616.0
2024-10-22,8373.0
2024-10-23,8240.0
2024-10-24,8070.0
2024-10-25,7995.0
2024-10-28,7686.0
