index,PRICE
2023-09-19,5813.0
2023-09-20,5670.0
2023-09-21,5475.0
2023-09-22,5626.0
2023-09-25,5601.0
2023-09-26,5581.0
2023-09-27,5656.0
2023-09-28,5716.0
2023-09-29,5736.0
2023-10-02,5690.0
2023-10-03,5631.0
2023-10-04,5680.0
2023-10-05,5606.0
2023-10-06,5595.0
2023-10-09,5631.0
2023-10-10,5759.0
2023-10-11,5804.0
2023-10-12,5701.0
2023-10-13,5782.0
2023-10-16,5824.0
2023-10-17,5917.0
2023-10-18,5881.0
2023-10-19,5956.0
2023-10-20,5951.0
2023-10-23,6087.0
2023-10-24,6200.0
2023-10-25,6235.0
2023-10-26,6047.0
2023-10-27,6191.0
2023-10-30,6090.0
2023-10-31,6009.0
2023-11-01,6040.0
2023-11-02,6024.0
2023-11-03,5993.0
2023-11-06,6021.0
2023-11-07,6188.0
2023-11-08,6214.0
2023-11-09,6197.0
2023-11-10,6144.0
2023-11-13,6180.0
2023-11-14,6175.0
2023-11-15,6063.0
2023-11-16,5987.0
2023-11-17,5998.0
2023-11-20,6045.0
2023-11-21,6033.0
2023-11-22,6104.0
2023-11-23,6158.0
2023-11-24,6346.0
2023-11-27,6388.0
2023-11-28,6410.0
2023-11-29,6469.0
2023-11-30,6464.0
2023-12-01,6481.0
2023-12-04,6376.0
2023-12-05,6368.0
2023-12-06,6417.0
2023-12-07,6331.0
2023-12-08,6243.0
2023-12-11,6091.0
2023-12-12,6079.0
2023-12-13,6101.0
2023-12-14,6155.0
2023-12-15,6361.0
2023-12-18,6300.0
2023-12-19,6219.0
2023-12-20,6449.0
2023-12-21,6437.0
2023-12-22,6458.0
2023-12-25,6650.0
2023-12-26,6680.0
2023-12-27,6744.0
2023-12-28,6734.0
2023-12-29,6729.0
2024-01-01,
2024-01-02,
2024-01-03,6876.0
2024-01-04,7033.0
2024-01-05,6975.0
2024-01-08,6988.0
2024-01-09,7002.0
2024-01-10,7101.0
2024-01-11,7315.0
2024-01-12,7211.0
2024-01-15,7221.0
2024-01-16,7121.0
2024-01-17,7100.0
2024-01-18,6979.0
2024-01-19,7051.0
2024-01-22,7030.0
2024-01-23,7019.0
2024-01-24,7035.0
2024-01-25,7012.0
2024-01-26,6961.0
2024-01-29,7035.0
2024-01-30,7161.0
2024-01-31,7170.0
2024-02-01,7260.0
2024-02-02,7280.0
2024-02-05,7208.0
2024-02-06,7283.0
2024-02-07,7390.0
2024-02-08,7421.0
2024-02-09,7401.0
2024-02-12,7363.0
2024-02-13,7379.0
2024-02-14,7472.0
2024-02-15,7586.0
2024-02-16,7471.0
2024-02-19,7563.0
2024-02-20,7509.0
2024-02-21,7253.0
2024-02-22,7319.0
2024-02-23,
2024-02-26,7452.0
2024-02-27,7484.0
2024-02-28,7654.0
2024-02-29,7698.0
2024-03-01,7726.0
2024-03-04,7743.0
2024-03-05,7702.0
2024-03-06,7707.0
2024-03-07,7639.0
2024-03-08,
2024-03-11,7750.0
2024-03-12,7790.0
2024-03-13,7740.0
2024-03-14,7624.0
2024-03-15,7641.0
2024-03-18,7661.0
2024-03-19,7526.0
2024-03-20,7409.0
2024-03-21,7580.0
2024-03-22,7551.0
2024-03-25,7748.0
2024-03-26,7745.0
2024-03-27,7840.0
2024-03-28,7890.0
2024-03-29,8030.0
2024-04-01,8099.0
2024-04-02,7954.0
2024-04-03,7941.0
2024-04-04,8030.0
2024-04-05,7842.0
2024-04-08,8050.0
2024-04-09,7951.0
2024-04-10,7954.0
2024-04-11,7908.0
2024-04-12,7965.0
2024-04-15,8075.0
2024-04-16,8048.0
2024-04-17,8036.0
2024-04-18,8079.0
2024-04-19,8163.0
2024-04-22,8153.0
2024-04-23,8185.0
2024-04-24,8121.0
2024-04-25,8140.0
2024-04-26,8269.0
2024-04-29,8321.0
2024-04-30,8378.0
2024-05-01,
2024-05-02,8289.0
2024-05-03,8289.0
2024-05-06,8268.0
2024-05-07,8353.0
2024-05-08,8338.0
2024-05-09,
2024-05-10,8432.0
2024-05-13,8416.0
2024-05-14,8410.0
2024-05-15,8422.0
2024-05-16,8462.0
2024-05-17,8338.0
2024-05-20,8209.0
2024-05-21,8300.0
2024-05-22,8228.0
2024-05-23,8197.0
2024-05-24,8201.0
2024-05-27,7976.0
2024-05-28,7960.0
2024-05-29,7895.0
2024-05-30,7878.0
2024-05-31,7621.0
2024-06-03,6701.0
2024-06-04,6840.0
2024-06-05,6728.0
