index,PRICE
2023-09-19,19752.0
2023-09-20,19940.0
2023-09-21,20031.0
2023-09-22,20699.0
2023-09-25,20637.0
2023-09-26,20621.0
2023-09-27,20750.0
2023-09-28,21300.0
2023-09-29,20968.0
2023-10-02,21055.0
2023-10-03,21350.0
2023-10-04,22129.0
2023-10-05,22318.0
2023-10-06,22879.0
2023-10-09,22949.0
2023-10-10,23696.0
2023-10-11,23953.0
2023-10-12,23539.0
2023-10-13,23929.0
2023-10-16,24192.0
2023-10-17,24277.0
2023-10-18,24703.0
2023-10-19,26148.0
2023-10-20,25957.0
2023-10-23,26120.0
2023-10-24,26942.0
2023-10-25,27664.0
2023-10-26,27514.0
2023-10-27,28351.0
2023-10-30,27689.0
2023-10-31,26983.0
2023-11-01,27030.0
2023-11-02,27766.0
2023-11-03,27735.0
2023-11-06,28240.0
2023-11-07,29308.0
2023-11-08,30019.0
2023-11-09,30314.0
2023-11-10,31726.0
2023-11-13,31724.0
2023-11-14,31800.0
2023-11-15,32371.0
2023-11-16,33647.0
2023-11-17,32731.0
2023-11-20,31915.0
2023-11-21,32780.0
2023-11-22,31761.0
2023-11-23,31384.0
2023-11-24,31133.0
2023-11-27,29781.0
2023-11-28,30460.0
2023-11-29,29556.0
2023-11-30,29553.0
2023-12-01,28951.0
2023-12-04,28828.0
2023-12-05,27901.0
2023-12-06,27251.0
2023-12-07,27700.0
2023-12-08,27624.0
2023-12-11,28133.0
2023-12-12,27755.0
2023-12-13,27069.0
2023-12-14,27824.0
2023-12-15,28561.0
2023-12-18,29484.0
2023-12-19,28855.0
2023-12-20,28888.0
2023-12-21,29582.0
2023-12-22,30752.0
2023-12-25,30839.0
2023-12-26,31076.0
2023-12-27,30808.0
2023-12-28,30977.0
2023-12-29,31143.0
2024-01-01,
2024-01-02,
2024-01-03,32380.0
2024-01-04,32749.0
2024-01-05,32819.0
2024-01-08,32755.0
2024-01-09,33240.0
2024-01-10,32674.0
2024-01-11,32546.0
2024-01-12,32021.0
2024-01-15,31685.0
2024-01-16,32383.0
2024-01-17,32438.0
2024-01-18,32068.0
2024-01-19,31847.0
2024-01-22,31408.0
2024-01-23,30636.0
2024-01-24,29936.0
2024-01-25,30510.0
2024-01-26,30377.0
2024-01-29,30035.0
2024-01-30,31549.0
2024-01-31,31875.0
2024-02-01,32004.0
2024-02-02,32207.0
2024-02-05,32934.0
2024-02-06,32566.0
2024-02-07,32130.0
2024-02-08,31950.0
2024-02-09,31668.0
2024-02-12,31581.0
2024-02-13,31850.0
2024-02-14,32072.0
2024-02-15,31659.0
2024-02-16,31506.0
2024-02-19,31549.0
2024-02-20,31499.0
2024-02-21,28359.0
2024-02-22,27950.0
2024-02-23,
2024-02-26,28200.0
2024-02-27,28238.0
2024-02-28,28207.0
2024-02-29,27744.0
2024-03-01,27832.0
2024-03-04,28586.0
2024-03-05,28473.0
2024-03-06,28241.0
2024-03-07,28157.0
2024-03-08,
2024-03-11,28674.0
2024-03-12,29955.0
2024-03-13,29403.0
2024-03-14,29638.0
2024-03-15,29769.0
2024-03-18,29561.0
2024-03-19,30020.0
2024-03-20,29300.0
2024-03-21,29450.0
2024-03-22,29112.0
2024-03-25,28688.0
2024-03-26,28653.0
2024-03-27,28447.0
2024-03-28,28427.0
2024-03-29,28562.0
2024-04-01,29466.0
2024-04-02,29419.0
2024-04-03,29419.0
2024-04-04,29147.0
2024-04-05,29079.0
2024-04-08,29201.0
2024-04-09,28741.0
2024-04-10,28713.0
2024-04-11,28502.0
2024-04-12,28262.0
2024-04-15,28278.0
